ceo,country,employees,founded,industry,link,name,revenue
Warren Edward Buffett,United States,"372,000",1939,Diversified Financials,https://www.forbes.com/companies/berkshire-hathaway,Berkshire Hathaway,$276.1B
Shu Gu,China,"434,089",1984,Banking,https://www.forbes.com/companies/icbc,ICBC,$208.1B
Amin bin Hasan Al-Nasser,Saudi Arabia,"68,493",1933,Oil & Gas Operations,https://www.forbes.com/companies/saudi-arabian-oil-company-saudi-aramco,Saudi Arabian Oil Company (Saudi Aramco),$400.4B
Jamie Dimon,United States,"270,000",2000,Banking and Financial Services,https://www.forbes.com/companies/jpmorgan-chase,JPMorgan Chase,$124.5B
Wang Zuji,China,"349,671",2014,Banking,https://www.forbes.com/companies/china-construction-bank,China Construction Bank,$202.1B
Andy Jassy,United States,"1,608,000",1994,Retail and Wholesale,https://www.forbes.com/companies/amazon,Amazon,$469.8B
Tim Cook,United States,"154,000",1976,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/apple,Apple,$378.7B
Not found,China,"455,174",1979,Banking,https://www.forbes.com/companies/agricultural-bank-of-china,Agricultural Bank of China,$181.4B
Brian Moynihan,United States,"166,400",1904,Banking and Financial Services,https://www.forbes.com/companies/bank-of-america,Bank of America,$96.8B
Akio Toyoda,Japan,"366,283",1937,Consumer Durables,https://www.forbes.com/companies/toyota-motor,Toyota Motor,$281.7B
Sundar Pichai,United States,"156,500",1998,"IT, Internet, Software & Services",https://www.forbes.com/companies/alphabet,Alphabet,$257.5B
Satya Nadella,United States,"103,000",1975,"IT, Internet, Software & Services",https://www.forbes.com/companies/microsoft,Microsoft,$184.9B
Wang Jiang,China,"306,322",1929,Banking,https://www.forbes.com/companies/bank-of-china,Bank of China,$152.4B
Jay Y. Lee,South Korea,"266,673",1969,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/samsung-electronics,Samsung Group,$244.2B
Darren W. Woods,United States,"63,000",1999,Oil & Gas Operations,https://www.forbes.com/companies/exxon-mobil,ExxonMobil,$280.5B
Bernardus van Beurden,United Kingdom,"82,000",1907,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/shell,Shell,$261.8B
Yonglin Xie Sin Yin Tan,China,"355,982",1988,Insurance,https://www.forbes.com/companies/ping-an-insurance,Ping An Insurance Group,$181.4B
Charles William Scharf,United States,"247,848",1852,Banking,https://www.forbes.com/companies/wells-fargo,Wells Fargo,$84.1B
Hans Vestberg,United States,"118,400",1983,"Telecommunications Services, Cable Supplier",https://www.forbes.com/companies/verizon-communications,Verizon Communications,$134.3B
John Stankey,United States,"203,000",1876,Telecommunications Services,https://www.forbes.com/companies/att,AT&T,$163B
Yi Lin Wang,China,"476,223",1999,Oil & Gas Operations,https://www.forbes.com/companies/petrochina,PetroChina,$380.3B
Andrew Witty,United States,"360,000",1977,Insurance,https://www.forbes.com/companies/unitedhealth-group,UnitedHealth Group,$297.6B
C. Douglas McMillon,United States,"2,300,000",1962,Retailing,https://www.forbes.com/companies/walmart,Walmart,$572.8B
Miao Jianmin,China,"103,669",1987,Banking,https://www.forbes.com/companies/china-merchants-bank,China Merchants Bank,$71.1B
Herbert Diess,Germany,"672,789",1937,Consumer Durables,https://www.forbes.com/companies/volkswagen-group,Volkswagen Group,$295.7B
Michael K. Wirth,United States,"23,729",1879,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/chevron,Chevron,$156.3B
