country,employees_number_2017,employees_number_2020,founding_year,name,revenue_2017_EU,revenue_2020_EU,sector
Finland,1,218,2016,Swappie,507000,97611814,Technology
Lithuania,10,177,2013,Kilo Health,344428,57318766,Health
UK,4,32,2012,OCI,4325512,568322073,Financial Services
UK,4,800,2016,OnlyFans,2652185,316732986,Technology
Germany,9,365,2017,Enpal,486165,56109613,Energy
Germany,2,9,2017,MR Consulting,150908,13165586,Waste management & recycling
UK,12,57,2015,Thriva,251668,18732563,Health
France,15,200,2015,Exotec,706700,47597000,Industrial Goods
Italy,1,10,2015,Winelivery,111500,7337290,Ecommerce
Sweden,5,117,2015,Instabox,392055,24484879,Technology
Austria,12,180,2016,Waterdrop,680197,41205930,Food & Beverage
France,2,11,2016,One Lease,153046,9015211,Support Services
Italy,13,251,2017,Datlas*,155406,9034926,Technology
UK,36,224,2016,Zego,229201,12158046,Fintech
Germany,5,24,2017,HCL-Logistics,238118,11387156,Transport
UK,4,34,2016,Popsa,454975,21455864,Technology
Switzerland,2,41,2017,Unit8,149397,7234981,Technology
Finland,6,49,2016,Luoto Company,325585,14338668,Technology
Austria,9,29,2014,Journi Print,160624,6851839,Ecommerce
France,23,228,2017,Portify,274575,11583215,Support Services
Norway,8,45,2015,Tibber,782918,30886935,Energy
Poland,6,18,2013,Rascal Industry,238451,9008822,Fashion
Italy,20,509,2017,Pegaso Security,207120,8375180,Support Services
UK,72,581,2016,Tide,416562,16136633,Fintech
Italy,1,1,2017,Euro Top Brand,363010,13888900,Retail
UK,6,26,2011,Bold Security Group,181772,6238378,Support Services
Norway,10,140,2013,Play Magnus Group,214673,6461790,Games industry
UK,1,7,2016,Blue Whale Growth Fund,170950,5189391,Financial Services
Belgium,3,65,2016,Kazidomi,263663,8042499,Ecommerce
Latvia,90,800,2012,Sun Finance,4044537,121306296,Fintech
Italy,21,56,2015,Credimi,381830,11301520,Financial Services
Germany,8,133,2017,SIRPLUS,155043,4540000,Retail
The Netherlands,6,31,2016,AIHR | Academy to Innovate HR,125682,3584553,Education
Luxembourg,9,27,2015,Logistics Capital Partners (LCP),7403458,210563743,Property
Germany,2,10,2017,Südwest Invest,210820,5820402,Property
France,7,7,2000,CORADE (Plurimmo),2039961,56018731,Property
Spain,4,5,2006,Carranco,155310,4176440,Food & Beverage
Poland,10,50,2014,Telemedi,182100,4452513,Health
Germany,22,56,2014,Inkitt,229713,5926970,Technology
Italy,1,2,2016,H.K.Trading,225380,5721590,Retail
UK,16,124,2015,Attest,194090,4864178,Technology
France,na,11,2016,LGM IMMOBILIER,101311,2549778,Property
The Netherlands,7,29,2017,Wolfram Chain*,100711,2431371,Management Consulting
Germany,3,38,2017,RightNow,379771,8951132,Technology
UK,7,63,2014,EO Charging,757323,17158962,Technology
Italy,2,9,2013,CheTariffa.it,110200,2495860,Support Services
UK,26,90,2017,Simply,744092,16483836,Financial Services
UK,24,187,2015,Salary Finance,387995,8593220,Fintech
Sweden,2,10,2017,DBT,179204,3837994,Fintech
Poland,15,140,2016,Tutlo,388565,7778203,Education
France,4,27,2013,Ponera,1186853,25901607,Ecommerce
Greece,0,2,2014,Active Energy Solutions,640056,13312033,Energy
France,2,8,2012,ACTEAM ENR,103240,2133691,Energy
UK,8,70,2015,Everflow,3188715,64223085,Technology
UK,1,1,2016,Azure Prism,238216,4752777,Retail
Germany,2,7,2017,WR Logistics,585280,11662200,Transport
UK,14,61,2011,iProov,376519,7435887,Technology
Italy,1,5,2017,Spin Up,203950,4009330,Advertising
Germany,4,16,2012,BeGreat,270090,5141555,Retail
Italy,2,17,2017,Tsunami Nutrition*,369000,6945000,Ecommerce
The Netherlands,2,6,2016,Matt Sleeps,535070,9789240,Interiors
UK,28,138,2013,Tessian,858482,15365580,Technology
Germany,98,369,2016,Solarisbank,2007000,35938000,Financial Services
France,2,21,2016,M2DG (MyFlexoffice),375323,6630617,Support Services
Italy,2,11,2004,Eukon,362320,6393680,Health
Italy,3,13,2016,Evolution Adv,805870,14175780,Advertising
Spain,47,274,2001,Making Science,3306795,57670541,Technology
Italy,45,207,2014,Everli,6287460,109248030,Ecommerce
Finland,12,73,2014,AppFollow,128176,2210636,Technology
Poland,40,190,2013,Synerise,255062,3999023,Technology
Poland,4,8,2010,ChaiKola,330763,5158786,Food & Beverage
Germany,4,12,2015,Scolution,107492,1825546,Technology
France,3,15,2017,JL&P,131164,2212606,Energy
Italy,8,50,2017,eFarma.com,1199580,20150800,Pharmaceuticals
UK,22,138,2013,Elvie,2474341,40813930,Technology
Italy,1,5,2010,Farmarelax,270750,4459170,Personal & Household Goods
UK,20,99,2008,Omnisend,742746,11761268,Technology
Italy,1,5,2017,World Trade Group,314150,4897950,Fashion
France,2,32,2016,BESTEAM Conseil,249176,3871782,Technology
UK,5,96,2016,Motorway,320411,4838407,Automobiles
