CEO,annual_net_income_USD,annual_revenue_USD,employees_number,facebook_page_url,headquarters_country,market_capitalization_2022,name,twitter_page_url,wikipedia_page_url
Tim Cook,99803000000,394330000000,154000,https://www.facebook.com/apple/,USA,2825000000000,APPLE,https://twitter.com/apple?lang=en,https://en.wikipedia.org/wiki/Apple_Inc.
Satya Nadella,72738000000,198270000000,220000,https://www.facebook.com/Microsoft/,USA,2358000000000,MICROSOFT CORPORATION,https://twitter.com/Microsoft,https://en.wikipedia.org/wiki/Microsoft
Amin H. Al-Nasser,105380000000,400460000000,79800,https://www.facebook.com/aramco/,Saudi Arabia,1889600000000,SAUDI ARABIAN OIL COMPANY (Saudi Aramco),https://twitter.com/Saudi_Aramco,https://en.wikipedia.org/wiki/Saudi_Aramco
Sundar Pichai,76003000000,257640000000,156500,https://www.facebook.com/alphabet/,USA,1820000000000,ALPHABET,https://twitter.com/google?lang=en,https://en.wikipedia.org/wiki/Alphabet_Inc.
Andy Jassy,33364000000,469820000000,1335000,https://www.facebook.com/Amazon/,USA,1649000000000,AMAZON.COM,https://twitter.com/amazon,https://en.wikipedia.org/wiki/Amazon_(company)
Elon Musk,5519000000,53823000000,99290,,USA,1031000000000,TESLA,https://twitter.com/tesla,"https://en.wikipedia.org/wiki/Tesla,_Inc."
Mark Zuckerberg,39370000000,117930000000,77805,https://www.facebook.com/facebook,USA,922960000000,META PLATFORMS,https://twitter.com/facebook,https://en.wikipedia.org/wiki/Facebook
Warren Buffett,89795000000,354640000000,372000,,USA,711750000000,BERKSHIRE HATHAWAY,,https://en.wikipedia.org/wiki/Berkshire_Hathaway
Jensen Huang,9752000000,26914000000,18975,https://www.facebook.com/NVIDIA,USA,679000000000,NVIDIA CORPORATION,https://twitter.com/nvidia,https://en.wikipedia.org/wiki/Nvidia
C. C. Wei,20783000000,55306000000,65152,,Taiwan,640480000000,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),,https://en.wikipedia.org/wiki/TSMC
Ma Huateng,35320000000,87995000000,112771,https://www.facebook.com/TencentGlobal/,China,545360000000,TENCENT,https://twitter.com/tencentglobal?lang=en,https://en.wikipedia.org/wiki/Tencent
Jamie Dimon,46500000000,121640000000,271025,https://www.facebook.com/jpmorganchase,USA,494000000000,J P MORGAN CHASE & CO,https://twitter.com/jpmorgan,https://en.wikipedia.org/wiki/JPMorgan_Chase
Alfred F Kelly Jr,12310000000,24100000000,21500,https://www.facebook.com/Visa/,USA,471630000000,VISA,https://twitter.com/visa,https://en.wikipedia.org/wiki/Visa_Inc.
Joaquin Duato,20870000000,93770000000,141700,https://www.facebook.com/jnj/,USA,457940000000,JOHNSON & JOHNSON,https://twitter.com/jnjnews,https://en.wikipedia.org/wiki/Johnson_%26_Johnson
Kim Hyun Suk Koh Dong-Jin Kim Ki Nam,32180000000,229280000000,113753,https://www.facebook.com/samsungelectronics/,South Korea,438840000000,SAMSUNG ELECTRONICS,https://twitter.com/samsung?lang=en,https://en.wikipedia.org/wiki/Samsung_Electronics
Andrew Witty,17280000000,285270000000,350000,https://www.facebook.com/unitedhealthgroup/,USA,431930000000,UNITEDHEALTH GROUP,https://twitter.com/UnitedHealthGrp,https://en.wikipedia.org/wiki/UnitedHealth_Group
Craig Menear,16433000000,151160000000,500000,https://www.facebook.com/homedepot/,USA,411020000000,HOME DEPOT,https://twitter.com/HomeDepot,https://en.wikipedia.org/wiki/The_Home_Depot
Bernard Arnault,13264000000,70765000000,150000,https://www.facebook.com/lvmh,France,409480000000,LVMH,https://twitter.com/LVMH/,https://en.wikipedia.org/wiki/LVMH
Brian Moynihan,30550000000,89110000000,208000,https://www.facebook.com/BankofAmerica,USA,402490000000,BANK OF AMERICA CORPORATION,https://twitter.com/BankofAmerica,https://en.wikipedia.org/wiki/Bank_of_America
Doug McMillon,13673000000,572750000000,2300000,https://www.facebook.com/walmart,USA,401910000000,WALMART,https://twitter.com/walmart,https://en.wikipedia.org/wiki/Walmart
Jon R. Moeller,14461000000,80187000000,101000,https://www.facebook.com/proctergamble/,USA,393820000000,PROCTER & GAMBLE COMPANY,https://twitter.com/proctergamble,https://en.wikipedia.org/wiki/Procter_%26_Gamble
Li Bao Fang,7634000000,15929000000,29031,https://www.facebook.com/moutaiglobal/,China,382350000000,KWEICHOW MOUTAI,https://twitter.com/moutaiglobal?lang=en,https://en.wikipedia.org/wiki/Kweichow_Moutai
Ulf Mark Schneider,17970000000,92575000000,276000,,Switzerland,372720000000,NESTLE AG,https://twitter.com/nestle,https://en.wikipedia.org/wiki/Nestl%C3%A9
Michael Miebach,8680000000,18880000000,24000,https://www.facebook.com/Mastercard,USA,363200000000,MASTERCARD,https://twitter.com/mastercardnews,https://en.wikipedia.org/wiki/Mastercard
Severin Schwan,14808000000,66757000000,100920,,Switzerland,356150000000,ROCHE HOLDING AG,https://twitter.com/roche,https://en.wikipedia.org/wiki/Hoffmann-La_Roche
Daniel Zhang,9016000000,124140000000,251462,,China,351900000000,ALIBABA GROUP HOLDING,https://twitter.com/alibabagroup,https://en.wikipedia.org/wiki/Alibaba_Group
Albert Bourla,21980000000,81288000000,78500,https://www.facebook.com/Pfizer/,USA,312750000000,PFIZER,https://twitter.com/pfizer,https://en.wikipedia.org/wiki/Pfizer
Peter Wennink,6760000000,20509000000,28000,,Netherlands,307330000000,ASML HOLDING,https://twitter.com/asmlcompany,https://en.wikipedia.org/wiki/ASML_Holding
Darren Woods,23040000000,285640000000,64000,https://www.facebook.com/ExxonMobil/,USA,291610000000,EXXON MOBIL CORPORATION,https://twitter.com/exxonmobil,https://en.wikipedia.org/wiki/ExxonMobil
Bob Chapek,1990000000,67410000000,190000,https://www.facebook.com/Disney/,USA,286880000000,THE WALT DISNEY COMPANY,https://twitter.com/disney,https://en.wikipedia.org/wiki/The_Walt_Disney_Company
Akio Toyoda,20797000000,228980000000,366283,,Japan,276740000000,TOYOTA MOTOR CORPORATION,https://twitter.com/ToyotaMotorCorp,https://en.wikipedia.org/wiki/Toyota
James Quincey,9771000000,38655000000,80300,https://www.facebook.com/cocacola,USA,260590000000,COCA-COLA COMPANY,https://twitter.com/cocacola,https://en.wikipedia.org/wiki/The_Coca-Cola_Company
Chuck Robbins,11812000000,51557000000,79500,https://www.facebook.com/cisco/,USA,257820000000,CISCO SYSTEMS,https://twitter.com/Cisco,https://en.wikipedia.org/wiki/Cisco_Systems
Hock E. Tan,6437000000,27450000000,20000,,USA,255630000000,BROADCOM,https://twitter.com/broadcom,https://en.wikipedia.org/wiki/Broadcom_Inc.
Bob van Dijk,18733000000,6866000000,23874,,Netherlands,254550000000,PROSUS,,https://en.wikipedia.org/wiki/Prosus
Nicolas Jimenez,51206000000,138160000000,434798,,China,252550000000,ICBC,,https://en.wikipedia.org/wiki/Industrial_and_Commercial_Bank_of_China
Jean Paul Agon,5066000000,35580000000,85392,,France,249140000000,L'OREAL,https://twitter.com/loreal?lang=en,https://en.wikipedia.org/wiki/L'Or%C3%A9al
John Donahoe,6046000000,46710000000,73300,https://www.facebook.com/nike,USA,248460000000,NIKE,https://twitter.com/nike,https://en.wikipedia.org/wiki/Nike
David A. Ricks,5581000000,28318000000,35000,https://www.facebook.com/elilillyindia,USA,248240000000,ELI LILLY AND COMPANY,https://twitter.com/lillypad,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
Shantanu Narayen,4822000000,15785000000,25988,https://www.facebook.com/Adobe,USA,242990000000,ADOBE,https://twitter.com/Adobe,https://en.wikipedia.org/wiki/Adobe_Systems
Michael Wirth,15620000000,155600000000,42595,https://www.facebook.com/Chevron/,USA,241020000000,CHEVRON CORPORATION,https://twitter.com/Chevron,https://en.wikipedia.org/wiki/Chevron_Corporation
Ramon Laguarta,7610000000,79470000000,309000,https://www.facebook.com/PepsiCo/,USA,240690000000,PEPSICO,https://twitter.com/pepsico,https://en.wikipedia.org/wiki/PepsiCo
Robert Ford,7071000000,43075000000,113000,https://www.facebook.com/Abbott,USA,239710000000,ABBOTT LABORATORIES,https://twitter.com/abbottglobal,https://en.wikipedia.org/wiki/Abbott_Laboratories
Ted Sarandos Reed Hastings,5116000000,29697000000,12135,https://www.facebook.com/Netflix,USA,239660000000,NETFLIX,https://twitter.com/netflix,https://en.wikipedia.org/wiki/Netflix
,,103000000000,750000,,India,,TATA GROUP,,https://en.wikipedia.org/wiki/Tata_Group
Marc N. Casper,7725000000,39211000000,130000,https://www.facebook.com/thermofisher/,USA,239220000000,THERMO FISHER SCIENTIFIC,https://twitter.com/thermofisher,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific
Richard A. Gonzalez,11542000000,56197000000,50000,https://www.facebook.com/AbbVieGlobal/,USA,238450000000,ABBVIE,https://twitter.com/abbvie,https://en.wikipedia.org/wiki/AbbVie_Inc.
W. Craig Jelinek,5007000000,195920000000,288000,https://www.facebook.com/Costco,USA,237760000000,COSTCO WHOLESALE CORPORATION,,https://en.wikipedia.org/wiki/Costco
Julie Sweet,5906000000,50533000000,699000,https://www.facebook.com/accenture/,Ireland,234500000000,ACCENTURE,https://twitter.com/accentureindia,https://en.wikipedia.org/wiki/Accenture
Safra A. Catz,6717000000,42440000000,132000,https://www.facebook.com/Oracle,USA,233690000000,ORACLE CORPORATION,https://twitter.com/Oracle,https://en.wikipedia.org/wiki/Oracle_Corporation
Lars Fruergaard Jorgensen,7068000000,20838000000,45971,https://www.facebook.com/novonordisk,Denmark,231350000000,NOVO NORDISK A/S,https://twitter.com/novonordisk,https://en.wikipedia.org/wiki/Novo_Nordisk
Brian L. Roberts,14160000000,116380000000,189000,https://www.facebook.com/Xfinity/,USA,228670000000,COMCAST CORPORATION,https://twitter.com/comcast,https://en.wikipedia.org/wiki/Comcast
Hans Vestberg,22060000000,133610000000,118400,,USA,227690000000,VERIZON COMMUNICATIONS,https://twitter.com/verizonnews,https://en.wikipedia.org/wiki/Verizon_Communications
Marc Benioff,1444000000,26492000000,56606,https://www.facebook.com/salesforce/,USA,224880000000,SALESFORCE.COM,https://twitter.com/salesforce,https://en.wikipedia.org/wiki/Salesforce.com
Mukesh Ambani,7598000000,87614000000,236330,https://www.facebook.com/RelianceIndustriesLimited,India,220760000000,RELIANCE INDUSTRIES,https://twitter.com/flameoftruth,https://en.wikipedia.org/wiki/Reliance_Industries
Daniel Schulman,4169000000,25371000000,30900,https://www.facebook.com/paypal,USA,220420000000,PAYPAL HOLDINGS,https://twitter.com/paypal,https://en.wikipedia.org/wiki/PayPal
Charles W. Scharf,21548000000,78492000000,253871,https://www.facebook.com/wellsfargo/,USA,218380000000,WELLS FARGO & COMPANY,https://twitter.com/WellsFargo,https://en.wikipedia.org/wiki/Wells_Fargo
Patrick P. Gelsinger,19860000000,79020000000,121100,https://www.facebook.com/IntelIndia,USA,217340000000,INTEL CORPORATION,https://twitter.com/IntelIndia,https://en.wikipedia.org/wiki/Intel
Rainer M. Blair,7465000000,29453000000,78000,,USA,211280000000,DANAHER CORPORATION,https://twitter.com/danaher_u,https://en.wikipedia.org/wiki/Danaher_Corporation
Robert M. Davis,13040000000,48700000000,68000,https://www.facebook.com/MerckInvents/,USA,202830000000,MERCK & CO,https://twitter.com/merck,https://en.wikipedia.org/wiki/Merck_%26_Co.
Cristiano R. Aman,9040000000,33560000000,45000,https://www.facebook.com/Qualcomm,USA,202060000000,QUALCOMM,https://twitter.com/qualcomm,https://en.wikipedia.org/wiki/Qualcomm
Vasant Narasimhan,24021000000,52877000000,104323,https://www.facebook.com/novartis/,Switzerland,201260000000,NOVARTIS AG,https://twitter.com/novartis,https://en.wikipedia.org/wiki/Novartis
Huiyu Tian,17790000000,48553000000,90867,,China,199860000000,CHINA MERCHANTS BANK,,https://en.wikipedia.org/wiki/China_Merchants_Bank
Chris Kempczinski,7545000000,23222000000,200000,,USA,199560000000,MCDONALD'S CORPORATION,https://twitter.com/McDonalds,https://en.wikipedia.org/wiki/McDonald's
Zeng Yuqun,2318000000,18970000000,33078,,China,197130000000,CONTEMPORARY AMPEREX TECHNOLOGY,,https://en.wikipedia.org/wiki/Contemporary_Amperex_Technology
Rajesh Gopinathan,4797000000,24002000000,606331,https://www.facebook.com/TataConsultancyServices/,India,193870000000,TATA CONSULTANCY SERVICES (TCS),https://twitter.com/TCS,https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Carol B. Tome,12890000000,97287000000,534000,,USA,189610000000,UNITED PARCEL SERVICE (UPS),https://twitter.com/UPS,https://en.wikipedia.org/wiki/United_Parcel_Service
John T. Stankey,19870000000,168860000000,203000,https://www.facebook.com/ATT,USA,187740000000,AT&T,https://twitter.com/att,https://en.wikipedia.org/wiki/AT%26T
James P. Gorman,14566000000,56414000000,68097,,USA,186710000000,MORGAN STANLEY,,https://en.wikipedia.org/wiki/Morgan_Stanley
,44469000000,120930000000,349671,,China,182170000000,CHINA CONSTRUCTION BANK CORPORATION,,https://en.wikipedia.org/wiki/China_Construction_Bank
Ben van Beurden,-21680000000,180640000000,86000,https://www.facebook.com/Shell,Netherlands,181560000000,ROYAL DUTCH SHELL,https://twitter.com/shell,https://en.wikipedia.org/wiki/Royal_Dutch_Shell
Pascal Soriot,112000000,37417000000,83100,,UK,178120000000,ASTRAZENECA,https://twitter.com/astrazeneca,https://en.wikipedia.org/wiki/AstraZeneca
Walter W Bettinger II,5855000000,18996000000,32000,https://www.facebook.com/CharlesSchwab/,USA,173440000000,THE CHARLES SCHWAB CORPORATION,https://twitter.com/charlesschwab,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation
Axel Dumas,2695000000,9898000000,15417,https://www.facebook.com/hermes,France,172040000000,HERMES INTERNATIONAL,https://twitter.com/hermes_paris,https://en.wikipedia.org/wiki/Herm%C3%A8s
Sanjiv Lamba,3826000000,30793000000,74207,,UK Ireland,171940000000,LINDE AG,https://twitter.com/Lindeplc,https://en.wikipedia.org/wiki/Linde_plc
James L Robo,3573000000,17069000000,9700,https://www.facebook.com/nexteraenergy/,USA,169550000000,NEXTERA ENERGY,,https://en.wikipedia.org/wiki/NextEra_Energy
Marvin Ellison,8409000000,96250000000,220000,https://www.facebook.com/lowes,USA,169170000000,LOWE'S COMPANIES,,https://en.wikipedia.org/wiki/Lowe%27s
Richard K. Templeton,7769000000,18344000000,31000,,USA,165720000000,TEXAS INSTRUMENTS,https://twitter.com/txinstruments,https://en.wikipedia.org/wiki/Texas_Instruments
Lance M. Fritz,6523000000,21804000000,32124,https://www.facebook.com/unionpacific,USA,163790000000,UNION PACIFIC CORPORATION,https://twitter.com/UnionPacific,https://en.wikipedia.org/wiki/Union_Pacific_Railroad
Mike Henry,21391000000,45066000000,80000,,Australia,162910000000,BHP GROUP,https://twitter.com/bhp,https://en.wikipedia.org/wiki/BHP
Christian Klein,5791000000,30682000000,107415,https://www.facebook.com/SAP,Germany,162540000000,SAP SE,https://twitter.com/SAP,https://en.wikipedia.org/wiki/SAP_SE
,35097000000,104700000000,459000,,China,160760000000,AGRICULTURAL BANK OF CHINA,,https://en.wikipedia.org/wiki/Agricultural_Bank_of_China
Sasan K. Goodarzi,2066000000,12726000000,13500,https://www.facebook.com/intuit,USA,160710000000,INTUIT,https://twitter.com/Intuit,https://en.wikipedia.org/wiki/Intuit
Wang Xing,-3698000000,28141000000,58390,,China,160510000000,MEITUAN DIANPING,,https://en.wikipedia.org/wiki/Meituan-Dianping
David I. McKay,12230000000,35376000000,85301,https://www.facebook.com/rbc,Canada,159750000000,ROYAL BANK OF CANADA,https://twitter.com/RBC,https://en.wikipedia.org/wiki/Royal_Bank_of_Canada
Lisa Su,3162000000,16434000000,15500,https://www.facebook.com/AMD/,USA,159410000000,ADVANCED MICRO DEVICES (AMD),https://twitter.com/amd,https://en.wikipedia.org/wiki/Advanced_Micro_Devices
Kenichiro Yoshida,6437000000,72397000000,109700,https://www.facebook.com/SonyPhilippines,Japan,156010000000,SONY CORPORATION,https://twitter.com/sony,https://en.wikipedia.org/wiki/Sony
Jacek Olczak,9109000000,31405000000,69900,https://www.facebook.com/InsidePMI/,USA,154340000000,PHILIP MORRIS INTERNATIONAL,https://twitter.com/insidepmi,https://en.wikipedia.org/wiki/Philip_Morris_International
Ma Mingzhe,15964000000,202290000000,362000,,China,150120000000,PING AN INSURANCE (GROUP) COMPANY OF CHINA,https://twitter.com/pingan_group?lang=en,https://en.wikipedia.org/wiki/Ping_An_Insurance
Darius Adamczyk,5542000000,34392000000,99000,https://www.facebook.com/Honeywell/,USA,148530000000,HONEYWELL INTERNATIONAL,https://twitter.com/Honeywell,https://en.wikipedia.org/wiki/Honeywell
Bharat Masrani,10803000000,32501000000,89464,https://www.facebook.com/TDBankGroup,Canada,144320000000,TORONTO-DOMINION BANK,https://twitter.com/tdbank_us?lang=en,https://en.wikipedia.org/wiki/Toronto%E2%80%93Dominion_Bank
Wang Dongjin,13413000000,380440000000,476223,,China,143700000000,PETROCHINA COMPANY,https://twitter.com/chinapetro?lang=en,https://en.wikipedia.org/wiki/PetroChina
Pietro Beccari,5450000000,70765000000,128339,https://www.facebook.com/Dior/,France,143380000000,CHRISTIAN DIOR,https://twitter.com/dior,https://en.wikipedia.org/wiki/Christian_Dior_SE
Tobias Lutke,2914000000,4611000000,7000,https://www.facebook.com/shopify/,Canada,143340000000,SHOPIFY,,https://en.wikipedia.org/wiki/Shopify
Yu Nakata,2214000000,5511000000,8380,,Japan,142420000000,KEYENCE CORPORATION,,https://en.wikipedia.org/wiki/Keyence
Geoffrey S. Martha,5038000000,31677000000,90000,https://www.facebook.com/Medtronic/,Ireland,141390000000,MEDTRONIC,https://twitter.com/medtronic,https://en.wikipedia.org/wiki/Medtronic
Giovanni Caforio,6994000000,46385000000,32200,https://www.facebook.com/BristolMyersSquibb/,USA,139460000000,BRISTOL-MYERS SQUIBB COMPANY,https://twitter.com/bmsnews,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb
Roland Busch,6788000000,68616000000,303000,https://www.facebook.com/Siemens,Germany,138710000000,SIEMENS,https://twitter.com/siemens,https://en.wikipedia.org/wiki/Siemens
Patrick Pouyanne,16032000000,184630000000,105476,,France,138010000000,TOTALENERGIES SE,,https://en.wikipedia.org/wiki/TotalEnergies
Karen S. Lynch,7910000000,292110000000,295000,,USA,137540000000,CVS HEALTH CORPORATION,,https://en.wikipedia.org/wiki/CVS_Health
