categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
"['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']",-1.38%,-17.67%,AAPL,USA,$2.242 T,Apple,1,$140.94
"['Restaurantchains', 'Dowjones', 'Food']",-0.53%,4.01%,MCD,USA,$198.00 B,McDonald,46,$270.34
['Telecommunication'],-0.40%,27.01%,TMUS,USA,$185.11 B,T-Mobile US,51,$148.79
"['Automakers', 'Manufacturing']",0.55%,-24.32%,TM,Japan,$195.66 B,Toyota,49,$141.86
"['Tech', 'Electronics', 'Networkinghardware', 'Dowjones', 'Telecommunicationsequipment', 'TechHardware']",-0.84%,-17.05%,CSCO,USA,$197.92 B,Cisco,47,$48.18
['Conglomerate'],1.09%,-14.40%,DHR,USA,$195.26 B,Danaher,50,$268.24
"['Pharmaceuticals', 'Biotech']",1.09%,13.70%,NVS,Switzerland,$197.31 B,Novartis,48,$91.73
['Medicaldevices'],0.91%,-20.85%,ABT,USA,$182.74 B,Abbott Laboratories,52,$104.81
"['Consumergoods', 'CAC40', 'CosmeticsandBeauty']",-0.35%,-22.15%,OR.PA,France,$199.76 B,L'Oréal,45,$373.27
"['Banks', 'Financialservices']",1.05%,-12.50%,1398.HK,China,$211.55 B,ICBC,42,$0.49
"['Semiconductors', 'Tech']",-1.39%,-12.18%,AVGO,USA,$209.99 B,Broadcom,43,$518.50
"['Retail', 'SupermarketChains']",0.17%,-11.08%,COST,USA,$213.32 B,Costco,40,$481.97
"['Tech', 'Software']",-0.16%,-12.52%,ORCL,USA,$212.40 B,Oracle,41,$78.78
"['Pharmaceuticals', 'Biotech']",0.42%,25.73%,AZN,UK,$213.37 B,Astrazeneca,39,$68.85
"['OilGas', 'Energy']",-0.58%,26.80%,SHEL,UK,$204.68 B,Shell,44,$56.35
['Conglomerate'],-0.05%,1.80%,RELIANCE.NS,India,$217.56 B,Reliance Industries,38,$32.16
['Retail'],2.47%,-19.47%,LOW,USA,$125.10 B,Lowe's Companies,100,$206.89
"['Banks', 'Financialservices']",-0.95%,0.40%,HDB,India,$125.58 B,HDFC Bank,99,$67.57
