country,employees,founded,industry,link,name,revenue
Philippines,385,2017,Ecommerce,https://www.greatdealscorp.com/,Great Deals E-Commerce Corp.,88.77
South Korea,63,2008,Pharmaceuticals,http://www.pclchip.com/,PCL Inc.,45.48
South Korea,47,2013,Games industry,https://www.spolive.com/,Spolive,9.49
Singapore,82,2015,Support Services,https://www.workmate.asia/,Workmate,12.44
Taiwan,78,2007,Pharmaceuticals,http://www.taimedbiologics.com/,TaiMed Biologics,24.42
Singapore,164,2014,Ecommerce,https://www.sciecomm.com/,SCI Ecommerce,108.46
Thailand,7,2012,Food & Beverage,http://www.icychaya.co.th/,I-CY CHAYA ,44.04
Australia,52,2016,Fintech,https://www.grow.com.au/,Grow Finance,15.02
India,355,2017,Industrial Goods,https://sambhv.com/,SAMBHV Steel,64.65
Philippines,108,2014,Technology,https://www.inteluck.com/,INTELUCK,7.06
Singapore,400,2015,Technology,https://carro.sg/,Carro,86.35
South Korea,101,2017,Food & Beverage,https://www.gopizza.kr/,GOPIZZA,6.17
India,594,2016,Education,https://www.interviewbit.com/,Scaler by InterviewBit,31.04
Japan,61,2017,Technology,https://pixiedusttech.com/,Pixie Dust Technologies,4.56
Indonesia,54,2015,Ecommerce,http://www.kioson.com/,Kioson,204.99
Singapore,92,2014,Ecommerce,https://www.sciecomm.com/,SCI Ecommerce,46.08
New Zealand,22,2014,Energy,https://www.electrickiwi.co.nz/,Electric Kiwi,35.63
Finland,218,2016,Technology,https://swappie.com/,Swappie,"97,611,814"
Singapore,21,2016,Transport,https://www.haulio.io/,Haulio,5.62
India,13,2016,Technology,https://www.digio.in/,Digio,6.75
India,60,2016,Ecommerce,https://www.skillmatics.in/,Skillmatics,7.42
Japan,40,2015,Sales & Marketing,http://www.strgl.co.jp/,Struggle,24.81
India,285,2016,Technology,https://themathcompany.com/,TheMathCompany,7.56
Lithuania,177,2013,Health,https://kilo.health/,Kilo Health,"57,318,766"
UK,32,2012,Financial Services,https://www.oci-group.co.uk/,OCI,"568,322,073"
India,202,2012,Fintech,https://www.roinetsolution.com/,ROINET Solution,23.52
Singapore,318,2013,Support Services,https://glints.com/,Glints Intern,9.78
Japan,34,2016,Property,https://reqrea.co.jp/,Reqrea,3.36
India,182,2014,Financial Services,http://www.roinetsolution.com/,ROINET Solution,17.91
Japan,28,2016,Technology,https://www.gvm-av.com/,Global Vision Multimedia,7.18
UK,800,2016,Technology,https://onlyfans.com/,OnlyFans,"316,732,986"
UK,575,2015,Energy,https://bulb.com,Bulb Energy,"1,737,586,657"
India,120,2015,Property,https://amberstudent.com/,Amberstudent,3.64
Australia,100,2014,Telecoms,https://www.tangerinetelecom.com.au/,Tangerine Telecom,35.24
India,39,2014,Financial Services,https://omkaraarc.com/,Omkara,10.71
Singapore,135,2015,Technology,https://roadbull.com/,Roadbull Logistics,6.76
Japan,67,2015,Technology,https://inside.ai/,AI inside,14.63
Australia,7,2015,Transport,https://www.sgslogistics.com.au/,SGS Logistics,8.38
Germany,365,2017,Energy,https://www.enpal.de/,Enpal,"56,109,613"
Latvia,750,2012,Fintech,https://sunfinance.group,Sun Finance,"101,475,796"
South Korea,"1,046",2015,Ecommerce,https://www.kurly.com/,MarketKurly,807.49
India,"1,096",2015,Waste management & recycling,https://www.zigma.in/,Zigma Global,21.69
India,60,2013,Technology,https://greedygame.com/,GreedyGame,9.45
Taiwan,229,2013,Technology,https://www.ecloudvalley.com/,eCloudvalley,209.25
India,600,2016,Retail,https://www.wakefit.co/,Wakefit,28.21
Germany,9,2017,Waste management & recycling,https://www.mrc-herford.de/,MR Consulting,"13,165,586"
UK,46,2015,Energy,https://www.everflowgroup.co.uk,Everflow Group,"55,902,990"
India,186,2017,Technology,https://sankeysolutions.com/,Sankey Solutions,2.61
Singapore,974,2015,Technology,https://carro.sg/,Carro,215.01
Singapore,30,2016,Fintech,https://www.360f.com/,360F,3.63
Singapore,25655,2014,Transport,https://www.ninjavan.co/,Ninja Van Logistics,249.53
South Korea,42,2013,Games industry,http://www.spolivecorp.co.kr/,Spolive,12.01
Malaysia,672,2014,Automobiles,https://www.carsome.com/,Carsome,203.94
UK,57,2015,Health,https://thriva.co/,Thriva,"18,732,563"
UK,85,2015,Construction,https://glencar.com,Glencar Construction,"110,298,923"
Singapore,26,2009,Waste management & recycling,https://www.brmetalsltd.com/,BR Metals,143.12
Singapore,20,2017,Personal & Household Goods,https://www.bulkings.com.sg/,Bulkings Distribution,10.65
South Korea,72,2013,Pharmaceuticals,http://www.tnrbiofab.com/,T&R Biofab,5.77
South Korea,358,2014,Ecommerce,https://www.kurly.com/,Market Kurly,369.66
Singapore,25,2015,Telecoms,https://www.bluewireless.com/,Blue Wireless,2.80
France,200,2015,Industrial Goods,https://www.exotec.com/,Exotec,"47,597,000"
Italy,10,2015,Ecommerce,https://www.winelivery.com/,Winelivery,"7,337,290"
Poland,376,2016,Technology,https://spyro-soft.com,Spyrosoft,"16,635,991"
United Kingdom,155,1992,Financial Services,https://blue.co.uk,Blue Motor Finance,61.4
Japan,102,2015,Technology,https://inside.ai/,AI inside,43.06
India,25,2014,Technology,https://www.flexingit.com/,Flexing It,3.13
Philippines,43,2016,Fashion,http://www.stylistinpocket.com/,"Stylist in Pocket Technologies, Inc.",1.56
Singapore,1556,2015,Travel & Leisure,https://www.reddoorz.com/,RedDoorz,8.50
South Korea,64,2014,Support Services,https://www.cardoc.co.kr/,Cardoc,18.98
New Zealand,9,2012,Personal & Household Goods,https://ethiqueworld.com/,Ethique,12.83
Sweden,117,2015,Technology,https://instabox.io/se-en/,Instabox,"24,484,879"
Austria,180,2016,Food & Beverage,https://eu.waterdrop.com/,Waterdrop,"41,205,930"
Germany,91,2016,Technology,https://www.kolibrigames.com,Kolibri Games**,"53,500,970"
United Kingdom,1664,2013,Food & Beverage,https://deliveroo.co.uk,Deliveroo,316.1
Estonia,350,2013,Technology,https://www.taxify.eu,Taxify,17.8
Singapore,422,2014,Fintech,https://www.nium.com/,Nium,15.98
Japan,65,2013,Technology,https://corporate.yamap.co.jp/,YAMAP,7.20
New Zealand,31,2015,Technology,https://dovetailstudios.com/,Dovetail,8.47
New Zealand,28,2013,Technology,https://www.kamiapp.com/,Kami,2.16
France,11,2016,Support Services,http://www.one-lease.fr/,One Lease,"9,015,211"
Sweden,38,2015,Batteries,https://polarium.com,Polarium Energy Solutions,"43,207,400"
Germany,30,2012,Technology,https://www.solectric.de,Solectric,40.9
Japan,29,2015,Media,https://harch.jp/,Harch,5.18
Japan,30,2016,Sales & Marketing,https://www.i-goods.co.jp/,IGOODS,30.01
Singapore,16,2009,Waste management & recycling,https://www.brmetalsltd.com/,BR Metals,107.40
Australia,203,2016,Energy,http://www.smartenergygroup.com.au/,Smart Energy Group,34.64
India,1050,2013,Technology,https://razorpay.com/,Razorpay,73.76
Italy,251,2017,Technology,https://datlas.it/en/,Datlas*,"9,034,926"
UK,7,2013,Fintech,https://www.crossflowpayments.co.uk,Crossflow Payment Solutions Trading,"14,333,126"
United Kingdom,69,2006,Pharmaceuticals,https://www.psioxus.com,Psioxus Therapeutics,64.4
Singapore,22,2014,Personal & Household Goods,https://www.hegen.com/,Hegen,24.31
Japan,10,2011,Architecture,https://kaleidojapan.com/,KALEIDO JAPAN,5.45
Singapore,7,2016,Financial Services,https://www.redpeak.sg/,Redpeak Advisers,10.11
Australia,36,2014,Retail,https://missamara.com.au/,Miss Amara,7.07
South Korea,204,2012,Fintech,https://www.wadiz.kr/,Wadiz,12.47
Singapore,104,2011,Fintech,https://www.codapayments.com/,Coda Payments,80.32
UK,224,2016,Fintech,https://www.zego.com/,Zego,"12,158,046"
Netherlands,550,2014,Travel & Leisure,https://www.swapfiets.com,Swapfiets,"22,700,000"
United Kingdom,25,2013,Technology,https://www.housekeep.com,Housekeep,7.3
Japan,5,2015,Energy,https://mikienergy.com/,Mikienergy,8.62
Japan,12,2016,Cyber Security,https://www.closip.co.jp/,closip,1.43
Singapore,232,2011,Fintech,https://www.codapayments.com/,Coda Payments,144.86
Australia,40,2016,Technology,https://www.hyperanna.com/,Hyper Anna,1.86
Australia,12,2014,Ecommerce,https://www.solbari.com/,Sun Protection Apparel,1.89
Singapore,10,2016,Retail,https://thermomix.com.sg/,The Future of Cooking,8.35
Germany,24,2017,Transport,https://www.hcl-logistics.de/,HCL-Logistics,"11,387,156"
Spain,783,2009,Technology,https://www.jobandtalent.com,jobandtalent,"271,481,287"
UK,98,2014,Financial Services,https://www.landbay.co.uk,Landbay Partners,"9,155,241"
United Kingdom,29,2014,Fashion,https://www.crepprotect.com,Crep Protect,28.7
Vietnam,200,2017,Food & Beverage,https://loship.vn/,Loship,14.54
Philippines,108,2016,Financial Services,https://www.firstcircle.ph/,First Circle,5.62
Australia,18,2013,Technology,https://www.cloudwave.com.au/,CloudWave,3.77
Australia,219,2015,Health,https://www.dementiacaring.com.au/,Dementia Caring ,20.56
Indonesia,193,2008,Transport,http://www.tebe.co.id/,Dana Brata Luhur,26.85
Indonesia,344,2015,Retail,https://fabelio.com/,Fabelio,13.04
UK,34,2016,Technology,https://popsa.com/,Popsa,"21,455,864"
UK,371,2010,Retail,https://www.chillysbottles.com,Chilly's Bottles,"35,348,422"
Spain,62,2007,Travel & Leisure,https://itravex.es,Viajes Libratur (iTravex),43.7
India,35,2002,Industrial Goods,https://www.mepl-mmw.com/,Mohan Electro Casting,3.23
South Korea,25,2016,Sales & Marketing,https://www.goodtogreat.co.kr/,GTOG International,35.34
Singapore,301,2012,Health,https://wavelifesciences.com/,WAVE Life Sciences,15.84
Thailand,44,2014,Education,https://www.skilllane.com/,SkillLane,3.05
Switzerland,41,2017,Technology,https://unit8.com/,Unit8,"7,234,981"
Germany,9,2013,Technology,https://safe4u.de,safe4u,"6,700,000"
United Kingdom,618,2013,Cyber Security,https://www.darktrace.com,Darktrace,36.1
United Kingdom,200,2015,Fintech,https://www.oaknorth.com/,OakNorth Bank,67.91
Japan,90,2015,Technology,https://www.nkc-asia.com/,NKC ASIA,37.92
India,494,2016,Management Consulting,https://themathcompany.com/,TheMathCompany,13.85
