address,est_of_ownership,hhid,id,industry,name,nation,sic_code,type
"VIALE REGINA MARGHERITA 137, ROMA, 00198, ROMA, ITALY",1962,H-IT0031426662,d60823f20d864692b517a8ad6c1418ed,"Finance, Insurance, and Real Estate",Enel Spa,IT00934061003,Holding company (6719),Corporation
"VIA GIAMBOLOGNA 1, PIOLTELLO, 20096, MILANO, ITALY",1957,H-IT0068388950,c7856532ca8b4dd286a9602c77221035,Retail Trade,Esselunga Spa,IT04916380159,Ret mail-order house (5961),Corporation
"VIA VITTOR PISANI 20, MILANO, 20124, MILANO, ITALY",2019,H-IT0289899385,e8e04ae3e4594e3b836e62077155b19a,"Finance, Insurance, and Real Estate",Superit Srl,IT11068950960,Holding company (6719),Corporation
"GALLERIA PASSARELLA 2, MILANO, 20122, MILANO, ITALY",1962,H-IT0018414451,37290f39faa54935813c0c6f840d7353,Manufacturing,Saras Spa,IT00136440922,Petroleum refiner (2911),Corporation
"PIAZZA GAE AULENTI 3 TOWER A, MILANO, 20154, MILANO, ITALY",1870,H-IT0009571558,bb3a80a40f704c688f804f627667fd31,"Finance, Insurance, and Real Estate",Unicredit Spa,IT00348170101,National commercial bank (6021),Corporation
"VIALE UNGHERIA 46, MILANO, 20138, MILANO, ITALY",2020,H-IT0587927934,4883354f373d44a292f4a65e1bfcc713,Services,Send To Me Srl,IT11386820960,Computer related services (7379),Corporation
"CORSO INGHILTERRA 3, TORINO, 10138, TORINO, ITALY",1980,H-IT0075504235,74c186ec773c4e51be51af78f8c2677f,"Finance, Insurance, and Real Estate",Intesa Sanpaolo Vita Spa,IT02505650370,Life insurance carrier (6311),Corporation
"VIA STALINGRADO 45, BOLOGNA, 40128, BOLOGNA, ITALY",1921,H-IT0009030107,ced3963e442b46ddb59a19c8a6657673,"Finance, Insurance, and Real Estate",Unipolsai Assicurazioni Spa,IT00818570012,Insurance carrier (6399),Corporation
"VIA ROMBON 11, MILANO, 20134, MILANO, ITALY",2004,H-IT0074190970,ee1d7d948fe14782af9e862a4168657e,Wholesale Trade,Totalenergies Petrochemicals & Refining Sa Nv,IT04488120967,Whol chemicals/products (5169),Foreign Company
"PIAZZA MINGHETTI 4/D, BOLOGNA, 40124, BOLOGNA, ITALY",2007,H-IT0002023660,c16581f085eb47f2acc45d01ac375d83,"Finance, Insurance, and Real Estate",Sanastera Spa,IT02755811201,Holding company (6719),Corporation
"VIALE CARLO BERTI PICHAT 2/4, BOLOGNA, 40127, BOLOGNA, ITALY",1925,H-IT0074735071,8786bbad9a984545930fa9cfe2f1c91f,"Transportation, Communications, Electric, Gas, and Sanitary Services",Hera Spa,IT04245520376,Water supply service (4941),Corporation
"VIALE CASSALA 57, MILANO, 20143, MILANO, ITALY",1891,H-IT0009235574,b23ecf57609847dc96df9573baf5b1f2,Wholesale Trade,Esso Italiana Srl,IT00902231000,Whol petroleum products (5172),Corporation
"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY",1861,H-IT0072035536,088b0cfa24d948fc8f57b8018d9bf5c6,"Transportation, Communications, Electric, Gas, and Sanitary Services",Poste Italiane Spa,IT01114601006,U.S. Postal Service (4311),Corporation
"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY",1996,H-IT0072707569,364c23f6fa1f4cee8b12717b97bbda38,"Transportation, Communications, Electric, Gas, and Sanitary Services",A2a Spa,IT11957540153,Electric services (4911),Corporation
"VIALE DELL'INNOVAZIONE 3, MILANO, 20126, MILANO, ITALY",2002,H-IT0073209457,0ce01c84d3cb4755b2d14064f056d236,"Finance, Insurance, and Real Estate",Arrow Electronics Emeasa Srl,IT03712140965,Holding company (6719),Corporation
"FORO BUONAPARTE 31, MILANO, 20121, MILANO, ITALY",1994,H-IT0012735906,03e3d8646c724aa0a9ba6e18e51b8327,"Finance, Insurance, and Real Estate",Edison Spa,IT08263330014,Holding company (6719),Corporation
"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY",1992,H-IT0056073372,d079f59fdad84931a11eec02eb8af361,"Finance, Insurance, and Real Estate",Ferrovie Dello Stato Italiane Spa,IT06359501001,Holding company (6719),Corporation
