ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Joseph A. Ferraro,United States," 16,000", 2006 ,"Parsippany,NJ,UnitedStates",Rental & Leasing Services,$18.12 B,"Avis Budget Group, Inc.",Industrials,CAR
 Mr. Christian  Mauad Gebara,Brazil," 34,000", 1998,"SÃ£oPaulo,SP,Brazil",Telecom Services,$20.19 B,Telefônica Brasil SA,Communication Services,VIV
 Mr. Yuji  Fukasawa,Japan," 71,973",,"Tokyo,Japan",Railroads,$22.78 B,East Japan Railway Company,Industrials,9020
 Mr. Jeffrey  Lawson,United States," 7,867", 2008,"SanFrancisco,CA,UnitedStates",Internet Content & Information,$26.09 B,Twilio Inc.,Communication Services,TWLO
 Mr. Ping  Cheng,Taiwan,,,"Taipei,Taiwan",Electronic Components,$24.05 B,"Delta Electronics, Inc.",Technology,2308
 Mr. Robert Jeffrey Orr,Canada," 30,000", 1925,"MontrÃ©al,QC,Canada",Insurance—Life,$21.48 B,Power Corporation of Canada,Financials,POW
 Mr. Peter Maxwell Kern,United States," 14,800"," October 22, 1996","Seattle,WA,UnitedStates",Travel Services,$27.91 B,"Expedia Group, Inc.",Consumer Discretionary,EXPE
,United Kingdom," 4,000", 1925,"Goole,UnitedKingdom",Specialty Chemicals,$19.22 B,Croda International plc,Basic Materials,CRDA
 Mr. Bom Suk  Kim,South Korea," 68,000",,"Seoul,SouthKorea",Internet Retail,$30.53 B,"Coupang, Inc.",Consumer Discretionary,CPNG
 Mr. Michael J. Hennigan,United States," 1,139", 1988,"Findlay,OH,UnitedStates",Oil & Gas Midstream,$35.27 B,MPLX LP,Energy,MPLX
 Ms. Alison Marie Rose-Slade B.A.,United Kingdom," 58,735", 25 March 1968,"Edinburgh,UnitedKingdom",Banks,$32.72 B,NatWest Group plc,Financials,NWG
 Mr. Edward D. Breen,United States," 28,000"," September 1, 2017","Wilmington,DE,UnitedStates",Chemicals,$39.72 B,"DuPont de Nemours, Inc.",Basic Materials,DD
 Mr. Enrique J. Lores,United States," 51,000"," January 1, 1939","PaloAlto,CA,UnitedStates",Computer Hardware,$43.90 B,HP Inc.,Technology,HPQ
 Mr. Toshihiro  Mibe,Japan," 211,374"," Hamamatsu, Japan October 1946, incorporated 24 September 1948","Tokyo,Japan",Auto Manufacturers,$49.11 B,"Honda Motor Co., Ltd.",Consumer Discretionary,7267
" Ms. Shemara R. Wikramanayake B.Com., L.L.B., LLB, BCom (UNSW)",Australia," 17,209", 1969,"Sydney,NSW,Australia",Capital Markets,$55.99 B,Macquarie Group Limited,Financials,MQG
 Ms. Mary T. Barra,United States," 157,000"," September 16, 1908","Detroit,MI,UnitedStates",Auto Manufacturers,$62.69 B,General Motors Company,Consumer Discretionary,GM
 Mr. Michael A. Mussallem,United States," 15,700", 1958,"Irvine,CA,UnitedStates",Medical Devices,$73.38 B,Edwards Lifesciences Corporation,Healthcare,EW
 Mr. Mario  Greco,Switzerland," 55,000",,"Zurich,Switzerland",Insurance—Diversified,$73.58 B,Zurich Insurance Group AG,Financials,ZURN
 Mr. Michael  Cannon-Brookes,Australia," 7,388", 2002,"Sydney,NSW,Australia",Software—Application,$73.72 B,Atlassian Corporation Plc,Technology,TEAM
 Mr. Ernie L. Herrman,United States," 270,000", 1987,"Framingham,MA,UnitedStates",Apparel Retail,$73.99 B,"The TJX Companies, Inc.",Consumer Discretionary,TJX
 Mr. Jeffrey C. Sprecher,United States," 8,858"," May 11, 2000","Atlanta,GA,UnitedStates",Financial Data & Stock Exchanges,$74.17 B,"Intercontinental Exchange, Inc.",Financials,ICE
,Canada," 9,735",,"Calgary,AB,Canada",Oil & Gas E&P,$74.78 B,Canadian Natural Resources Limited,Energy,CNQ
 Mr. William Henry Rogers Jr.,United States," 50,283", 1872,"Charlotte,NC,UnitedStates",Banks,$74.79 B,Truist Financial Corporation,Financials,TFC
" Dr. Leonard S. Schleifer M.D., Ph.D.",United States," 10,368", 1988,"Tarrytown,NY,UnitedStates",Biotechnology,$74.91 B,"Regeneron Pharmaceuticals, Inc.",Healthcare,REGN
 Mr. Daniel P.  O'Day,United States," 14,400"," June 22, 1987","FosterCity,CA,UnitedStates",Drug Manufacturers—General,$76.15 B,"Gilead Sciences, Inc.",Healthcare,GILD
 Mr. Thomas E. Polen Jr.,United States," 75,000"," East Rutherford, New Jersey 1897","FranklinLakes,NJ,UnitedStates",Medical Instruments & Supplies,$76.98 B,"Becton, Dickinson and Company",Healthcare,BDX
 Mr. William S. Demchak,United States," 57,668"," April 10, 1845","Pittsburgh,PA,UnitedStates",Banks,$77.10 B,"The PNC Financial Services Group, Inc.",Financials,PNC
 Mr. Timothy M. Archer,United States," 16,300", 1980,"Fremont,CA,UnitedStates",Semiconductor Equipment & Materials,$77.60 B,Lam Research Corporation,Technology,LRCX
 Mr. Thomas A. Fanning,United States," 27,027", 1945,"Atlanta,GA,UnitedStates",Utilities—Regulated Electric,$78.38 B,The Southern Company,Utilities,SO
,China," 384,065"," Beijing, China 25 February 2000","Beijing,China",Oil & Gas Integrated,$78.39 B,China Petroleum & Chemical Corporation,Energy,600028
,China," 3,985",,"Beijing,China",Utilities—Independent Power Producers,$78.42 B,China Yangtze Power Co. Ltd,Utilities,600900
 Mr. FranÃ§ois-Henri  Pinault,France," 42,811",,"Paris,France",Luxury Goods,$78.66 B,Kering SA,Consumer Discretionary,KER
 Mr. William Darryl White,Canada," 43,863", Montreal Bank 23 June 1817,"Montreal,QC,Canada",Banks,$79.22 B,Bank of Montreal,Financials,BMO
 Mr. Toshiki  Kawai,Japan," 14,479",,"Tokyo,Japan",Semiconductor Equipment & Materials,$79.62 B,Tokyo Electron Ltd,Technology,8035
 Mr. Andrew J. Cecere,United States," 68,796"," July 13, 1863","Minneapolis,MN,UnitedStates",Banks,$80.16 B,U.S. Bancorp,Financials,USB
 Mr. Francesco  Milleri,France," 144,888",,"Paris,France",Medical Instruments & Supplies,$80.49 B,EssilorLuxottica SA,Healthcare,EL
 Mr. Jay A. Brown,United States," 5,000", 1994,"Houston,TX,UnitedStates",REIT—Specialty,$80.92 B,Crown Castle International Corp. (REIT),Real Estate,CCI
" Mr. Ross Maxwell McEwan B.B.S., CBE",Australia," 32,741", 1982,"Docklands,VIC,Australia",Banks,$81.03 B,National Australia Bank Limited,Financials,NAB
 Mr. Samuel N. Hazen,United States," 204,000", 1968,"Nashville,TN,UnitedStates",Medical Care Facilities,$82.60 B,"HCA Healthcare, Inc.",Healthcare,HCA
 Mr. Benoit  Potier,France," 66,400",,"Paris,France",Chemicals,$83.24 B,Air Liquide SA,Basic Materials,AI
 Mr. Tobias  LÃ¼tke,Canada," 10,000", 2006,"Ottawa,ON,Canada",Software—Application,$83.80 B,Shopify Inc.,Technology,SHOP
 Mr. David Michael Cordani,United States," 72,226", 1982,"Bloomfield,CT,UnitedStates",Healthcare Plans,$84.67 B,Cigna Corporation,Healthcare,CI
 Mr. Hironori  Kamezawa,Japan," 132,700"," October 1, 2005","Tokyo,Japan",Banks,$85.03 B,"Mitsubishi UFJ Financial Group, Inc.",Financials,8306
 Mr. Sanjay  Mehrotra,United States," 43,000"," October 5, 1978","Boise,ID,UnitedStates",Semiconductors,$86.49 B,"Micron Technology, Inc.",Technology,MU
 Mr. Daniel S. Glaser,United States," 83,000", 1905,"NewYork,NY,UnitedStates",Insurance Brokers,$87.16 B,"Marsh & McLennan Companies, Inc.",Financials,MMC
 Mr. Terrence A. Duffy,United States," 3,480", 1848,"Chicago,IL,UnitedStates",Financial Data & Stock Exchanges,$87.17 B,CME Group Inc.,Financials,CME
 Mr. Gary  Nagle,Switzerland," 81,284", 1974,"Baar,Switzerland",Other Industrial Metals & Mining,$87.31 B,Glencore plc,Basic Materials,GLEN
 Mr. James Bruce Flatt,Canada," 150,000", 1899,"Toronto,ON,Canada",Asset Management,$87.46 B,Brookfield Asset Management Inc.,Financials,BAM.A
" Mr. Stephen Allen Schwarzman B.A., M.B.A.",United States," 3,795", 1985,"NewYork,NY,UnitedStates",Asset Management,$87.64 B,The Blackstone Group Inc.,Financials,BX
" Mr. Brian Johnston Porter A.M.P., B.Com.",Canada," 89,782"," March 30, 1832","Halifax,NS,Canada",Banks,$87.76 B,Bank of Nova Scotia,Financials,BNS
 Ms. Lynn J. Good,United States," 27,605", 1904,"Charlotte,NC,UnitedStates",Utilities—Regulated Electric,$88.76 B,Duke Energy Corporation,Utilities,DUK
 Mr. Michael F. Roman,United States," 95,000"," June 13, 1902","St.Paul,MN,UnitedStates",Specialty Industrial Machinery,$88.77 B,3M Company,Industrials,MMM
 Mr. Paul R. Perreault B.A.,Australia," 25,000", 1916,"Parkville,VIC,Australia",Biotechnology,$89.69 B,CSL Limited,Healthcare,CSL
 Ms. Kristin C. Peck,United States," 12,100", 1952 ,"Parsippany,NJ,UnitedStates",Drug Manufacturers—Specialty & Generic,$89.82 B,Zoetis Inc.,Healthcare,ZTS
,United States, 68,,"Wilmington,DE,UnitedStates",Chemicals,$90.34 B,Vulcan International Corp,Basic Materials,VULC
 Mr. Qiangdong  Liu,China," 310,000", 6 June 2009,"Beijing,China",Internet Retail,$90.46 B,"JD.com, Inc.",Consumer Discretionary,9618
 Mr. Dirk  Van de Put,United States," 79,000"," December 10, 1923","Chicago,IL,UnitedStates",Confectioners,$90.67 B,"Mondelez International, Inc.",Consumer Staples,MDLZ
 Ms. Belen  Garijo Lopez M.D.,Germany," 60,334",,"Darmstadt,Germany",Drug Manufacturers—Specialty & Generic,$90.74 B,MERCK Kommanditgesellschaft auf Aktien,Healthcare,MRK
 Mr. Timotheus  Hottges,Germany," 216,528",,"Bonn,Germany",Telecom Services,$93.01 B,Deutsche Telekom AG,Communication Services,DTE
 Mr. Jean-Pascal  Tricoire,France," 166,025",,"Rueil-Malmaison,France",Specialty Industrial Machinery,$94.34 B,Schneider Electric SE,Industrials,SU
 Mr. Al  Monaco,Canada," 10,900"," April 30, 1949 as Interprovincial Pipe Line Company","Calgary,AB,Canada",Oil & Gas Midstream,$94.94 B,Enbridge Inc.,Energy,ENB
 Ms. Tracy A. Robinson,Canada," 22,604", 6 June 1919,"Montreal,QC,Canada",Railroads,$94.96 B,Canadian National Railway Company,Industrials,CNR
 Mr. Glenn D. Fogel,United States," 20,097", 1996,"Norwalk,CT,UnitedStates",Travel Services,$95.02 B,Booking Holdings Inc.,Consumer Discretionary,BKNG
,China," 77,029",,"Beijing,China",Thermal Coal,$95.34 B,China Shenhua Energy Company Ltd,Energy,601088
