Founded,Headquarters,Industry,Name,Sector
2004,Uppsala,Health care,3H Biomedical,Biotechnology
2005,Malmö,Consumer goods,AarhusKarlshamn,Food products
1883,Gothenburg,Consumer goods,Abba Seafood,Food products
1921,Svängsta,Consumer goods,ABU Garcia,Recreational products
2001,Stockholm,Technology,Acando,Software
2014,Stockholm,Technology,Acast,Software
1997,Stockholm,Consumer goods,Acne Studios,Clothing & accessories
1895,Stockholm,Industrials,ÅF,Business support services
1904,Luleå,Oil & gas,AGA,Exploration & production
1899,Stockholm,Consumer services,Åhléns,Broadline retailers
1883,Lund,Industrials,Alfa Laval,Industrial machinery
2002,Landskrona,Industrials,Alfdex,Industrial machinery
1989,Ulricehamn,Industrials,AP&T,Industrial machinery
1970,Stockholm,Health care,Apoteket,Pharmaceuticals
2001,Stockholm,Telecommunications,Aptilo Networks,Mobile telecommunications
1997,Mölndal,Industrials,Arcam,Industrial suppliers
1883,Västerås,Industrials,ASEA,Diversified industrials
1988,Västerås,Industrials,ABB,Industrial machinery
1994,Stockholm,Industrials,Assa Abloy,Industrial suppliers
1913,Södertälje,Health care,Astra AB,Pharmaceuticals
1873,Nacka,Industrials,Atlas Copco,Diversified industrials
1958,Mölnlycke,Industrials,Atlet,Commercial vehicles & trucks
1997,Stockholm,Industrials,Autoliv,Business support services
2003,Stockholm,Technology,Avalanche Studios,Software
1999,Stockholm,Financials,Avanza,Investment services
1873,Stockholm,Conglomerates,Axel Johnson,-
1873,Stockholm,Conglomerates,Axel Johnson Group,-
1964,Stockholm,Consumer services,Axfood,Food retailers & wholesalers
1984,Lund,Technology,Axis Communications,Computer hardware
2006,Örnsköldsvik,Industrials,BAE Systems,Defense
1886,Enköping,Industrials,Bahco,Diversified industrials
1994,Stockholm,Telecommunications,Bahnhof,Fixed line telecommunications
1945,Gothenburg,Consumer goods,Ballograf,Nondurable household products
1912,Gothenburg,Industrials,Berg Propulsion,Industrial machinery
1963,Stockholm,Consumer services,Betsson,Gambling
1984,Uppsala,Health care,Biacore,Biotechnology
2012,Solna,Basic materials,BillerudKorsnäs,Paper
1974,Stockholm,Industrials,Bindomatic,Industrial suppliers
1990,Stockholm,Health care,BioGaia,Pharmaceuticals
2004,Stockholm,Consumer goods,Björn Borg,Clothing & accessories
1873,Karlskoga,Industrials,Bofors,Defense
1906,Lidingö,Industrials,Boghammar Marin AB,Commercial vehicles & trucks
1931,Stockholm,Basic materials,Boliden,General mining
1932,Eskilstuna,Industrials,Bolinder-Munktell,Commercial vehicles & trucks
1919,Malmö,Industrials,Bona AB,Building materials & fixtures
1804,Stockholm,Consumer services,Bonnier Group,Broadcasting & entertainment
1981,Malmö,Consumer services,Braathens Regional Aviation,Airlines
1998,Stockholm,Telecommunications,Bredbandsbolaget,Fixed line telecommunications
1884,Malmö,Consumer goods,Brio,Toys
1992,Stockholm,Financials,Bure Equity,Investment services
1963,Stockholm,Industrials,Camfil,Industrial machinery
1803,Stockholm,Financials,Carnegie Investment Bank,Investment services
1999,Stockholm,Consumer services,Casino Cosmopol,Gambling
1895,Upplands Väsby,Health care,Cederroth,Health care providers
2000,Stockholm,Consumer goods,Cheap Monday,Clothing & accessories
1918,Insjön,Consumer services,Clas Ohlson,Home improvement retailers
1983,Stockholm,Consumer goods,Clavia,Recreational products
1862,Stockholm,Consumer goods,Cloetta,Food products
2000,Stockholm,Technology,Columbitech,Software
1983,Stockholm,Telecommunications,Com Hem,Fixed line telecommunications
1981,Stockholm,Telecommunications,Comviq,Fixed line telecommunications
2001,Stockholm,Consumer services,Coop Norden,Food retailers & wholesalers
1986,Malmö,Financials,Danir AB,Investment services
2001,Stockholm,Telecommunications,Dataphone,mobile telecommunications
1954,Linköping,Industrials,Datasaab,Business support services
1883,Tumba,Industrials,DeLaval,Commercial vehicles & trucks
1998,Visby,Consumer services,Destination Gotland,Travel & tourism
1994,Stockholm,Health care,Diamyd Medical,Biotechnology
1905,Docksta,Industrials,Dockstavarvet,Commercial vehicles & trucks
1872,Borlänge,Basic materials,Domnarvet,Iron & steel
1974,Malmö,Technology,Doro,Telecommunications equipment
2003,Nacka,Technology,Draim,Software
1992,Stockholm,Technology,EA DICE,Software
1908,Mölnlycke,Industrials,Elanders,Business support services
1919,Stockholm,Consumer goods,Electrolux,Durable household products
1972,Stockholm,Health care,Elekta,Health care providers
1998,Gothenburg,Consumer goods,Elektron,Recreational products
1948,Malmö,Consumer goods,Elfa International,Furnishings
1947,Borås,Consumer services,Ellos,Broadline retailers
1968,Kista,Technology,ENEA AB,Software
2000,Stockholm,Technology,Eniro,Internet
2009,Stockholm,Technology,Epidemic Sound,Internet
1876,Stockholm,Technology,Ericsson,Telecommunications equipment
1904,Gothenburg,Industrials,ESAB,Business support services
1993,Eskilstuna,Utilities,Eskilstuna Energy and Environment,Conventional electricity
1913,Stockholm,Industrials,Esselte,Industrial suppliers
2013,Lund,Industrials,European Spallation Source,Business support services
1945,Habo,Industrials,Fagerhult Group,Building materials & fixtures
2008,Stockholm,Technology,Fatshark,Software
1960,Örnsköldsvik,Consumer goods,Fjällräven,Clothing & accessories
1961,Uddevalla,Industrials,FKAB,Business support services
1992,Stockholm,Financials,Föreningsbanken,Banks
1927,Stockholm,Financials,Forex Bank,Investment services
2007,Helsingborg,Technology,Frictional Games,Software
1990,Växjö,Consumer goods,Galvin Green,Clothing & accessories
1942,Stockholm,Consumer goods,GB Glace,Food products
1963,Falkenberg,Consumer services,Gekås,Broadline retailers
1904,Gothenburg,Health care,Getinge Group,Medical equipment
1946,Hässleholm,Industrials,Göinge Mekaniska,Heavy construction
2001,Solna,Industrials,Green Cargo,Delivery services
1970,Stockholm,Conglomerates,Grimaldi Industri,-
1889,Gothenburg,Industrials,Gunnebo Group,Business support services
1947,Stockholm,Consumer services,H&M,Apparel retailers
1914,Torsång,Consumer goods,Haglöfs,Recreational products
1925,Älvdalen,Consumer goods,Hagström,Recreational products
1887,Landskrona,Consumer goods,Haldex,Auto parts
1943,Ellös,Consumer goods,Hallberg-Rassy,Recreational products
1871,Stockholm,Financials,Handelsbanken,Banks
1841,Gothenburg,Consumer goods,Hasselblad,Recreational products
1852,Köping,Consumer services,Hästens,Specialty retailers
1936,Hestra,Consumer goods,Hestra,Clothing & accessories
1992,Stockholm,Industrials,Hexagon AB,Business support services
1988,Halmstad,Telecommunications,HMS Industrial Networks,Fixed line telecommunications
1797,Höganäs,Basic materials,Höganäs AB,Iron & steel
1875,Stockholm,Basic materials,Holmen,Paper
1988,Mattighofen,Consumer goods,Husaberg,Automobiles
1689,Stockholm,Industrials,Husqvarna Group,Industrial suppliers
1944,Hudiksvall,Industrials,Hydrauliska Industri AB,Commercial vehicles & trucks
1983,Uppsala,Technology,IAR Systems,Software
1938,Stockholm,Consumer services,ICA Gruppen,Broadline retailers
1983,Linköping,Technology,IFS AB,Software
1995,Malmö,Financials,Ikano Bank,Banks
2007,Uppsala,Technology,IMINT Image Intelligence AB,Software
2010,Solna,Industrials,Infranord,Railroads
2001,Stockholm,Technology,Ingate Systems,Software
2001,Stockholm,Technology,Intertex,Computer hardware
1984,Gothenburg,Financials,Investment AB Latour,Investment services
1961,Stockholm,Financials,Investment AB Öresund,Investment services
1916,Stockholm,Financials,Investor AB,Investment services
1983,Malmö,Consumer goods,IsaDora,Personal products
2011,Stockholm,Technology,iZettle,Software
1997,Stockholm,Consumer goods,J.Lindeberg,Clothing & accessories
1992,Stockholm,Technology,Jeeves,Software
2001,Stockholm,Industrials,Jernhusen,Railroads
1926,Malung,Consumer goods,Jofa,Recreational products
1832,Jonsered,Industrials,Jonsereds Fabrikers AB,Industrial machinery
1936,Stockholm,Financials,Kinnevik AB,Investment services
2005,Stockholm,Consumer services,Klarna,Broadline retailers
1840,Malmö,Industrials,Kockums Naval Solutions,Commercial vehicles & trucks
1994,Ängelholm,Consumer goods,Koenigsegg,Automobiles
1899,Stockholm,Consumer services,Kooperativa Förbundet,Consumer co-operatives
1882,Kopparberg,Consumer goods,Kopparbergs Brewery,Brewers
1742,Kosta,Industrials,Kosta Glasbruk,Building materials & fixtures
1836,Halmstad,Consumer goods,Krönleins,Brewers
1929,Järna,Consumer goods,Kungsörnen,Food products
1944,Stockholm,Financials,L E Lundbergföretagen,Investment services
1801,Stockholm,Financials,Länsförsäkringar,Full line insurance
1996,Stockholm,Financials,Länsförsäkringar Bank,Banks
2001,Stockholm,Consumer goods,Lantmännen,Farming & fishing
2011,Stockholm,Consumer services,LeoVegas,Gambling
1954,Gothenburg,Consumer services,Lindex,Apparel retailers
1957,Stockholm,Consumer services,Linjeflyg,Airlines
1890,Luleå,Basic materials,LKAB,General mining
1997,Stockholm,Industrials,Loomis,Business support services
2001,Stockholm,Oil & gas,Lundin Petroleum,Exploration & production
1923,Motala,Consumer goods,Luxor AB,Consumer electronics
2009,Uppsala,Technology,MachineGames,Software
1861,Västerås,Utilities,Mälarenergi,Conventional electricity
2001,Stockholm,Consumer services,Maratone Studios,Broadcasting & entertainment
1997,Malmö,Technology,Massive Entertainment,Software
1982,Gothenburg,Technology,Mecel,Software
1954,Solna,Health care,Meda AB,Pharmaceuticals
2009,Täby,Basic materials,Micromy,Specialty chemicals
1987,Stockholm,Consumer services,Modern Times Group,Broadcasting & entertainment
