,company_name,company_revenue,company_country,company_rank
0,Apple,$2.183 T,USA,#1
1,Saudi Aramco,$1.887 T,Saudi Arabia,#2
2,Microsoft,$1.790 T,USA,#3
3,Alphabet (Google),$1.278 T,USA,#4
4,Amazon,$992.11 B,USA,#5
5,Berkshire Hathaway,$683.33 B,USA,#6
6,Tencent,$481.92 B,China,#7
7,Visa,$475.00 B,USA,#8
8,TSMC,$472.08 B,Taiwan,#9
9,Exxon Mobil,$466.80 B,USA,#10
10,UnitedHealth,$454.76 B,USA,#11
11,NVIDIA,$444.54 B,USA,#12
12,Johnson & Johnson,$441.16 B,USA,#13
13,LVMH,$425.98 B,France,#14
14,Tesla,$421.30 B,USA,#15
15,JPMorgan Chase,$396.36 B,USA,#16
16,Walmart,$379.00 B,USA,#17
17,Meta Platforms (Facebook),$365.45 B,USA,#18
18,Mastercard,$361.77 B,USA,#19
19,Chevron,$349.79 B,USA,#20
20,Kweichow Moutai,$348.71 B,China,#21
21,Procter & Gamble,$338.79 B,USA,#22
22,Samsung,$335.28 B,South Korea,#23
23,Nestlé,$332.30 B,Switzerland,#24
24,Eli Lilly,$328.82 B,USA,#25
25,Home Depot,$321.04 B,USA,#26
26,Novo Nordisk,$317.35 B,Denmark,#27
27,Alibaba,$317.33 B,China,#28
28,Merck,$278.74 B,USA,#29
29,ASML,$274.76 B,Netherlands,#30
30,Bank of America,$270.69 B,USA,#31
31,AbbVie,$264.54 B,USA,#32
32,Roche,$260.56 B,Switzerland,#33
33,Coca-Cola,$259.81 B,USA,#34
34,Pfizer,$253.21 B,USA,#35
35,International Holding Company,$241.52 B,United Arab Emirates,#36
36,Broadcom,$238.52 B,USA,#37
37,Oracle,$235.24 B,USA,#38
38,Thermo Fisher Scientific,$232.83 B,USA,#40
39,L'Oréal,$225.20 B,France,#41
40,ICBC,$219.38 B,China,#42
41,AstraZeneca,$216.21 B,UK,#43
42,Costco,$213.03 B,USA,#44
43,Shell,$205.69 B,UK,#45
44,Reliance Industries,$203.40 B,India,#46
45,Toyota,$201.11 B,Japan,#47
46,Danaher,$199.75 B,USA,#48
47,Novartis,$198.08 B,Switzerland,#49
48,McDonald,$196.71 B,USA,#50
49,Abbott Laboratories,$196.70 B,USA,#51
50,Nike,$196.33 B,USA,#52
51,Cisco,$192.17 B,USA,#53
52,Hermès,$190.26 B,France,#54
53,Walt Disney,$188.70 B,USA,#55
54,T-Mobile US,$180.55 B,USA,#56
55,Accenture,$176.76 B,Ireland,#57
56,BHP Group,$175.76 B,Australia,#58
57,Comcast,$170.21 B,USA,#59
58,Wells Fargo,$168.38 B,USA,#60
59,Verizon,$167.99 B,USA,#61
60,China Construction Bank,$165.55 B,China,#62
61,CATL,$164.76 B,China,#63
62,Prosus,$164.08 B,Netherlands,#64
63,Adobe,$163.15 B,USA,#65
64,Nextera Energy,$162.58 B,USA,#66
65,Linde,$161.86 B,UK,#67
66,Morgan Stanley,$161.20 B,USA,#68
67,TotalEnergies,$157.91 B,France,#69
68,Philip Morris,$157.84 B,USA,#70
69,Bristol-Myers Squibb,$157.65 B,USA,#71
70,Texas Instruments,$157.00 B,USA,#72
71,CM Bank,$156.78 B,China,#73
72,China Mobile,$156.60 B,China,#74
73,Dior,$155.20 B,France,#75
74,United Parcel Service,$154.06 B,USA,#76
75,Netflix,$152.41 B,USA,#77
76,ConocoPhillips,$151.77 B,USA,#78
77,Tata Consultancy Services,$151.45 B,India,#79
78,Salesforce,$151.24 B,USA,#80
79,Agricultural Bank of China,$150.24 B,China,#81
80,HSBC,$147.12 B,UK,#82
81,Charles Schwab,$143.79 B,USA,#83
82,Ping An Insurance,$142.50 B,China,#84
83,Amgen,$140.45 B,USA,#85
84,SAP,$139.27 B,Germany,#86
85,Royal Bank Of Canada,$139.22 B,Canada,#87
86,Raytheon Technologies,$138.71 B,USA,#88
87,QUALCOMM,$137.77 B,USA,#89
88,AT&T,$137.05 B,USA,#90
89,PetroChina,$136.14 B,China,#91
90,Honeywell,$135.82 B,USA,#92
91,Meituan,$133.23 B,China,#93
92,Bank of China,$133.14 B,China,#94
93,AIA,$131.25 B,Hong Kong,#95
94,HDFC Bank,$131.03 B,India,#96
95,Caterpillar,$129.95 B,USA,#97
96,Unilever,$129.15 B,UK,#98
97,Union Pacific Corporation,$128.28 B,USA,#99
98,Commonwealth Bank,$127.83 B,Australia,#100
99,Rio Tinto,$127.04 B,UK,#101
100,IBM,$126.56 B,USA,#102
101,China Life Insurance,$126.35 B,China,#103
102,Lowe's Companies,$123.67 B,USA,#104
103,Boeing,$123.22 B,USA,#105
104,Sanofi,$123.10 B,France,#106
105,Siemens,$122.11 B,Germany,#107
106,Deere & Company,$122.01 B,USA,#108
107,Toronto Dominion Bank,$121.34 B,Canada,#109
108,Wuliangye Yibin,$120.91 B,China,#110
109,Anheuser-Busch Inbev,$120.75 B,Belgium,#111
110,Intel,$120.59 B,USA,#112
111,Starbucks,$120.56 B,USA,#113
112,S&P Global,$119.91 B,USA,#114
113,Pinduoduo,$117.38 B,China,#115
114,Lockheed Martin,$116.17 B,USA,#116
115,Elevance Health,$114.51 B,USA,#117
116,Goldman Sachs,$114.48 B,USA,#118
117,CVS Health,$114.31 B,USA,#119
118,Prologis,$113.37 B,USA,#120
119,American Express,$113.28 B,USA,#121
120,AMD,$112.97 B,USA,#122
121,Intuit,$111.82 B,USA,#123
122,BlackRock,$111.07 B,USA,#124
123,Sony,$110.90 B,Japan,#125
124,Deutsche Telekom,$108.91 B,Germany,#126
125,BP,$108.05 B,UK,#127
126,Medtronic,$107.62 B,Ireland,#128
127,Jingdong Mall,$107.21 B,China,#129
128,TAQA,$106.83 B,United Arab Emirates,#130
