,company_name,company_rank,company_revenue,company_country,company_industry
0,Apple,1,$2.194 T,usa,tech software dow-jones tech-hardware electronics 
1,Unilever,99,$129.09 B,united-kingdom,food consumer-goods 
2,AIA,97,$130.12 B,hong-kong,insurance 
3,Lowe's Companies,100,$128.96 B,usa,retail 
4,RWE,601,$30.02 B,germany,electricity dax energy 
5,AXA,201,$71.32 B,france,insurance cac-40 
6,Meituan,98,$129.66 B,china,internet tech e-commerce 
7,Deere & Company,96,$131.34 B,usa,machinery-manufacturing manufacturing 
8,Shin-Etsu Chemical,300,$53.11 B,japan,chemicals 
9,Bank of China,94,$133.02 B,china,banks financial-services 
10,Dynatrace,1401,$10.96 B,usa,software tech 
11,Union Pacific Corporation,95,$132.05 B,usa,railways transportation infrastructure 
12,General Motors,299,$53.14 B,usa,automakers manufacturing 
13,"Novocure
",1501,$10.06 B,None,biotech 
14,OCBC Bank,401,$43.12 B,singapore,banks 
15,Skandinaviska Enskilda Banken,701,$25.24 B,sweden,None
16,WPP,1301,$12.16 B,united-kingdom,advertising 
17,Centrais Electricas Brasileiras,901,$18.93 B,brazil,utility-companies electricity energy 
18,"Link REIT
",1001,$17.04 B,hong-kong,investment real-estate reit 
19,Match Group,1199,$13.38 B,usa,internet online-dating tech 
20,"Spring Airlines
",1601,$8.99 B,china,airlines travel transportation 
21,"Axon Enterprise
",1200,$13.37 B,usa,None
22,JDE Peet's,1101,$14.94 B,netherlands,beverages 
23,"Advanced Drainage Systems
",1801,$7.61 B,usa,None
24,Antofagasta,801,$21.69 B,united-kingdom,conglomerate mining 
25,"UWM Holdings
",2001,$6.61 B,usa,financial-services 
26,"Nippon YÅ«sen
",1299,$12.18 B,japan,transportation container-shipping maritime-transportation 
27,"Qantas Airways
",1701,$8.31 B,australia,airlines travel transportation 
28,Seagate Technology,1300,$12.17 B,ireland,tech electronics tech-hardware 
29,Endeavor Group,2091,$6.23 B,usa,media-press entertainment 
30,Viper Energy Partners,2301,$5.41 B,usa,None
31,"Mapletree Commercial Trust
",1901,$7.08 B,singapore,real-estate investment reit 
32,Convatec Group,2097,$6.20 B,united-kingdom,medical-devices 
33,FirstService,2101,$6.19 B,canada,None
34,Unimicron,2098,$6.20 B,taiwan,electronics tech tech-hardware 
35,Soitec,2201,$5.76 B,france,semiconductors tech tech-hardware 
36,"ENGIE Brasil
",2092,$6.22 B,brazil,electricity utility-companies energy 
37,Nutanix,2099,$6.19 B,usa,software tech 
38,Turkcell,2601,$4.44 B,turkey,telecommunication 
39,Samvardhana Motherson,2096,$6.20 B,india,automotive-suppliers 
40,BOSCH India,2100,$6.19 B,india,None
41,Mirvac Group,2095,$6.21 B,australia,real-estate investment reit 
42,"MDU Resources
",2093,$6.22 B,usa,None
43,Hanover Insurance Group,2501,$4.71 B,usa,None
44,"Nippon Prologis REIT
",2094,$6.21 B,japan,real-estate investment 
45,BlackLine,2700,$4.15 B,usa,None
46,"Escorts Limited
",3001,$3.39 B,india,specialty-vehicles manufacturing agriculture 
47,"Denali Therapeutics
",2695,$4.17 B,usa,None
48,First International Bank of Israel,2691,$4.18 B,israel,banks financial-services 
49,"Fomento de Construcciones y Contratas
",2696,$4.17 B,spain,construction 
