,company_name,company_country,company_industry
0,Swappie,Finland,Technology
1,Kilo Health,Lithuania,Health
2,OCI,UK,Financial Services
3,OnlyFans,UK,Technology
4,Enpal,Germany,Energy
5,MR Consulting,Germany,Waste management & recycling
6,Thriva,UK,Health
7,Exotec,France,Industrial Goods
8,Winelivery,Italy,Ecommerce
9,Instabox,Sweden,Technology
10,Waterdrop,Austria,Food & Beverage
11,One Lease,France,Support Services
12,Datlas*,Italy,Technology
13,Zego,UK,Fintech
14,HCL-Logistics,Germany,Transport
15,Popsa,UK,Technology
16,Unit8,Switzerland,Technology
17,Luoto Company,Finland,Technology
18,Journi Print,Austria,Ecommerce
19,Portify,France,Support Services
20,Tibber,Norway,Energy
21,Rascal Industry,Poland,Fashion
22,Pegaso Security,Italy,Support Services
23,Tide,UK,Fintech
24,Euro Top Brand,Italy,Retail
25,Bold Security Group,UK,Support Services
26,Play Magnus Group,Norway,Games industry
27,Blue Whale Growth Fund,UK,Financial Services
28,Kazidomi,Belgium,Ecommerce
29,Sun Finance,Latvia,Fintech
30,Credimi,Italy,Financial Services
31,SIRPLUS,Germany,Retail
32,AIHR | Academy to Innovate HR,The Netherlands,Education
33,Logistics Capital Partners (LCP),Luxembourg,Property
34,SÃ¼dwest Invest,Germany,Property
35,CORADE (Plurimmo),France,Property
36,Carranco,Spain,Food & Beverage
37,Telemedi,Poland,Health
38,Inkitt,Germany,Technology
39,H.K.Trading,Italy,Retail
40,Attest,UK,Technology
41,LGM IMMOBILIER,France,Property
42,Wolfram Chain*,The Netherlands,Management Consulting
43,RightNow,Germany,Technology
44,EO Charging,UK,Technology
45,CheTariffa.it,Italy,Support Services
46,Simply,UK,Financial Services
47,Salary Finance,UK,Fintech
48,DBT,Sweden,Fintech
49,Tutlo,Poland,Education
50,Ponera,France,Ecommerce
51,Active Energy Solutions,Greece,Energy
52,ACTEAM ENR,France,Energy
53,Everflow,UK,Technology
54,Azure Prism,UK,Retail
55,WR Logistics,Germany,Transport
56,iProov,UK,Technology
57,Spin Up,Italy,Advertising
58,BeGreat,Germany,Retail
59,Tsunami Nutrition*,Italy,Ecommerce
60,Matt Sleeps,The Netherlands,Interiors
61,Tessian,UK,Technology
62,Solarisbank,Germany,Financial Services
63,M2DG (MyFlexoffice),France,Support Services
64,Eukon,Italy,Health
65,Evolution Adv,Italy,Advertising
66,Making Science,Spain,Technology
67,Everli,Italy,Ecommerce
68,AppFollow,Finland,Technology
69,Synerise,Poland,Technology
70,ChaiKola,Poland,Food & Beverage
71,Scolution,Germany,Technology
72,JL&P,France,Energy
73,eFarma.com,Italy,Pharmaceuticals
74,Elvie,UK,Technology
75,Farmarelax,Italy,Personal & Household Goods
76,Omnisend,UK,Technology
77,World Trade Group,Italy,Fashion
78,BESTEAM Conseil,France,Technology
79,Motorway,UK,Automobiles
80,ISO Public Services,Germany,Technology
81,Octopus Energy,UK,Energy
82,CyberIAM*,UK,Cyber Security
83,Cbweed*,Italy,Personal & Household Goods
84,Catraport,Portugal,Automobiles
85,OUIHELP,France,Support Services
86,Inpay,Denmark,Fintech
87,M.G.I. Meccaniche Generali Irpine,Italy,Industrial Goods
88,Glencar Construction,UK,Construction
89,Qmee,UK,Technology
90,MyAppFree,Italy,Advertising
91,Investa Dienstleistungen,Germany,Support Services
92,Polarium Energy Solutions,Sweden,Batteries
93,Baroni Home,Italy,Ecommerce
94,Dayshape,UK,Technology
95,Marketers Company,Italy,Advertising
96,Easo Magno,Spain,Beauty
97,Greyfood,Germany,Retail
98,Misfits Health,UK,Food & Beverage
99,MeilleursBiens.com,France,Property
100,Fasanara Capital,UK,Financial Services
101,NtechLab,Cyprus,Technology
102,Babylino Sensitive,Italy,Personal & Household Goods
103,Fastned,The Netherlands,Technology
104,Oxray,Portugal,Health
105,ZEGA Invest,Germany,Property
106,Abylon Consulting,Hungary,Technology
107,Milrab,Norway,Ecommerce
108,Urbantz,Belgium,Technology
109,Tricas Construction,UK,Construction
110,Florence One,Italy,Technology
111,Ergotopia,Germany,Retail
112,Mcule.com Kft.,Hungary,Chemicals & Pharmaceuticals
113,Filo,Italy,Technology
114,Homepal,Italy,Property
115,Staffbase,Germany,Technology
116,ILON MATERIEL,France,Construction
117,Bio-marine,Ireland,Personal & Household Goods
