,company_name,company_website,company_employees,company_industry,company_founded
0,Proteus Digital Health Careers,www.proteus.com,201 to 500 employees,Pharmaceuticals,2004
1,Zelis Careers,www.zelis.com,"1,001 to 5,000 employees",Information Technology & Services,2016
2,UpNest Careers,www.upnest.com,1 to 50 employees,Real Estate,2013
3,conferacity Careers,conferacity.com,1 to 50 employees,Broadcast & Online Media,2013
4,Zenoti Careers,www.zenoti.com,"501 to 1,000 employees",Computer Software,2010
5,LeaseLock Careers,leaselock.com,51 to 200 employees,Insurance,2016
6,Kespry Careers,www.kespry.com,51 to 200 employees,Computer Software,2013
7,NewsCred Careers,www.newscred.com,201 to 500 employees,Marketing & Advertising,2008
8,Brane Enterprises Careers,nslhub.com,201 to 500 employees,Information Technology & Services,2017
9,Markel Careers,www.markel.com,"1,001 to 5,000 employees",Insurance,1930
10,ESO Fund Careers,www.esofund.com,1 to 50 employees,Venture Capital & Private Equity,2012
11,Indigo Ag Careers,www.indigoag.com,"501 to 1,000 employees",Food & Beverages,2013
12,"MSIG Holdings (Americas), Inc. Careers",www.msigusa.com,201 to 500 employees,Insurance,1988
13,MindGeek Careers,mindgeek.com,"1,001 to 5,000 employees",Internet,2004
14,ForeScout Technologies Careers,www.crunchbase.com/#/entity,"1,001 to 5,000 employees",Computer & Network Security,2000
15,Marketplace Careers,www.marketplace.org,51 to 200 employees,Broadcast & Online Media,1989
16,SanDisk Careers,www.sandisk.com,"5,001 to 10,000 employees",Semiconductors,1988
17,Wag Careers,www.wagwalking.com,51 to 200 employees,Consumer Goods,2014
18,Maisonette Careers,www.maisonette.com,51 to 200 employees,"Apparel, Fashion & Luxury",2017
19,Fox Thermal Careers,www.foxthermal.com,1 to 50 employees,Industrial Automation,1994
20,Optimity Advisors Careers,www.optimityadvisors.com,201 to 500 employees,Management Consulting,2009
21,potenit Careers,potenit.com,1 to 50 employees,Information Technology & Services,2010
22,Plexus Careers,www.plexus.com,"10,000+ employees",Computer Hardware,1979
23,CureMatch Careers,www.curematch.com,1 to 50 employees,Biotechnology,2015
24,intertrend communications Careers,www.intertrend.com,51 to 200 employees,Marketing & Advertising,1991
25,Emotive Careers,emotive.io,51 to 200 employees,Computer Software,2018
26,JOOR Careers,www.joor.com,51 to 200 employees,Internet,2010
27,BLEND360 Careers,www.blend360.com,201 to 500 employees,Marketing & Advertising,2016
28,AT&T Careers,www.att.com,"10,000+ employees",Telecommunications,1983
29,NVISIA Careers,www.nvisia.com,51 to 200 employees,Computer Software,1993
30,mastery Careers,mastery.net,51 to 200 employees,Computer Software,2019
31,Levi Strauss & Co. Careers,www.levi.com,"10,000+ employees","Apparel, Fashion & Luxury",1853
32,X-Team Careers,x-team.com,201 to 500 employees,Internet,2004
33,RSE Careers,www.rs-e.com,51 to 200 employees,Marketing & Advertising,1960
34,Holland & Knight Careers,www.hklaw.com,"1,001 to 5,000 employees",Legal Services,1968
35,Mystery Science Careers,www.mystery.org,1 to 50 employees,E-learning,2011
36,Rxadvance Corp Careers,www.rxadvance.com,51 to 200 employees,Information Technology & Services,2013
37,ArcelorMittal Careers,corporate.arcelormittal.com,"10,000+ employees",Materials & Manufacturing,2006
38,Webflow Careers,www.webflow.com,51 to 200 employees,Computer Software,2012
39,NAPCO Careers,napcosecurity.com,"501 to 1,000 employees",Electrical & Electronic Manufacturing,1969
40,TreeHouse Foods Careers,www.treehousefoods.com,"10,000+ employees",Food & Beverages,2005
41,Amadeus Careers,www.amadeus.com,"10,000+ employees",Information Technology & Services,1987
42,Critical Start Careers,www.criticalstart.com,201 to 500 employees,Information Technology & Services,2012
43,Korn Ferry Careers,www.kornferry.com,"5,001 to 10,000 employees",Management Consulting,1969
44,L&T Technology Services Careers,www.ltts.com,"10,000+ employees",Information Technology & Services,2009
45,mParticle Careers,www.mparticle.com,51 to 200 employees,Internet,2012
46,BrightEdge Careers,www.brightedge.com,201 to 500 employees,Computer Software,2007
47,JS Products Careers,www.jsproducts.com,51 to 200 employees,Wholesale,1986
48,WorkFusion Careers,www.workfusion.com,201 to 500 employees,Computer Software,2010
49,Marathon Petroleum Careers,www.marathonpetroleum.com,"10,000+ employees",Oil & Energy,1887
50,Pearson Careers,www.pearson.com,"10,000+ employees",Broadcast & Online Media,1844
51,International Paper Careers,www.internationalpaper.com,"10,000+ employees",Materials & Manufacturing,1898
52,IntelliScience Careers,www.intelliscience.com,1 to 50 employees,Computer Software,2006
53,Klaviyo Careers,www.klaviyo.com,201 to 500 employees,Internet,2012
54,Narwal Careers,www.narwalinc.com,51 to 200 employees,Information Technology & Services,2017
55,Expanded Impact Careers,www.expandedimpact.com,1 to 50 employees,Human Resources,2019
56,Carta Careers,www.carta.com,"501 to 1,000 employees",Computer Software,2012
57,Embark Trucks Careers,embarktrucks.com,51 to 200 employees,"Transportation, Trucking & Rail",2016
58,Spreedly Careers,spreedly.com,51 to 200 employees,Information Technology & Services,2008
59,Key Lime Interactive Careers,www.keylimeinteractive.com,1 to 50 employees,Information Technology & Services,2009
60,Sonos Careers,www.sonos.com,"1,001 to 5,000 employees",Computer Hardware,2002
61,Aflac Careers,www.aflac.com,"10,000+ employees",Insurance,1955
62,Transfix Careers,transfix.io,51 to 200 employees,Logistics & Supply Chain,2013
63,Clarity Insights Careers,www.accenture.com,201 to 500 employees,Information Technology & Services,2008
64,Ahmadiyya Muslim Community Careers,ahmadiyya.ca,"10,000+ employees",Religious Institutions,1908
65,Holman Parts Distribution Careers,holmanparts.com,"501 to 1,000 employees",Automotive,1946
66,Ball Corporation Careers,www.ball.com,"10,000+ employees",Materials & Manufacturing,1880
67,Alliance Inspection Management Careers,homepage.aiminspections.com,"1,001 to 5,000 employees",Automotive,2005
68,Medix Careers,www.medixteam.com,201 to 500 employees,Staffing & Recruiting,2001
69,Xilinx Careers,www.xilinx.com,"1,001 to 5,000 employees",Semiconductors,1984
70,Fiserv Careers,www.fiserv.com,"10,000+ employees",Information Technology & Services,1984
71,RWDI Careers,www.rwdi.com,201 to 500 employees,Civil Engineering,1972
72,Instabase Careers,www.instabase.com,1 to 50 employees,Computer Software,2015
73,Joveo Careers,www.joveo.com,51 to 200 employees,Computer Software,2017
74,Workday Careers,www.workday.com,"10,000+ employees",Computer Software,2005
75,NS1 Careers,ns1.com,51 to 200 employees,Internet,2013
76,Helpshift Careers,www.helpshift.com,51 to 200 employees,Internet,2011
77,syntax Careers,www.syntax.com,"1,001 to 5,000 employees",Information Technology & Services,1972
78,TPG Careers,www.tpg.com,"501 to 1,000 employees",Investment Management,1992
79,AXA Equitable Life Careers,axa-equitable.com,"10,000+ employees",Insurance,1859
80,Heali Careers,heali.ai,1 to 50 employees,"Health, Wellness & Fitness",2018
81,Total Wine & More Careers,www.totalwine.com,"5,001 to 10,000 employees",Retail,1991
82,Hylink Digital Solutions Careers,www.hylinkgroup.com,"1,001 to 5,000 employees",Marketing & Advertising,1994
83,Advyzon Careers,www.advyzon.com,1 to 50 employees,Financial Services,2012
84,Workfront Careers,www.workfront.com,"1,001 to 5,000 employees",Computer Software,2001
85,WineDirect Careers,www.winedirect.com,51 to 200 employees,Food & Beverages,2002
86,ThousandEyes Careers,www.thousandeyes.com,201 to 500 employees,Internet,2010
87,Vectra AI Careers,www.crunchbase.com,201 to 500 employees,Computer & Network Security,2010
88,Kingland Systems Careers,www.kingland.com,51 to 200 employees,Information Technology & Services,1992
89,WideOrbit Careers,www.wideorbit.com,"501 to 1,000 employees",Computer Software,1999
90,Sila Careers,www.sila.com,"501 to 1,000 employees",Financial Services,1989
91,Schaeffler Careers,www.schaeffler.com,"10,000+ employees",Mechanical & Industrial Engineering,1946
92,Securonix Careers,www.securonix.com,201 to 500 employees,Information Technology & Services,2007
93,Natixis Careers,www.natixis.com,"10,000+ employees",Financial Services,2006
94,Freudenberg Group Careers,www.freudenberg.com,"10,000+ employees",Automotive,1849
95,Much Careers,www.muchlaw.com,51 to 200 employees,Legal Services,1970
96,OPS Careers,www.opstrax.com,51 to 200 employees,Logistics & Supply Chain,1996
97,Voicy.AI Careers,www.voicy.ai,1 to 50 employees,Computer Software,2015
98,128 Technology Careers,www.128technology.com,51 to 200 employees,Information Technology & Services,2014
99,Vacasa Careers,www.vacasa.com,"1,001 to 5,000 employees","Leisure, Travel & Tourism",2009
100,Quip Careers,quip.com,51 to 200 employees,Computer Software,2012
101,SolarCity Careers,www.solarcity.com,"10,000+ employees",Environmental Services,2006
102,Tech Mahindra Careers,www.techmahindra.com,"10,000+ employees",Information Technology & Services,1986
103,Airlines Reporting Corp. Careers,www.arccorp.com,201 to 500 employees,Information Technology & Services,1984
104,The Organic Recruiter Careers,www.theorganicrecruiter.com,1 to 50 employees,Staffing & Recruiting,2016
105,Tomorrowish Careers,www.tomorrowish.com,1 to 50 employees,Internet,None
106,Upgrade Careers,upgrade.com,201 to 500 employees,Financial Services,2016
