,company_industry,company_founded,company_revenue,company_name,company_location
0,Diversified Financials,1939.0,$276.1B,Berkshire Hathaway,"Omaha, Nebraska"
1,Banking,1984.0,$208.1B,ICBC,"Beijing, China"
2,Oil & Gas Operations,1933.0,$400.4B,Saudi Arabian Oil Company (Saudi Aramco),"Dhahran, Saudi Arabia"
3,Banking and Financial Services,2000.0,$124.5B,JPMorgan Chase,"New York, New York"
4,Banking,2014.0,$202.1B,China Construction Bank,"Beijing, China"
5,Retail and Wholesale,1994.0,$469.8B,Amazon,"Seattle, Washington"
6,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1976.0,$378.7B,Apple,"Cupertino, California"
7,Banking,1979.0,$181.4B,Agricultural Bank of China,"Beijing, China"
8,Banking and Financial Services,1904.0,$96.8B,Bank of America,"Charlotte, North Carolina"
9,Consumer Durables,1937.0,$281.7B,Toyota Motor,"Toyota, Japan"
10,"IT, Internet, Software & Services",1998.0,$257.5B,Alphabet,"Mountain View, California"
11,"IT, Internet, Software & Services",1975.0,$184.9B,Microsoft,"Redmond, Washington"
12,Banking,1929.0,$152.4B,Bank of China,"Beijing, China"
13,Conglomerate,1938.0,$244.2B,Samsung Group,"Seoul, South Korea"
14,Oil & Gas Operations,1999.0,$280.5B,ExxonMobil,"Irving, Texas"
15,"Construction, Oil & Gas Operations, Mining and Chemicals",1907.0,$261.8B,Shell,"London, United Kingdom"
16,Insurance,1988.0,$181.4B,Ping An Insurance Group,"Shenzhen, China"
17,Banking,1852.0,$84.1B,Wells Fargo,"San Francisco, California"
18,"Telecommunications Services, Cable Supplier",1983.0,$134.3B,Verizon Communications,"New York, New York"
19,Telecommunications Services,1876.0,$163B,AT&T,"Dallas, Texas"
20,Oil & Gas Operations,1999.0,$380.3B,PetroChina,"Beijing, China"
21,Insurance,1977.0,$297.6B,UnitedHealth Group,"Minnetonka, Minnesota"
22,Retailing,1962.0,$572.8B,Walmart,"Bentonville, Arkansas"
23,Banking,1987.0,$71.1B,China Merchants Bank,"Shenzhen, China"
24,Consumer Durables,1937.0,$295.7B,Volkswagen Group,"Wolfsburg, Germany"
25,"Construction, Oil & Gas Operations, Mining and Chemicals",1879.0,$156.3B,Chevron,"San Ramon, California"
26,Banking and Financial Services,1812.0,$79.9B,Citigroup,"New York, New York"
27,IT Software & Services,1998.0,$86.9B,Tencent Holdings,"Shenzhen, China"
28,Oil & Gas Operations,1924.0,$185.1B,Total,"Paris, France"
29,Banking,1919.0,$77.6B,Postal Savings Bank Of China (PSBC),"Beijing, China"
30,Telecommunications Services,1997.0,$131.5B,China Mobile,"Hong Kong, Hong Kong"
31,Media & Advertising,1963.0,$116.4B,Comcast,"Philadelphia, Pennsylvania"
32,Retailing,1999.0,$129.8B,Alibaba Group,"Hangzhou, China"
33,"IT, Internet, Software & Services",2004.0,$117.9B,Meta Platforms,"Menlo Park, California"
34,Insurance,1890.0,$138.6B,Allianz,"Munich, Germany"
35,Diversified Financials,1924.0,$60.2B,Morgan Stanley,"New York, New York"
36,Diversified Financials,1869.0,$62.8B,Goldman Sachs Group,"New York, New York"
37,Banking,1865.0,$59.3B,HSBC Holdings,"London, United Kingdom"
38,Banking,1953.0,$127.4B,BNP Paribas,"Paris, France"
39,Drugs & Biotechnology,1886.0,$94.9B,Johnson & Johnson,"New Brunswick, New Jersey"
40,Consumer Durables,1883.0,$178.9B,Mercedes-Benz Group,"Stuttgart, Germany"
41,Retailing,1963.0,$292B,CVS Health,"Woonsocket, Rhode Island"
42,Telecommunications Services,1981.0,$96.9B,Softbank,"Tokyo, Japan"
43,Oil & Gas Operations,2000.0,$384.8B,Sinopec,"Beijing, China"
44,Banking and Financial Services,1864.0,$45.2B,RBC,"Montreal, Canada"
45,"Food, Drink & Tobacco",1866.0,$95.3B,NestlÃ©,"Vevey, Switzerland"
46,Insurance,1816.0,$145.2B,AXA Group,"Paris, France"
47,Oil & Gas Operations,1989.0,$117.3B,Gazprom,"St. Petersburg, Russia"
48,Oil & Gas Operations,1909.0,$158B,BP,"London, United Kingdom"
49,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1968.0,$79B,Intel,"Santa Clara, California"
50,Banking and Financial Services,1855.0,$38.5B,TD Bank Group,"Toronto, Canada"
51,Telecommunications Services,1952.0,$110.4B,Nippon Telegraph & Tel,"Tokyo, Japan"
52,Oil & Gas Operations,1973.0,$86.9B,Reliance Industries,"Mumbai, India"
53,Banking,1988.0,$60.5B,Industrial Bank,"Fuzhou, China"
54,Consumer Durables,1960.0,$89.9B,Sony,"Tokyo , Japan"
55,Banking and Financial Services,1857.0,$78.2B,Santander,"Madrid, Spain"
56,Banking,2005.0,$48.3B,Mitsubishi UFJ Financial,"Tokyo, Japan"
57,Semiconductors,1987.0,$61.5B,Taiwan Semiconductor,"Hsinchu, Taiwan"
58,Automotive (Automotive and Suppliers),1903.0,$136.3B,Ford Motor,"Oakville, Ontario"
59,"Clothing, Shoes, Sports Equipment",1987.0,$75.9B,LVMH MoÃ«t Hennessy Louis Vuitton,"Paris, France"
60,Banking,1908.0,$76B,Bank of Communications,"Shanghai, China"
61,Packaged Goods,1837.0,$79.6B,Procter & Gamble,"Cincinnati, Ohio"
62,Consumer Durables,1916.0,$131.5B,BMW Group,"Munich, Germany"
63,Oil & Gas Operations,1953.0,$83.9B,Petrobras,"Rio de Janeiro, Brazil"
64,"Telecommunications Services, Cable Supplier",1995.0,$128.6B,Deutsche Telekom,"Bonn, Germany"
65,Drugs & Biotechnology,2013.0,$56.2B,AbbVie,"North Chicago, Illinois"
66,Drugs & Biotechnology,1996.0,$51.6B,Novartis,"Basel, Switzerland"
67,Automotive (Automotive and Suppliers),1908.0,$127B,General Motors,"Detroit, Michigan"
68,Oil & Gas Operations,1972.0,$88.4B,Equinor,"Stavanger, Norway"
69,Insurance,2003.0,$130.5B,China Life Insurance,"Beijing, China"
70,Drugs & Biotechnology,1896.0,$68.7B,Roche Holding,"Basel, Switzerland"
71,Insurance,1919.0,$45.2B,AIA Group,"Hong Kong, Hong Kong"
72,Insurance,1868.0,$71.1B,MetLife,"New York, New York"
73,"Construction, Oil & Gas Operations, Mining and Chemicals",1885.0,$65.5B,BHP Group,"Melbourne, Australia"
74,Banking and Financial Services,1850.0,$46.3B,American Express,"New York, New York"
75,Consumer Durables,2021.0,$176.6B,Stellantis,"Amsterdam, Netherlands"
76,Insurance,1872.0,$69.6B,Zurich Insurance Group,"Zurich, Switzerland"
77,Oil & Gas Operations,1993.0,$111.4B,Rosneft,"Moscow, Russia"
78,"Construction, Oil & Gas Operations, Mining and Chemicals",1873.0,$63.5B,Rio Tinto,"London, United Kingdom"
79,Banking and Financial Services,1899.0,$78.8B,Brookfield Asset Management,"Toronto, Canada"
80,Insurance,1792.0,$174.3B,Cigna,"Bloomfield, Connecticut"
81,Banking and Financial Services,1875.0,$70.9B,Prudential Financial,"Newark, New Jersey"
82,"Food, Drink & Tobacco",1965.0,$79.5B,PepsiCo,"Purchase, New York"
83,Drugs & Biotechnology,1891.0,$50.4B,Merck & Co.,"Kenilworth, New Jersey"
84,Drugs & Biotechnology,2004.0,$144.3B,Elevance Health,"Indianapolis, Indiana"
85,Banking,1832.0,$30.4B,Bank of Nova Scotia,"Toronto, Canada"
86,Insurance,1919.0,$52.1B,American International Group,"New York, New York"
87,Materials,1974.0,$203.4B,Glencore International,"Baar, Switzerland"
88,"IT, Internet, Software & Services",1984.0,$51.5B,Cisco Systems,"San Jose, California"
89,"Food, Soft Beverages, Alcohol & Tobacco",2008.0,$54.3B,Anheuser-Busch InBev,"Leuven, Belgium"
90,Media & Advertising,1923.0,$73B,Walt Disney,"Burbank, California"
91,Insurance,1985.0,$41B,Chubb,"Zurich, Switzerland"
92,Trading Companies,1979.0,$91.2B,CITIC,"Hong Kong, Hong Kong"
93,Banking,2009.0,$58.5B,Lloyds Banking Group,"London, United Kingdom"
94,"IT, Internet, Software & Services",1911.0,$67.3B,IBM,"Armonk, New York"
95,Drugs & Biotechnology,2004.0,$44.6B,Sanofi,"Paris, France"
96,Transportation and Logistics,1907.0,$97.2B,United Parcel Service,"Atlanta, Georgia"
97,"Food, Drink & Tobacco",1902.0,$35.3B,British American Tobacco,"London, United Kingdom"
98,Banking,1862.0,$35.2B,UBS,"Zurich, Switzerland"
99,Automotive (Automotive and Suppliers),1959.0,$130.2B,Honda Motor,"Tokyo, Japan"
100,Trading Companies,1870.0,$146.9B,Mitsubishi,"Tokyo, Japan"
101,Construction,1982.0,$205.8B,China State Construction Engineering,"Beijing, China"
102,Banking,1955.0,$54.4B,State Bank of India,"Mumbai, India"
103,Banking,1911.0,$21.9B,Commonwealth Bank,"Sydney, Australia"
104,Banking,1992.0,$54.8B,Shanghai Pudong Development,"Shanghai, China"
105,Aerospace & Defense,1922.0,$64.4B,Raytheon Technologies,"Waltham, Massachusetts"
106,Utilities,1962.0,$99.4B,Enel,"Rome, Italy"
107,Oil & Gas Operations,1953.0,$90.5B,Eni,"Rome, Italy"
108,Banking and Financial Services,1994.0,$32.1B,Capital One,"McLean, Virginia"
109,Drugs & Biotechnology,1933.0,$46.4B,Bristol Myers Squibb,"New York, New York"
110,"Food, Soft Beverages, Alcohol & Tobacco",1892.0,$38.7B,Coca-Cola,"Atlanta, Georgia"
111,"IT, Internet, Software & Services",1977.0,$41.8B,Oracle,"Redwood Shores, California"
112,Banking,1841.0,$57.4B,Sberbank,"Moscow, Russia"
113,Banking and Financial Services,1817.0,$26.5B,Bank of Montreal,"Montreal, Canada"
114,Materials,1942.0,$54.4B,Vale,"Rio de Janeiro, Brazil"
115,Utilities,1955.0,$99.8B,EDF,"Paris, France"
116,Drugs & Biotechnology,1983.0,$39.2B,Thermo Fisher Scientific,"Waltham, Massachusetts"
117,Banking and Financial Services,1894.0,$73.6B,Credit Agricole,"Montrouge, France"
118,"Engineering, Manufacturing",1970.0,$61.6B,AIRBUS,"Leiden, Netherlands"
119,Retail and Wholesale,1983.0,$210.2B,Costco Wholesale,"Issaquah, Washington"
120,Technology Hardware & Equipment,1974.0,$214.6B,Hon Hai Precision,"New Taipei, Taiwan"
121,Packaged Goods,1929.0,$62B,Unilever,"London, United Kingdom"
122,Media,1993.0,$51.7B,Charter Communications,"Stamford, Connecticut"
123,Banking,2002.0,$35.5B,Sumitomo Mitsui Financial,"Tokyo, Japan"
124,"Construction, Oil & Gas Operations, Mining and Chemicals",1875.0,$46.1B,ConocoPhillips,"Houston, Texas"
125,Drugs & Biotechnology,2000.0,$46.9B,GlaxoSmithKline,"London, United Kingdom"
126,Banking,2007.0,$47.8B,Intesa Sanpaolo,"Turin, Italy"
127,Banking and Financial Services,1887.0,$47.2B,Manulife,"Toronto, Canada"
128,Banking,1929.0,$23.1B,US Bancorp,"Minneapolis, Minnesota"
129,Chemicals,1865.0,$92.9B,BASF,"Ludwigshafen am Rhein, Germany"
130,Oil & Gas Operations,1999.0,$37.8B,CNOOC,"Hong Kong, Hong Kong"
131,Health Care Equipment & Services,1888.0,$44.5B,Abbott Laboratories,"Chicago, Illinois"
