,company_country,company_employees,company_founded,company_industry,company_name
0,Philippines,385,2017,Ecommerce,Great Deals E-Commerce Corp.
1,South Korea,63,2008,Pharmaceuticals,PCL Inc.
2,South Korea,47,2013,Games industry,Spolive
3,Singapore,82,2015,Support Services,Workmate
4,Taiwan,78,2007,Pharmaceuticals,TaiMed Biologics
5,Singapore,164,2014,Ecommerce,SCI Ecommerce
6,Thailand,7,2012,Food & Beverage,I-CY CHAYAÂ 
7,Australia,52,2016,Fintech,Grow Finance
8,India,355,2017,Industrial Goods,SAMBHV Steel
9,Philippines,108,2014,Technology,INTELUCK
10,Singapore,400,2015,Technology,Carro
11,South Korea,101,2017,Food & Beverage,GOPIZZA
12,India,594,2016,Education,Scaler by InterviewBit
13,Japan,61,2017,Technology,Pixie Dust Technologies
14,Indonesia,54,2015,Ecommerce,Kioson
15,Singapore,92,2014,Ecommerce,SCI Ecommerce
16,New Zealand,22,2014,Energy,Electric Kiwi
17,Finland,218,2016,Technology,Swappie
18,Singapore,21,2016,Transport,Haulio
19,India,13,2016,Technology,Digio
20,India,60,2016,Ecommerce,Skillmatics
21,Japan,40,2015,Sales & Marketing,Struggle
22,India,285,2016,Technology,TheMathCompany
23,Lithuania,177,2013,Health,Kilo Health
24,UK,32,2012,Financial Services,OCI
25,India,202,2012,Fintech,ROINET Solution
26,Singapore,318,2013,Support Services,Glints Intern
27,Japan,34,2016,Property,Reqrea
28,India,182,2014,Financial Services,ROINET Solution
29,Japan,28,2016,Technology,Global Vision Multimedia
30,UK,800,2016,Technology,OnlyFans
31,UK,575,2015,Energy,Bulb Energy
32,India,120,2015,Property,Amberstudent
33,Australia,100,2014,Telecoms,Tangerine Telecom
34,India,39,2014,Financial Services,Omkara
35,Singapore,135,2015,Technology,Roadbull Logistics
36,Japan,67,2015,Technology,AI inside
37,Australia,7,2015,Transport,SGS Logistics
38,Germany,365,2017,Energy,Enpal
39,Latvia,750,2012,Fintech,Sun Finance
40,South Korea,"1,046",2015,Ecommerce,MarketKurly
41,India,"1,096",2015,Waste management & recycling,Zigma Global
42,India,60,2013,Technology,GreedyGame
43,Taiwan,229,2013,Technology,eCloudvalley
44,India,600,2016,Retail,Wakefit
45,Germany,9,2017,Waste management & recycling,MR Consulting
46,UK,46,2015,Energy,Everflow Group
47,India,186,2017,Technology,Sankey Solutions
48,Singapore,974,2015,Technology,Carro
49,Singapore,30,2016,Fintech,360F
50,Singapore,25655,2014,Transport,Ninja Van Logistics
51,South Korea,42,2013,Games industry,Spolive
52,Malaysia,672,2014,Automobiles,Carsome
53,UK,57,2015,Health,Thriva
54,UK,85,2015,Construction,Glencar Construction
55,Singapore,26,2009,Waste management & recycling,BR Metals
56,Singapore,20,2017,Personal & Household Goods,Bulkings Distribution
57,South Korea,72,2013,Pharmaceuticals,T&R Biofab
58,South Korea,358,2014,Ecommerce,Market Kurly
59,Singapore,25,2015,Telecoms,Blue Wireless
60,France,200,2015,Industrial Goods,Exotec
61,Italy,10,2015,Ecommerce,Winelivery
62,Poland,376,2016,Technology,Spyrosoft
63,United Kingdom,155,1992,Financial Services,Blue Motor Finance
64,Japan,102,2015,Technology,AI inside
65,India,25,2014,Technology,Flexing It
66,Philippines,43,2016,Fashion,"Stylist in Pocket Technologies, Inc."
67,Singapore,1556,2015,Travel & Leisure,RedDoorz
68,South Korea,64,2014,Support Services,Cardoc
69,New Zealand,9,2012,Personal & Household Goods,Ethique
70,Sweden,117,2015,Technology,Instabox
71,Austria,180,2016,Food & Beverage,Waterdrop
72,Germany,91,2016,Technology,Kolibri Games**
73,United Kingdom,1664,2013,Food & Beverage,Deliveroo
74,Estonia,350,2013,Technology,Taxify
75,Singapore,422,2014,Fintech,Nium
76,Japan,65,2013,Technology,YAMAP
77,New Zealand,31,2015,Technology,Dovetail
78,New Zealand,28,2013,Technology,Kami
79,France,11,2016,Support Services,One Lease
80,Sweden,38,2015,Batteries,Polarium Energy Solutions
81,Germany,30,2012,Technology,Solectric
82,Japan,29,2015,Media,Harch
83,Japan,30,2016,Sales & Marketing,IGOODS
84,Singapore,16,2009,Waste management & recycling,BR Metals
85,Australia,203,2016,Energy,Smart Energy Group
86,India,1050,2013,Technology,Razorpay
87,Italy,251,2017,Technology,Datlas*
88,UK,7,2013,Fintech,Crossflow Payment Solutions Trading
89,United Kingdom,69,2006,Pharmaceuticals,Psioxus Therapeutics
90,Singapore,22,2014,Personal & Household Goods,Hegen
91,Japan,10,2011,Architecture,KALEIDO JAPAN
92,Singapore,7,2016,Financial Services,Redpeak Advisers
93,Australia,36,2014,Retail,Miss Amara
94,South Korea,204,2012,Fintech,Wadiz
95,Singapore,104,2011,Fintech,Coda Payments
96,UK,224,2016,Fintech,Zego
97,Netherlands,550,2014,Travel & Leisure,Swapfiets
98,United Kingdom,25,2013,Technology,Housekeep
99,Japan,5,2015,Energy,Mikienergy
100,Japan,12,2016,Cyber Security,closip
101,Singapore,232,2011,Fintech,Coda Payments
102,Australia,40,2016,Technology,Hyper Anna
103,Australia,12,2014,Ecommerce,Sun Protection Apparel
104,Singapore,10,2016,Retail,The Future of Cooking
105,Germany,24,2017,Transport,HCL-Logistics
106,Spain,783,2009,Technology,jobandtalent
107,UK,98,2014,Financial Services,Landbay Partners
108,United Kingdom,29,2014,Fashion,Crep Protect
109,Vietnam,200,2017,Food & Beverage,Loship
110,Philippines,108,2016,Financial Services,First Circle
111,Australia,18,2013,Technology,CloudWave
112,Australia,219,2015,Health,Dementia CaringÂ 
113,Indonesia,193,2008,Transport,Dana Brata Luhur
114,Indonesia,344,2015,Retail,Fabelio
115,UK,34,2016,Technology,Popsa
116,UK,371,2010,Retail,Chilly's Bottles
117,Spain,62,2007,Travel & Leisure,Viajes Libratur (iTravex)
118,India,35,2002,Industrial Goods,Mohan Electro Casting
119,South Korea,25,2016,Sales & Marketing,GTOG International
120,Singapore,301,2012,Health,WAVE Life Sciences
121,Thailand,44,2014,Education,SkillLane
122,Switzerland,41,2017,Technology,Unit8
123,Germany,9,2013,Technology,safe4u
124,United Kingdom,618,2013,Cyber Security,Darktrace
125,United Kingdom,200,2015,Fintech,OakNorth Bank
126,Japan,90,2015,Technology,NKC ASIA
127,India,494,2016,Management Consulting,TheMathCompany
128,Australia,34,2012,Fintech,SelfWealth
129,Australia,25,2015,Health,Be Fit Food
130,South Korea,10,2015,Advertising,Comma Entertainment
131,Australia,90,2014,Telecoms,Tangerine Telecom
132,Finland,49,2016,Technology,Luoto Company
133,Austria,29,2014,Ecommerce,Journi Print
134,Netherlands,96,2014,Fintech,bunq
135,Netherlands,30,2013,Fintech,NBWM
136,Finland,293,2014,Technology,Wolt Enterprises
137,Estonia,700,2013,Technology,Bolt Technology
138,India,471,2013,Technology,Whatfix
139,Australia,25,2017,Law,Sprintlaw
140,South Korea,3,2017,Retail,Metal Heart
141,India,52,2016,Technology,SaaS Labs
142,Japan,13,2015,Construction,Top Reform
143,Hong Kong,301,2013,Ecommerce,Shopline
144,France,228,2017,Support Services,Portify
145,Norway,45,2015,Energy,Tibber
146,Estonia,1438,2013,Technology,Bolt Technology
147,Germany,115,2014,Fintech,Scalable Capital
148,France,80,2013,Construction,Bis RÃ©novation Energie
149,Spain,38,2015,Support Services,Elements Global Services
150,France,67,2013,Construction,Les Eco-Isolateurs
151,Australia,60,2015,Transport,Drive Yello
152,South Korea,38,2017,Beauty,"Different Millions , Inc"
153,Japan,3,2010,Property,Stay Gold
154,India,1100,2015,Education,upGrad
155,India,Not found,1994,Financial Services,Capital India Finance
156,Japan,20,2016,Sales & Marketing,IGOODS
157,Poland,18,2013,Fashion,Rascal Industry
158,Italy,509,2017,Support Services,Pegaso Security
159,UK,335,2016,Management Consulting,Kubrick Group
160,France,105,2015,Management Consulting,Gojob
161,Germany,10,2014,Food & Beverage,Donatella*
162,United Kingdom,150,2013,Games industry,Gismart
163,Japan,25,2008,Technology,PicoCELA
164,New Zealand,10,2012,Ecommerce,Parcelport
165,Vietnam,45,2015,Technology,Dwarves Foundation
166,South Korea,72,2015,Media,Dable
167,Australia,112,2012,Travel & Leisure,Jayride Group
168,Japan,30,2015,Retail,NJ-ENEX
169,UK,581,2016,Fintech,Tide
170,Italy,1,2017,Retail,Euro Top Brand
171,Germany,12,2016,Health,Happybrush
172,UK,101,2011,Health,Huma Therapeutics
173,France,5,2011,Food & Beverage,KUPELA
174,France,2,2015,Energy,Enens
175,Singapore,353,2015,Fintech,Funding Societies
176,Taiwan,Not found,2013,Pharmaceuticals,Foresee PharmaceuticalsÂ 
177,Hong Kong,54,2014,Ecommerce,Miss Amara
178,Australia,33,2015,Technology,PLAYGROUND XYZ
179,Singapore,334,2014,Fintech,Nium
