,company_rank,company_name,company_country,company_industry,company_founded
0,1,Swappie,Finland,Technology,2016
1,2,Kilo Health,Lithuania,Health,2013
2,3,OCI,UK,Financial Services,2012
3,4,OnlyFans,UK,Technology,2016
4,5,Enpal,Germany,Energy,2017
5,6,MR Consulting,Germany,Waste management & recycling,2017
6,7,Thriva,UK,Health,2015
7,8,Exotec,France,Industrial Goods,2015
8,9,Winelivery,Italy,Ecommerce,2015
9,10,Instabox,Sweden,Technology,2015
10,11,Waterdrop,Austria,Food & Beverage,2016
11,12,One Lease,France,Support Services,2016
12,13,Datlas*,Italy,Technology,2017
13,14,Zego,UK,Fintech,2016
14,15,HCL-Logistics,Germany,Transport,2017
15,16,Popsa,UK,Technology,2016
16,17,Unit8,Switzerland,Technology,2017
17,18,Luoto Company,Finland,Technology,2016
18,19,Journi Print,Austria,Ecommerce,2014
19,20,Portify,France,Support Services,2017
20,21,Tibber,Norway,Energy,2015
21,22,Rascal Industry,Poland,Fashion,2013
22,23,Pegaso Security,Italy,Support Services,2017
23,24,Tide,UK,Fintech,2016
24,25,Euro Top Brand,Italy,Retail,2017
25,26,Bold Security Group,UK,Support Services,2011
26,27,Play Magnus Group,Norway,Games industry,2013
27,28,Blue Whale Growth Fund,UK,Financial Services,2016
28,29,Kazidomi,Belgium,Ecommerce,2016
29,30,Sun Finance,Latvia,Fintech,2012
30,31,Credimi,Italy,Financial Services,2015
31,32,SIRPLUS,Germany,Retail,2017
32,33,AIHR | Academy to Innovate HR,The Netherlands,Education,2016
33,34,Logistics Capital Partners (LCP),Luxembourg,Property,2015
34,35,SÃ¼dwest Invest,Germany,Property,2017
35,36,CORADE (Plurimmo),France,Property,2000
36,37,Carranco,Spain,Food & Beverage,2006
37,38,Telemedi,Poland,Health,2014
38,39,Inkitt,Germany,Technology,2014
39,40,H.K.Trading,Italy,Retail,2016
40,41,Attest,UK,Technology,2015
41,42,LGM IMMOBILIER,France,Property,2016
42,43,Wolfram Chain*,The Netherlands,Management Consulting,2017
43,44,RightNow,Germany,Technology,2017
44,45,EO Charging,UK,Technology,2014
45,46,CheTariffa.it,Italy,Support Services,2013
46,47,Simply,UK,Financial Services,2017
47,48,Salary Finance,UK,Fintech,2015
48,49,DBT,Sweden,Fintech,2017
49,50,Tutlo,Poland,Education,2016
50,51,Ponera,France,Ecommerce,2013
51,52,Active Energy Solutions,Greece,Energy,2014
52,53,ACTEAM ENR,France,Energy,2012
53,54,Everflow,UK,Technology,2015
54,55,Azure Prism,UK,Retail,2016
55,56,WR Logistics,Germany,Transport,2017
56,57,iProov,UK,Technology,2011
57,58,Spin Up,Italy,Advertising,2017
58,59,BeGreat,Germany,Retail,2012
59,60,Tsunami Nutrition*,Italy,Ecommerce,2017
60,61,Matt Sleeps,The Netherlands,Interiors,2016
61,62,Tessian,UK,Technology,2013
62,63,Solarisbank,Germany,Financial Services,2016
63,64,M2DG (MyFlexoffice),France,Support Services,2016
64,65,Eukon,Italy,Health,2004
65,66,Evolution Adv,Italy,Advertising,2016
66,67,Making Science,Spain,Technology,2001
67,68,Everli,Italy,Ecommerce,2014
68,69,AppFollow,Finland,Technology,2014
69,70,Synerise,Poland,Technology,2013
70,71,ChaiKola,Poland,Food & Beverage,2010
71,72,Scolution,Germany,Technology,2015
72,73,JL&P,France,Energy,2017
73,74,eFarma.com,Italy,Pharmaceuticals,2017
74,75,Elvie,UK,Technology,2013
75,76,Farmarelax,Italy,Personal & Household Goods,2010
76,77,Omnisend,UK,Technology,2008
77,78,World Trade Group,Italy,Fashion,2017
78,79,BESTEAM Conseil,France,Technology,2016
79,80,Motorway,UK,Automobiles,2016
80,81,ISO Public Services,Germany,Technology,2014
81,82,Octopus Energy,UK,Energy,2015
82,83,CyberIAM*,UK,Cyber Security,2017
83,84,Cbweed*,Italy,Personal & Household Goods,2017
84,85,Catraport,Portugal,Automobiles,2015
85,86,OUIHELP,France,Support Services,2016
86,87,Inpay,Denmark,Fintech,2013
87,88,M.G.I. Meccaniche Generali Irpine,Italy,Industrial Goods,2017
88,89,Glencar Construction,UK,Construction,2016
89,90,Qmee,UK,Technology,2010
90,91,MyAppFree,Italy,Advertising,2015
91,92,Investa Dienstleistungen,Germany,Support Services,2014
92,93,Polarium Energy Solutions,Sweden,Batteries,2014
93,94,Baroni Home,Italy,Ecommerce,2016
94,95,Dayshape,UK,Technology,2013
95,96,Marketers Company,Italy,Advertising,2016
96,97,Easo Magno,Spain,Beauty,2017
97,98,Greyfood,Germany,Retail,2016
98,99,Misfits Health,UK,Food & Beverage,2016
99,100,MeilleursBiens.com,France,Property,2010
100,101,Fasanara Capital,UK,Financial Services,2011
101,102,NtechLab,Cyprus,Technology,2015
102,103,Babylino Sensitive,Italy,Personal & Household Goods,2016
103,104,Fastned,The Netherlands,Technology,2012
104,105,Oxray,Portugal,Health,2009
105,106,ZEGA Invest,Germany,Property,2017
106,107,Abylon Consulting,Hungary,Technology,2016
107,108,Milrab,Norway,Ecommerce,2005
108,109,Urbantz,Belgium,Technology,2015
109,110,Tricas Construction,UK,Construction,2017
110,111,Florence One,Italy,Technology,2017
111,112,Ergotopia,Germany,Retail,2014
112,113,Mcule.com Kft.,Hungary,Chemicals & Pharmaceuticals,2011
113,114,Filo,Italy,Technology,2014
114,115,Homepal,Italy,Property,2014
115,116,Staffbase,Germany,Technology,2014
116,117,ILON MATERIEL,France,Construction,2016
117,118,Bio-marine,Ireland,Personal & Household Goods,2014
118,119,ISODECO,France,Construction,2016
119,120,Treedom,Italy,Support Services,2010
120,121,Fenstermaxx24,Germany,Retail,2016
121,122,Pohl & SÃ¶hne GerÃ¼stbau,Germany,Construction,2017
122,123,YSO CORP,France,Media,2013
123,124,Gyada Cosmetics,Italy,Beauty,2017
124,125,Privitar,UK,Technology,2014
125,126,Delineate,UK,Technology,2015
126,127,Spyrosoft,Poland,Technology,2016
127,128,Bio Energy Solutions,Slovakia,Waste management & recycling,2014
128,129,Increso,Italy,Management Consulting,2015
129,130,LSG - Logistic & Service Group,Italy,Transport,2016
130,131,Energihem,Sweden,Construction,2015
131,132,Amity,UK,Technology,2012
132,133,Goyago,Germany,Retail,2014
133,134,LA REGIE DE PORTAGE SALARIAL,France,Support Services,2016
134,135,Dall Energy,Denmark,Energy,2007
135,136,Appinio,Germany,Technology,2014
136,137,Pinsami,Italy,Food & Beverage,2015
137,138,AER TRADING,France,Retail,2013
138,139,VALUMEN,France,Support Services,2014
139,140,Follow,France,Advertising,2016
140,141,Darpdecade,Germany,Retail,2016
141,142,Bolt,Estonia,Technology,2013
142,143,Kiteworldshop.com,Italy,Ecommerce,2014
143,144,Peter Kenkel,Germany,Retail,2006
144,145,Templafy,Denmark,Technology,2014
145,146,Comservice,Italy,Support Services,2014
146,147,Falcor Presse,Italy,Industrial Goods,2017
147,148,RoomRaccoon,The Netherlands,Technology,2017
148,149,Signaturit,Spain,Technology,2013
149,150,Modulr,UK,Fintech,2015
150,151,PROFISHOP,Germany,Ecommerce,2012
151,152,Floer,The Netherlands,Interiors,2015
152,153,Audiosalus,Italy,Retail,2011
153,154,StatsBomb,UK,Technology,2016
154,155,Theras Biocare,Italy,Pharmaceuticals,2013
155,156,Stenn,UK,Fintech,2016
156,157,Nanushka,Hungary,Fashion,2012
157,158,DPM - Deutsches Personal Management,Germany,Support Services,2016
158,159,Monese,UK,Fintech,2013
159,160,Arquimea,Spain,Technology,2005
160,161,Groupe PERSPECTIVE,France,Education,2013
161,162,Funnel,Sweden,Technology,2014
162,163,Living Quarter,Germany,Health,2015
163,164,Svea Solar,Sweden,Energy,2013
164,165,Bevcraft Group,Ireland,Food & Beverage,2016
165,166,Learning Technologies Group,UK,Technology,2013
166,167,Cura Farma,Italy,Health,2014
167,168,Kamado Bono,Lithuania,Personal & Household Goods,2013
168,169,SIPADAN,Spain,Management Consulting,2007
169,170,Dateio,Czech Republic,Fintech,2013
170,171,CREST Investment,Germany,Property,2016
171,172,Componenti Digitali,Italy,Retail,2017
172,173,IMMO-KONZEPTE,Germany,Property,2006
173,174,SwipBox,Denmark,Technology,2014
174,175,Nextory,Sweden,Media,2015
175,176,ITDS Polska,Poland,Technology,2016
176,177,Savait,Italy,Ecommerce,2015
177,178,Adpone,Spain,Advertising,2015
178,179,Nord Security,Lithuania,Cyber Security,2012
179,180,Mews,The Netherlands,Technology,2012
180,181,Titulae,Spain,Education,2015
181,182,systeme.io,Ireland,Ecommerce,2016
182,183,EODH SA,Greece,Aerospace & Defence,2003
183,184,Multix solutions,Italy,Health,2015
184,185,B2DIGIT,France,Technology,2016
185,186,A Million Ads,UK,Advertising,2015
186,187,WoodWatch,The Netherlands,Retail,2013
187,188,FenÃªtres du Doubs,France,Construction,2010
188,189,Koesea,Germany,Construction,2016
189,190,Podium Advanced Technologies,Italy,Automobiles,2011
