,company_country,company_revenue,company_name
0,USA,2062000000000.0,Apple
1,S. Arabia,1848000000000.0,Saudi Aramco
2,USA,1676000000000.0,Microsoft
3,USA,1137000000000.0,Alphabet (Google)
4,USA,878160000000.0,Amazon
5,USA,702840000000.0,Berkshire Hathaway
6,USA,471260000000.0,Johnson & Johnson
7,USA,461110000000.0,Visa
8,USA,457830000000.0,UnitedHealth
9,USA,455190000000.0,Exxon Mobil
10,China,436090000000.0,Tencent
11,Taiwan,404870000000.0,TSMC
12,USA,404600000000.0,JPMorgan Chase
13,France,400240000000.0,LVMH
14,USA,395830000000.0,Walmart
15,USA,370280000000.0,NVIDIA
16,USA,364740000000.0,Procter & Gamble
17,USA,357010000000.0,Tesla
18,USA,353500000000.0,Mastercard
19,USA,344850000000.0,Eli Lilly
20,USA,341400000000.0,Chevron
21,USA,340930000000.0,Meta Platforms (Facebook)
22,China,329340000000.0,Kweichow Moutai
23,Switzerland,326280000000.0,NestlÃ©
24,USA,323620000000.0,Home Depot
25,Denmark,311970000000.0,Novo Nordisk
26,S. Korea,311550000000.0,Samsung
27,USA,294540000000.0,AbbVie
28,USA,291160000000.0,Merck
29,USA,285820000000.0,Pfizer
30,China,284340000000.0,Alibaba
31,USA,276050000000.0,Bank of America
32,USA,274170000000.0,Coca-Cola
33,Switzerland,258320000000.0,Roche
34,USA,249500000000.0,Pepsico
35,USA,245890000000.0,Broadcom
36,Netherlands,240640000000.0,ASML
37,USA,230960000000.0,Oracle
38,UK,219450000000.0,AstraZeneca
39,China,214970000000.0,ICBC
40,USA,214260000000.0,Costco
41,USA,209820000000.0,Thermo Fisher Scientific
42,India,207930000000.0,Reliance Industries
43,UK,206370000000.0,Shell
44,France,203250000000.0,L'OrÃ©al
45,Switzerland,199600000000.0,Novartis
46,USA,198500000000.0,Cisco
47,USA,197360000000.0,McDonald
48,USA,195850000000.0,Abbott Laboratories
49,USA,194830000000.0,Nike
50,Japan,191820000000.0,Toyota
51,USA,184840000000.0,T-Mobile US
52,USA,183800000000.0,Danaher
53,USA,177190000000.0,Verizon
54,France,175670000000.0,HermÃ¨s
55,USA,171270000000.0,Walt Disney
56,Ireland,169660000000.0,Accenture
57,Australia,167110000000.0,BHP Group
58,USA,166220000000.0,Nextera Energy
59,USA,163810000000.0,Comcast
60,USA,163080000000.0,Wells Fargo
61,China,161340000000.0,China Construction Bank
62,USA,160430000000.0,Philip Morris
63,USA,158970000000.0,Texas Instruments
64,USA,157810000000.0,Charles Schwab
65,UK,155720000000.0,Linde
66,USA,155200000000.0,Bristol-Myers Squibb
67,USA,154770000000.0,United Parcel Service
68,USA,154690000000.0,Adobe
69,Netherlands,153640000000.0,Prosus
70,France,153350000000.0,TotalEnergies
71,USA,150620000000.0,Raytheon Technologies
72,China,150080000000.0,CATL
73,China,149060000000.0,China Mobile
74,USA,147980000000.0,Morgan Stanley
75,USA,147320000000.0,ConocoPhillips
76,USA,146840000000.0,Amgen
77,China,146200000000.0,Agricultural Bank of China
78,China,144720000000.0,Meituan
79,India,142350000000.0,Tata Consultancy Services
80,China,142160000000.0,CM Bank
81,France,142000000000.0,Dior
82,USA,141360000000.0,Honeywell
83,USA,140500000000.0,Salesforce
84,USA,140420000000.0,Netflix
85,USA,139190000000.0,AT&T
86,UK,137020000000.0,HSBC
87,Canada,135090000000.0,Royal Bank Of Canada
88,Hong Kong,132370000000.0,AIA
89,China,132050000000.0,Ping An Insurance
90,USA,130340000000.0,Union Pacific Corporation
91,UK,129930000000.0,Unilever
92,USA,129500000000.0,Caterpillar
93,USA,129290000000.0,QUALCOMM
94,China,129290000000.0,Bank of China
95,USA,128800000000.0,IBM
96,Germany,127660000000.0,SAP
97,USA,127180000000.0,Deere & Company
98,USA,126940000000.0,Boeing
99,China,126620000000.0,PetroChina
100,China,125360000000.0,China Life Insurance
101,Belgium,125300000000.0,Anheuser-Busch Inbev
102,India,125290000000.0,HDFC Bank
103,USA,124020000000.0,Lockheed Martin
104,France,123030000000.0,Sanofi
105,USA,122450000000.0,Starbucks
106,USA,121520000000.0,Lowe's Companies
107,China,121330000000.0,Pinduoduo
108,USA,120350000000.0,CVS Health
109,UK,120050000000.0,Rio Tinto
110,USA,118560000000.0,Intel
111,USA,117870000000.0,Goldman Sachs
112,Canada,117800000000.0,Toronto Dominion Bank
113,Australia,117650000000.0,Commonwealth Bank
114,Germany,113590000000.0,Siemens
115,USA,113550000000.0,Elevance Health
116,USA,113320000000.0,S&P Global
117,USA,112210000000.0,American Express
118,USA,110840000000.0,BlackRock
119,USA,110470000000.0,Gilead Sciences
120,China,109910000000.0,Jingdong Mall
121,USA,108580000000.0,Intuit
122,USA,107670000000.0,Prologis
123,Ireland,107550000000.0,Medtronic
124,China,107450000000.0,Wuliangye Yibin
125,UK,104370000000.0,BP
126,Germany,103540000000.0,Deutsche Telekom
127,USA,103120000000.0,AMD
128,Japan,101890000000.0,Sony
129,USA,101730000000.0,American Tower
130,UK,101530000000.0,Diageo
131,USA,99620000000.0,Automatic Data Processing
132,Norway,99460000000.0,Equinor
133,Japan,98830000000.0,NTT (Nippon Telegraph & Telephone)
134,China,98610000000.0,BYD
135,USA,96970000000.0,Stryker Corporation
136,Netherlands,96780000000.0,Airbus
137,USA,95580000000.0,TJX Companies
138,USA,95550000000.0,Intuitive Surgical
139,Switzerland,94980000000.0,Chubb
140,USA,94130000000.0,Estee Lauder
141,Japan,93710000000.0,Keyence
142,USA,92880000000.0,Mondelez
143,USA,92540000000.0,Cigna
144,Germany,91830000000.0,Porsche
145,USA,91630000000.0,Citigroup
146,UK,90970000000.0,British American Tobacco
147,Australia,90620000000.0,CSL
148,Germany,89930000000.0,Allianz
149,Japan,89730000000.0,Mitsubishi UFJ Financial
150,Spain,89720000000.0,Inditex
151,USA,88010000000.0,Applied Materials
152,USA,87180000000.0,PayPal
153,Germany,85660000000.0,Merck KGaA
154,USA,84790000000.0,Marsh & McLennan Companies
155,USA,84530000000.0,Booking Holdings (Booking.com)
156,USA,84290000000.0,Analog Devices
157,France,83630000000.0,Schneider Electric
158,Switzerland,83550000000.0,Glencore
159,Canada,83530000000.0,Canadian National Railway
160,USA,83240000000.0,Altria Group
161,Canada,82670000000.0,Enbridge
162,France,82470000000.0,EssilorLuxottica
163,Brazil,82360000000.0,Vale
164,S. Korea,81540000000.0,LG Energy Solution
165,USA,80990000000.0,Duke Energy
166,Switzerland,80710000000.0,Compagnie FinanciÃ¨re Richemont
167,S. Arabia,80610000000.0,Al Rajhi Bank
168,USA,80270000000.0,Regeneron Pharmaceuticals
169,USA,80250000000.0,Northrop Grumman
170,USA,78740000000.0,Progressive
171,USA,78600000000.0,General Electric
172,France,78060000000.0,Air Liquide
173,USA,77980000000.0,Southern Company
174,Germany,77720000000.0,Volkswagen
175,USA,77280000000.0,Schlumberger
176,France,76770000000.0,BNP Paribas
177,China,76120000000.0,China Shenhua Energy
178,India,75410000000.0,Infosys
179,USA,74870000000.0,EOG Resources
180,Germany,74850000000.0,Mercedes-Benz
181,USA,74490000000.0,Vertex Pharmaceuticals
182,India,74440000000.0,ICICI Bank
183,USA,74030000000.0,ServiceNow
184,USA,73720000000.0,Becton Dickinson
185,USA,73710000000.0,Target
186,India,73330000000.0,Hindustan Unilever
187,China,72940000000.0,Sinopec
188,Canada,72110000000.0,Canadian Pacific Railway
189,S. Arabia,72040000000.0,SABIC
190,USA,71950000000.0,HCA Healthcare
191,UK,71840000000.0,GlaxoSmithKline
192,USA,70860000000.0,U.S. Bancorp
193,Switzerland,70360000000.0,Zurich Insurance Group
194,Spain,70180000000.0,Iberdrola
195,USA,70040000000.0,3M
196,USA,69710000000.0,Illinois Tool Works
197,USA,69280000000.0,Moderna
198,China,69050000000.0,China Yangtze Power
199,USA,68850000000.0,Air Products and Chemicals
200,USA,68810000000.0,Zoetis
201,France,68460000000.0,AXA
202,USA,68150000000.0,General Dynamics
203,France,67890000000.0,Kering
204,USA,67690000000.0,CSX Corporation
205,Canada,67440000000.0,Bank of Montreal
206,China,67360000000.0,China Tourism Group Duty Free
207,Brazil,67040000000.0,Petrobras
208,USA,66800000000.0,Colgate-Palmolive
209,USA,66350000000.0,Boston Scientific
210,USA,66220000000.0,PNC Financial Services
211,Singapore,65960000000.0,DBS Group
212,Indonesia,65570000000.0,Bank Central Asia
213,USA,65460000000.0,Waste Management
214,Japan,65020000000.0,KDDI
215,India,64930000000.0,State Bank of India
216,USA,64880000000.0,Fiserv
217,Mexico,64770000000.0,Walmex
218,Ireland,64060000000.0,Eaton
219,Japan,63790000000.0,SoftBank
220,China,63700000000.0,CNOOC
221,UK,63570000000.0,Aon
222,Switzerland,63420000000.0,UBS
223,Australia,63360000000.0,National Australia Bank
224,China,63190000000.0,Nongfu Spring
225,China,63120000000.0,Postal Savings Bank of China
226,USA,63090000000.0,Crown Castle
227,USA,62980000000.0,CME Group
228,USA,62360000000.0,Equinix
229,USA,62350000000.0,Humana
230,Germany,62000000000.0,BMW
231,USA,61940000000.0,Micron Technology
232,Mexico,61210000000.0,America Movil
233,USA,61100000000.0,Sherwin-Williams
234,Japan,60960000000.0,Fast Retailing
235,Switzerland,60960000000.0,ABB
236,USA,60840000000.0,Truist Financial
237,Canada,60780000000.0,Canadian Natural Resources
238,USA,60720000000.0,Lam Research
239,USA,60720000000.0,Activision Blizzard
240,USA,60430000000.0,Freeport-McMoRan
241,Canada,60040000000.0,Scotiabank
242,Italy,60000000000.0,Enel
243,USA,59210000000.0,Norfolk Southern
244,Hong Kong,58800000000.0,Hong Kong Exchanges & Clearing
245,S. Arabia,58720000000.0,The Saudi National Bank
246,USA,58590000000.0,Intercontinental Exchange
247,Japan,58440000000.0,Daiichi SankyÅ
248,France,58430000000.0,Vinci
249,USA,57940000000.0,Occidental Petroleum
250,USA,57730000000.0,MetLife
251,India,57490000000.0,Bharti Airtel
252,India,57440000000.0,Housing Development Finance Corporation
253,USA,57240000000.0,Charter Communications
254,USA,57190000000.0,Blackstone Group
255,USA,57030000000.0,Emerson
256,USA,56890000000.0,KLA
257,Sweden,56740000000.0,Atlas Copco
258,Sweden,56500000000.0,Investor AB
259,Canada,56320000000.0,Thomson Reuters
260,Netherlands,56150000000.0,Heineken
261,China,56050000000.0,Mindray
262,USA,56040000000.0,Airbnb
263,UK,55910000000.0,Anglo American
264,USA,55710000000.0,KKR & Co.
265,Germany,55640000000.0,Siemens Healthineers
266,UK,55620000000.0,RELX
267,USA,55570000000.0,Dollar General
268,USA,55460000000.0,Pioneer Natural Resources
269,Japan,55320000000.0,Sumitomo Mitsui Financial Group
270,Australia,55250000000.0,Westpac Banking
271,Austria,55080000000.0,Verbund AG
272,France,55050000000.0,Safran
273,China,55010000000.0,China Telecom
274,China,54920000000.0,Midea
275,USA,54740000000.0,Marathon Petroleum
276,USA,54730000000.0,McKesson
277,China,54650000000.0,Industrial Bank
278,Spain,54500000000.0,Santander
279,USA,54380000000.0,Enterprise Products
280,India,54200000000.0,Life Insurance Corporation of India (LIC)
281,USA,53660000000.0,Vmware
282,Russia,53580000000.0,United Heavy Machinery
283,China,53530000000.0,NetEase
284,USA,53480000000.0,Monster Beverage
285,China,53410000000.0,Foshan Haitian Flavouring and Food
286,USA,53070000000.0,Moody's
287,India,52810000000.0,Adani Enterprises
288,USA,52720000000.0,O'Reilly Automotive
289,USA,52650000000.0,Uber
290,Japan,52200000000.0,Recruit
291,USA,52160000000.0,Kraft Heinz
292,USA,52100000000.0,Southern Copper
293,Germany,51980000000.0,Bayer
294,Italy,51960000000.0,ENI
295,USA,51550000000.0,Dominion Energy
296,USA,51350000000.0,Keurig Dr Pepper
297,Germany,51060000000.0,BASF
298,USA,51010000000.0,General Motors
299,France,50810000000.0,Pernod Ricard
300,USA,50680000000.0,General Mills
301,USA,50570000000.0,Ford
302,India,50370000000.0,ITC
303,UK,49980000000.0,Reckitt Benckiser
304,S. Arabia,49980000000.0,Saudi Telecom Company
305,USA,49950000000.0,Phillips 66
306,Netherlands,49640000000.0,Stellantis
307,USA,49600000000.0,American Electric Power
308,USA,49170000000.0,Valero Energy
309,France,49100000000.0,EDF (ElectricitÃ© de France)
310,Japan,48900000000.0,Shin-Etsu Chemical
311,USA,48850000000.0,Synopsys
312,USA,48740000000.0,Public Storage
313,USA,48570000000.0,Sempra Energy
314,China,48560000000.0,Bank of Communications
315,USA,48550000000.0,Marriott International
316,France,48520000000.0,Dassault SystÃ¨mes
317,Japan,48430000000.0,Takeda Pharmaceutical
318,Netherlands,48210000000.0,ING
319,Japan,48100000000.0,Tokyo Electron
320,Japan,48040000000.0,Nintendo
321,USA,47950000000.0,American International Group
322,Australia,47870000000.0,ANZ Bank
323,Germany,47750000000.0,Munich RE (MÃ¼nchener RÃ¼ck)
324,USA,47610000000.0,Edwards Lifesciences
325,Indonesia,47510000000.0,Bank Rakyat Indonesia
326,Germany,47410000000.0,Deutsche Post
327,India,47370000000.0,Adani Total Gas
328,USA,47210000000.0,Archer Daniels Midland (ADM)
329,UK,47100000000.0,London Stock Exchange
330,USA,47050000000.0,Roper Technologies
331,China,47020000000.0,LONGi Green Energy Technology
332,USA,46880000000.0,FedEx
333,Canada,46870000000.0,Shopify
334,UK,46860000000.0,National Grid
335,USA,46750000000.0,Amphenol
336,USA,46720000000.0,Kimberly-Clark
337,USA,46660000000.0,AutoZone
338,Japan,46430000000.0,Oriental Land
339,Brazil,46290000000.0,ItaÃº Unibanco
340,USA,46270000000.0,The Hershey Company
341,China,46260000000.0,Hikvision
342,Japan,46120000000.0,Hitachi
343,Ireland,46110000000.0,Johnson Controls
344,Japan,46000000000.0,Mitsubishi Corporation
345,China,45970000000.0,Baidu
346,Canada,45950000000.0,Alimentation Couche-Tard
347,USA,45910000000.0,Aflac
348,S. Korea,45650000000.0,Samsung Biologics
349,Australia,45590000000.0,Woodside Energy
350,Hong Kong,45590000000.0,Budweiser APAC
351,USA,45450000000.0,DexCom
352,USA,45430000000.0,The Travelers Companies
353,S. Arabia,45400000000.0,Maaden
354,Australia,45330000000.0,Fortescue
355,Italy,45090000000.0,Intesa Sanpaolo
356,Australia,45010000000.0,Macquarie
357,USA,44900000000.0,Cintas
358,Netherlands,44870000000.0,Universal Music Group
359,S. Korea,44850000000.0,SK Hynix
360,USA,44540000000.0,Centene
361,USA,44480000000.0,Simon Property Group
362,Japan,44460000000.0,Daikin
363,Taiwan,44420000000.0,Foxconn (Hon Hai Precision Industry)
364,USA,44300000000.0,Hess
365,Netherlands,44140000000.0,Adyen
366,USA,44110000000.0,Motorola Solutions
367,Indonesia,43950000000.0,Bayan Resources
368,Argentina,43930000000.0,MercadoLibre
369,India,43860000000.0,Bajaj Finance
370,USA,43790000000.0,Cadence Design Systems
371,USA,43720000000.0,Agilent Technologies
372,Japan,43640000000.0,ItÅchÅ« ShÅji
373,China,43590000000.0,Kuaishou Technology
374,USA,43590000000.0,Corteva
375,USA,43390000000.0,Exelon Corporation
376,Japan,43200000000.0,Mitsui Bussan
377,India,42990000000.0,Kotak Mahindra Bank
