,company_country,company_name,company_industry
0,Finland,Swappie,Technology
1,Lithuania,Kilo Health,Health
2,UK,OCI,Financial Services
3,UK,OnlyFans,Technology
4,Germany,Enpal,Energy
5,Germany,MR Consulting,Waste management & recycling
6,UK,Thriva,Health
7,France,Exotec,Industrial Goods
8,Italy,Winelivery,Ecommerce
9,Sweden,Instabox,Technology
10,Austria,Waterdrop,Food & Beverage
11,France,One Lease,Support Services
12,Italy,Datlas*,Technology
13,UK,Zego,Fintech
14,Germany,HCL-Logistics,Transport
15,UK,Popsa,Technology
16,Switzerland,Unit8,Technology
17,Finland,Luoto Company,Technology
18,Austria,Journi Print,Ecommerce
19,France,Portify,Support Services
20,Norway,Tibber,Energy
21,Poland,Rascal Industry,Fashion
22,Italy,Pegaso Security,Support Services
23,UK,Tide,Fintech
24,Italy,Euro Top Brand,Retail
25,UK,Bold Security Group,Support Services
26,Norway,Play Magnus Group,Games industry
27,UK,Blue Whale Growth Fund,Financial Services
28,Belgium,Kazidomi,Ecommerce
29,Latvia,Sun Finance,Fintech
30,Italy,Credimi,Financial Services
31,Germany,SIRPLUS,Retail
32,The Netherlands,AIHR | Academy to Innovate HR,Education
33,Luxembourg,Logistics Capital Partners (LCP),Property
34,Germany,SÃ¼dwest Invest,Property
35,France,CORADE (Plurimmo),Property
36,Spain,Carranco,Food & Beverage
37,Poland,Telemedi,Health
38,Germany,Inkitt,Technology
39,Italy,H.K.Trading,Retail
40,UK,Attest,Technology
41,France,LGM IMMOBILIER,Property
42,The Netherlands,Wolfram Chain*,Management Consulting
43,Germany,RightNow,Technology
44,UK,EO Charging,Technology
45,Italy,CheTariffa.it,Support Services
46,UK,Simply,Financial Services
47,UK,Salary Finance,Fintech
48,Sweden,DBT,Fintech
49,Poland,Tutlo,Education
50,France,Ponera,Ecommerce
51,Greece,Active Energy Solutions,Energy
52,France,ACTEAM ENR,Energy
53,UK,Everflow,Technology
54,UK,Azure Prism,Retail
55,Germany,WR Logistics,Transport
56,UK,iProov,Technology
57,Italy,Spin Up,Advertising
58,Germany,BeGreat,Retail
59,Italy,Tsunami Nutrition*,Ecommerce
60,The Netherlands,Matt Sleeps,Interiors
61,UK,Tessian,Technology
62,Germany,Solarisbank,Financial Services
63,France,M2DG (MyFlexoffice),Support Services
64,Italy,Eukon,Health
65,Italy,Evolution Adv,Advertising
66,Spain,Making Science,Technology
67,Italy,Everli,Ecommerce
68,Finland,AppFollow,Technology
69,Poland,Synerise,Technology
70,Poland,ChaiKola,Food & Beverage
71,Germany,Scolution,Technology
72,France,JL&P,Energy
73,Italy,eFarma.com,Pharmaceuticals
74,UK,Elvie,Technology
75,Italy,Farmarelax,Personal & Household Goods
76,UK,Omnisend,Technology
77,Italy,World Trade Group,Fashion
78,France,BESTEAM Conseil,Technology
79,UK,Motorway,Automobiles
80,Germany,ISO Public Services,Technology
81,UK,Octopus Energy,Energy
82,UK,CyberIAM*,Cyber Security
83,Italy,Cbweed*,Personal & Household Goods
84,Portugal,Catraport,Automobiles
85,France,OUIHELP,Support Services
86,Denmark,Inpay,Fintech
87,Italy,M.G.I. Meccaniche Generali Irpine,Industrial Goods
88,UK,Glencar Construction,Construction
89,UK,Qmee,Technology
90,Italy,MyAppFree,Advertising
91,Germany,Investa Dienstleistungen,Support Services
92,Sweden,Polarium Energy Solutions,Batteries
93,Italy,Baroni Home,Ecommerce
94,UK,Dayshape,Technology
95,Italy,Marketers Company,Advertising
96,Spain,Easo Magno,Beauty
97,Germany,Greyfood,Retail
98,UK,Misfits Health,Food & Beverage
99,France,MeilleursBiens.com,Property
100,UK,Fasanara Capital,Financial Services
101,Cyprus,NtechLab,Technology
102,Italy,Babylino Sensitive,Personal & Household Goods
103,The Netherlands,Fastned,Technology
104,Portugal,Oxray,Health
105,Germany,ZEGA Invest,Property
106,Hungary,Abylon Consulting,Technology
107,Norway,Milrab,Ecommerce
108,Belgium,Urbantz,Technology
109,UK,Tricas Construction,Construction
110,Italy,Florence One,Technology
111,Germany,Ergotopia,Retail
112,Hungary,Mcule.com Kft.,Chemicals & Pharmaceuticals
113,Italy,Filo,Technology
114,Italy,Homepal,Property
115,Germany,Staffbase,Technology
116,France,ILON MATERIEL,Construction
117,Ireland,Bio-marine,Personal & Household Goods
118,France,ISODECO,Construction
119,Italy,Treedom,Support Services
120,Germany,Fenstermaxx24,Retail
121,Germany,Pohl & SÃ¶hne GerÃ¼stbau,Construction
122,France,YSO CORP,Media
123,Italy,Gyada Cosmetics,Beauty
124,UK,Privitar,Technology
125,UK,Delineate,Technology
126,Poland,Spyrosoft,Technology
127,Slovakia,Bio Energy Solutions,Waste management & recycling
128,Italy,Increso,Management Consulting
129,Italy,LSG - Logistic & Service Group,Transport
130,Sweden,Energihem,Construction
131,UK,Amity,Technology
132,Germany,Goyago,Retail
133,France,LA REGIE DE PORTAGE SALARIAL,Support Services
134,Denmark,Dall Energy,Energy
135,Germany,Appinio,Technology
136,Italy,Pinsami,Food & Beverage
137,France,AER TRADING,Retail
138,France,VALUMEN,Support Services
139,France,Follow,Advertising
140,Germany,Darpdecade,Retail
141,Estonia,Bolt,Technology
142,Italy,Kiteworldshop.com,Ecommerce
143,Germany,Peter Kenkel,Retail
144,Denmark,Templafy,Technology
145,Italy,Comservice,Support Services
146,Italy,Falcor Presse,Industrial Goods
147,The Netherlands,RoomRaccoon,Technology
148,Spain,Signaturit,Technology
149,UK,Modulr,Fintech
150,Germany,PROFISHOP,Ecommerce
151,The Netherlands,Floer,Interiors
152,Italy,Audiosalus,Retail
153,UK,StatsBomb,Technology
154,Italy,Theras Biocare,Pharmaceuticals
155,UK,Stenn,Fintech
156,Hungary,Nanushka,Fashion
157,Germany,DPM - Deutsches Personal Management,Support Services
158,UK,Monese,Fintech
159,Spain,Arquimea,Technology
160,France,Groupe PERSPECTIVE,Education
161,Sweden,Funnel,Technology
162,Germany,Living Quarter,Health
