,company_ceo,company_name
0,Tim Cook,APPLE
1,Satya Nadella,MICROSOFT CORPORATION
2,Amin H. Al-Nasser,SAUDI ARABIAN OIL COMPANY (Saudi Aramco)
3,Sundar Pichai,ALPHABET
4,Andy Jassy,AMAZON.COM
5,Elon Musk,TESLA
6,Mark Zuckerberg,META PLATFORMS
7,Warren Buffett,BERKSHIRE HATHAWAY
8,Jensen Huang,NVIDIA CORPORATION
9,C. C. Wei,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC)
10,Ma Huateng,TENCENT
11,Jamie Dimon,J P MORGAN CHASE & CO
12,Alfred F Kelly Jr,VISA
13,Joaquin Duato,JOHNSON & JOHNSON
14,Kim Hyun Suk Koh Dong-Jin Kim Ki Nam,SAMSUNG ELECTRONICS
15,Andrew Witty,UNITEDHEALTH GROUP
16,Craig Menear,HOME DEPOT
17,Bernard Arnault,LVMH
18,Brian Moynihan,BANK OF AMERICA CORPORATION
19,Doug McMillon,WALMART
20,Jon R. Moeller,PROCTER & GAMBLE COMPANY
21,Li Bao Fang,KWEICHOW MOUTAI
22,Ulf Mark Schneider,NESTLE AG
23,Michael Miebach,MASTERCARD
24,Severin Schwan,ROCHE HOLDING AG
25,Daniel Zhang,ALIBABA GROUP HOLDING
26,Albert Bourla,PFIZER
27,Peter Wennink,ASML HOLDING
28,Darren Woods,EXXON MOBIL CORPORATION
29,Bob Chapek,THE WALT DISNEY COMPANY
30,Akio Toyoda,TOYOTA MOTOR CORPORATION
31,James Quincey,COCA-COLA COMPANY
32,Chuck Robbins,CISCO SYSTEMS
33,Hock E. Tan,BROADCOM
34,Bob van Dijk,PROSUS
35,Nicolas Jimenez,ICBC
36,Jean Paul Agon,L'OREAL
37,John Donahoe,NIKE
38,David A. Ricks,ELI LILLY AND COMPANY
39,Shantanu Narayen,ADOBE
40,Michael Wirth,CHEVRON CORPORATION
41,Ramon Laguarta,PEPSICO
42,Robert Ford,ABBOTT LABORATORIES
43,Ted Sarandos Reed Hastings,NETFLIX
44,,TATA GROUP
45,Marc N. Casper,THERMO FISHER SCIENTIFIC
46,Richard A. Gonzalez,ABBVIE
47,W. Craig Jelinek,COSTCO WHOLESALE CORPORATION
48,Julie Sweet,ACCENTURE
49,Safra A. Catz,ORACLE CORPORATION
50,Lars Fruergaard Jorgensen,NOVO NORDISK A/S
51,Brian L. Roberts,COMCAST CORPORATION
52,Hans Vestberg,VERIZON COMMUNICATIONS
53,Marc Benioff,SALESFORCE.COM
54,Mukesh Ambani,RELIANCE INDUSTRIES
55,Daniel Schulman,PAYPAL HOLDINGS
56,Charles W. Scharf,WELLS FARGO & COMPANY
57,Patrick P. Gelsinger,INTEL CORPORATION
58,Rainer M. Blair,DANAHER CORPORATION
59,Robert M. Davis,MERCK & CO
60,Cristiano R. Aman,QUALCOMM
61,Vasant Narasimhan,NOVARTIS AG
62,Huiyu Tian,CHINA MERCHANTS BANK
63,Chris Kempczinski,MCDONALD'S CORPORATION
64,Zeng Yuqun,CONTEMPORARY AMPEREX TECHNOLOGY
65,Rajesh Gopinathan,TATA CONSULTANCY SERVICES (TCS)
66,Carol B. Tome,UNITED PARCEL SERVICE (UPS)
67,John T. Stankey,AT&T
68,James P. Gorman,MORGAN STANLEY
69,,CHINA CONSTRUCTION BANK CORPORATION
70,Ben van Beurden,ROYAL DUTCH SHELL
71,Pascal Soriot,ASTRAZENECA
72,Walter W Bettinger II,THE CHARLES SCHWAB CORPORATION
73,Axel Dumas,HERMES INTERNATIONAL
74,Sanjiv Lamba,LINDE AG
75,James L Robo,NEXTERA ENERGY
76,Marvin Ellison,LOWE'S COMPANIES
77,Richard K. Templeton,TEXAS INSTRUMENTS
78,Lance M. Fritz,UNION PACIFIC CORPORATION
79,Mike Henry,BHP GROUP
80,Christian Klein,SAP SE
81,,AGRICULTURAL BANK OF CHINA
82,Sasan K. Goodarzi,INTUIT
83,Wang Xing,MEITUAN DIANPING
84,David I. McKay,ROYAL BANK OF CANADA
85,Lisa Su,ADVANCED MICRO DEVICES (AMD)
86,Kenichiro Yoshida,SONY CORPORATION
87,Jacek Olczak,PHILIP MORRIS INTERNATIONAL
88,Ma Mingzhe,PING AN INSURANCE (GROUP) COMPANY OF CHINA
89,Darius Adamczyk,HONEYWELL INTERNATIONAL
90,Bharat Masrani,TORONTO-DOMINION BANK
91,Wang Dongjin,PETROCHINA COMPANY
92,Pietro Beccari,CHRISTIAN DIOR
93,Tobias Lutke,SHOPIFY
94,Yu Nakata,KEYENCE CORPORATION
95,Geoffrey S. Martha,MEDTRONIC
96,Giovanni Caforio,BRISTOL-MYERS SQUIBB COMPANY
97,Roland Busch,SIEMENS
98,Patrick Pouyanne,TOTALENERGIES SE
99,Karen S. Lynch,CVS HEALTH CORPORATION
100,Alan Jope,UNILEVER GROUP
101,Mike Sievert,T-MOBILE US
102,Gao Yingxin,BANK OF CHINA
103,Larry Fink,BLACKROCK
104,,SCHWARZ GROUP
105,Gregory Hayes,RAYTHEON TECHNOLOGIES CORPORATION
106,Stephen Squeri,AMERICAN EXPRESS COMPANY
107,Herbert Diess,VOLKSWAGEN
108,Gary E. Dickerson,APPLIED MATERIALS
109,Noel Quinn,HSBC HOLDINGS
110,David M. Solomon,THE GOLDMAN SACHS GROUP
111,Chen Lin,WULIANGYE YIBIN
112,Jane Fraser,CITI GROUP
113,Li Yue,CHINA MOBILE
114,Robert A. Bradway,AMGEN
115,Susan Wojcicki,YOUTUBE
116,Fabrizio Freda,ESTEE LAUDER COMPANIES
117,Dave Calhoun,BOEING COMPANY
118,Paul Hudson,SANOFI
119,Laxman Narasimhan,STARBUCKS CORPORATION
120,Matt Comyn,COMMONWEALTH BANK OF AUSTRALIA
121,Lee Yuan Siong,AIA GROUP
122,Ivan Menezes,DIAGEO
123,Tom Bartlett,AMERICAN TOWER CORPORATION (REIT)
124,Jim Umpleby,CATERPILLAR
125,Arvind Krishna,IBM
126,Jakob Stausholm,RIO TINTO GROUP
127,John C. May,DEERE & COMPANY
128,Gary S Guthart,INTUITIVE SURGICAL
129,Sashidhar Jagdishan,HDFC BANK
130,Hamid Moghadam,PROLOGIS
131,Bill McDermott,SERVICENOW
132,H. Lawrence Culp Jr,GENERAL ELECTRIC COMPANY
133,Brian Cornell,TARGET CORPORATION
134,Dame Emma Walmsley,GLAXOSMITHKLINE
135,Dairen Lin,CHINA LIFE INSURANCE COMPANY
136,Michel Doukeris,ANHEUSER-BUSCH INBEV
137,Thomas M. Rutledge,CHARTER COMMUNICATIONS
138,Alexey Miller,GAZPROM
139,Douglas L. Peterson,S&P GLOBAL
140,Jean-Pascal Tricoire,SCHNEIDER ELECTRIC
141,,INGRAM MICRO
142,,VANGUARD GROUP
143,Ryan Lance,CONOCOPHILLIPS COMPANY
144,Liu Qiangdong,JD.COM
145,Sanjay Mehrotra,MICRON TECHNOLOGY
146,Gail Koziara Boudreaux,ANTHEM
147,Brian Chesky,AIRBNB
148,Guillaume Faury,AIRBUS
149,,KOCH INDUSTRIES
150,,BYTEDANCE
151,Forrest Li,SEA LIMITED
152,Mike Roman,3M COMPANY
153,Oliver Bate,ALLIANZ SE
154,Salil Parekh,INFOSYS
155,Belen Garijo,MERCK KGAA O.N.
156,Jun Sawada,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
157,Motoyuki Ii,NTT DOCOMO
158,Francois-Henri Pinault,KERING
159,Carlos A. Rodriguez,AUTOMATIC DATA PROCESSING (ADP)
160,Glenn D. Fogel,BOOKING HOLDINGS
161,JUAN RAMÃN ALAIX,ZOETIS
162,Kevin A. Lobo,STRYKER CORPORATION
163,James D. Taiclet,LOCKHEED MARTIN CORPORATION
164,Pablo Isla,INDITEX (INDUSTRIA DE DISENO TEXTIL)
165,Jim Farley,FORD MOTOR COMPANY
166,Bernard Looney,BP P.L.C.
167,Paul Perreault,CSL
168,Waleed A. Al-Mogbel,AL RAJHI BANKING AND INVESTMENT CORPORATION
169,,ROBERT BOSCH
170,William S. Demchak,THE PNC FINANCIAL SERVICES GROUP
171,Yousef Al-Benyan,SAUDI BASIC INDUSTRIES CORPORATION (SABIC)
172,Timothy M. Archer,LAM RESEARCH CORPORATION
173,Dirk Van de Put,MONDELEZ INTERNATIONAL
174,,BYD COMPANY
175,Timotheus Hottges,DEUTSCHE TELEKOM AG
176,Frank Slootman,SNOWFLAKE
177,Billy Gifford,ALTRIA GROUP
178,Markus Duesmann,AUDI AG
179,Anders Dons,DELOITTE
180,Jean-Laurent Bonnafe,BNP PARIBAS
181,Andrew Cecere,U.S. BANCORP
182,Mary Barra,GENERAL MOTORS COMPANY
183,,CARGILL
184,Hisayuki Idekoba,RECRUIT HOLDINGS
185,Bruce Flatt,BROOKFIELD ASSET MANAGEMENT
186,Anders Opedal,EQUINOR ASA
187,Jack Bowles,BRITISH AMERICAN TOBACCO
188,Ola Kallenius,MERCEDEC BENZ GROUP AG
189,Daniel O'Day,GILEAD SCIENCES
190,Francesco Milleri,ESSILOR LUXOTTICA
191,Ernie Herrman,THE TJX COMPANIES
192,Vincent Roche,ANALOG DEVICES
193,Brian J. Porter,BANK OF NOVA SCOTIA
194,Toshiki Kawai,TOKYO ELECTRON LIMITED
