,company_location,company_industry,company_name
0,"VIALE REGINA MARGHERITA 137, ROMA, 00198, ROMA, ITALY","Finance, Insurance, and Real Estate",Enel Spa
1,"VIA GIAMBOLOGNA 1, PIOLTELLO, 20096, MILANO, ITALY",Retail Trade,Esselunga Spa
2,"VIA VITTOR PISANI 20, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Superit Srl
3,"GALLERIA PASSARELLA 2, MILANO, 20122, MILANO, ITALY",Manufacturing,Saras Spa
4,"PIAZZA GAE AULENTI 3 TOWER A, MILANO, 20154, MILANO, ITALY","Finance, Insurance, and Real Estate",Unicredit Spa
5,"VIALE UNGHERIA 46, MILANO, 20138, MILANO, ITALY",Services,Send To Me Srl
6,"CORSO INGHILTERRA 3, TORINO, 10138, TORINO, ITALY","Finance, Insurance, and Real Estate",Intesa Sanpaolo Vita Spa
7,"VIA STALINGRADO 45, BOLOGNA, 40128, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Unipolsai Assicurazioni Spa
8,"VIA ROMBON 11, MILANO, 20134, MILANO, ITALY",Wholesale Trade,Totalenergies Petrochemicals & Refining Sa Nv
9,"PIAZZA MINGHETTI 4/D, BOLOGNA, 40124, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Sanastera Spa
10,"VIALE CARLO BERTI PICHAT 2/4, BOLOGNA, 40127, BOLOGNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Hera Spa
11,"VIALE CASSALA 57, MILANO, 20143, MILANO, ITALY",Wholesale Trade,Esso Italiana Srl
12,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Poste Italiane Spa
13,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",A2a Spa
14,"VIALE DELL'INNOVAZIONE 3, MILANO, 20126, MILANO, ITALY","Finance, Insurance, and Real Estate",Arrow Electronics Emeasa Srl
