,company_ceo,company_country,company_employees,company_founded,company_location,company_industry,company_revenue,company_name,company_ipo_code
0, Mr. Joseph A. Ferraro,United States," 16,000", 2006Â ,"Parsippany,NJ,UnitedStates",Rental & Leasing Services,$18.12 B,"Avis Budget Group, Inc.",CAR
1, Mr. Christian  Mauad Gebara,Brazil," 34,000", 1998,"SÃÂ£oPaulo,SP,Brazil",Telecom Services,$20.19 B,TelefÃ´nica Brasil SA,VIV
2, Mr. Yuji  Fukasawa,Japan," 71,973",,"Tokyo,Japan",Railroads,$22.78 B,East Japan Railway Company,9020
3, Mr. Jeffrey  Lawson,United States," 7,867", 2008,"SanFrancisco,CA,UnitedStates",Internet Content & Information,$26.09 B,Twilio Inc.,TWLO
4, Mr. Ping  Cheng,Taiwan,,,"Taipei,Taiwan",Electronic Components,$24.05 B,"Delta Electronics, Inc.",2308
5, Mr. Robert Jeffrey Orr,Canada," 30,000", 1925,"MontrÃÂ©al,QC,Canada",InsuranceâLife,$21.48 B,Power Corporation of Canada,POW
6, Mr. Peter Maxwell Kern,United States," 14,800"," OctoberÂ 22, 1996","Seattle,WA,UnitedStates",Travel Services,$27.91 B,"Expedia Group, Inc.",EXPE
7,,United Kingdom," 4,000", 1925,"Goole,UnitedKingdom",Specialty Chemicals,$19.22 B,Croda International plc,CRDA
8, Mr. Bom Suk  Kim,South Korea," 68,000",,"Seoul,SouthKorea",Internet Retail,$30.53 B,"Coupang, Inc.",CPNG
9, Mr. Michael J. Hennigan,United States," 1,139", 1988,"Findlay,OH,UnitedStates",Oil & Gas Midstream,$35.27 B,MPLX LP,MPLX
10, Ms. Alison Marie Rose-Slade B.A.,United Kingdom," 58,735", 25Â March 1968,"Edinburgh,UnitedKingdom",Banks,$32.72 B,NatWest Group plc,NWG
11, Mr. Edward D. Breen,United States," 28,000"," SeptemberÂ 1, 2017","Wilmington,DE,UnitedStates",Chemicals,$39.72 B,"DuPont de Nemours, Inc.",DD
12, Mr. Enrique J. Lores,United States," 51,000"," JanuaryÂ 1, 1939","PaloAlto,CA,UnitedStates",Computer Hardware,$43.90 B,HP Inc.,HPQ
13, Mr. Toshihiro  Mibe,Japan," 211,374"," Hamamatsu, Japan OctoberÂ 1946, incorporated 24Â September 1948","Tokyo,Japan",Auto Manufacturers,$49.11 B,"Honda Motor Co., Ltd.",7267
14," Ms. Shemara R. Wikramanayake B.Com., L.L.B., LLB, BCom (UNSW)",Australia," 17,209", 1969,"Sydney,NSW,Australia",Capital Markets,$55.99 B,Macquarie Group Limited,MQG
15, Ms. Mary T. Barra,United States," 157,000"," SeptemberÂ 16, 1908","Detroit,MI,UnitedStates",Auto Manufacturers,$62.69 B,General Motors Company,GM
16, Mr. Michael A. Mussallem,United States," 15,700", 1958,"Irvine,CA,UnitedStates",Medical Devices,$73.38 B,Edwards Lifesciences Corporation,EW
17, Mr. Mario  Greco,Switzerland," 55,000",,"Zurich,Switzerland",InsuranceâDiversified,$73.58 B,Zurich Insurance Group AG,ZURN
18, Mr. Michael  Cannon-Brookes,Australia," 7,388", 2002,"Sydney,NSW,Australia",SoftwareâApplication,$73.72 B,Atlassian Corporation Plc,TEAM
19, Mr. Ernie L. Herrman,United States," 270,000", 1987,"Framingham,MA,UnitedStates",Apparel Retail,$73.99 B,"The TJX Companies, Inc.",TJX
20, Mr. Jeffrey C. Sprecher,United States," 8,858"," MayÂ 11, 2000","Atlanta,GA,UnitedStates",Financial Data & Stock Exchanges,$74.17 B,"Intercontinental Exchange, Inc.",ICE
21,,Canada," 9,735",,"Calgary,AB,Canada",Oil & Gas E&P,$74.78 B,Canadian Natural Resources Limited,CNQ
22, Mr. William Henry Rogers Jr.,United States," 50,283", 1872,"Charlotte,NC,UnitedStates",Banks,$74.79 B,Truist Financial Corporation,TFC
