,company_location,company_industry,company_revenue,company_name,company_employees,company_website
0,"101 S Capitol Blvd Ste 1000, Boise, Idaho, 83702",Environmental and Waste Management Services,,US Ecology Inc,"3,600",www.usecology.com
1,"50 Minuteman Drive, Andover, Massachusetts, 01810",Aerospace and Defense,$2.7B,Mercury Systems Inc,"2,386",www.mrcy.com
2,"Xiwang Industrial Park, Zouping County, Binzhou, Shandong , 256209",Consumer Packaged Goods,$787.4M,Xiwang Foodstuffs Co Ltd,"1,892",www.xwsp.cc
3,"No. 19, Hi-Tech Zhongyi Avenue, Middle Area, Hi-Tech Zone , Nanshan Dist, Shenzhen, Guangdong, 518057",Pharmaceuticals and Healthcare,$2.7B,Shenzhen Hepalink Pharmaceutical Group Co Ltd,"2,046",www.hepalink.com
4,"Kingsoft Tower, No. 33, Xiaoying West Road, Haidian District, Beijing, 100085",Technology and Communications,$5.0B,Kingsoft Corporation Ltd,"7,174",www.kingsoft.com
5,"11 Grosvenor Place, London, SW1X7HH",Metals and Mining,,Petropavlovsk PLC,"8,860",petropavlovskplc.com
6,"Seelistrasse 1, Haag, Rheintal, 9469",Industrial Goods and Machinery,$9.5B,VAT Group AG,"2,897",www.vatvalve.com
7,"Uhlandstrasse 12, Darmstadt, 64297",Technology and Communications,$2.1B,Software AG,"5,052",www.softwareag.com
8,"No. 3 A1, Road 10, Shenyang Economy & Technology, Development Zone, Liaoning , 110027",Pharmaceuticals and Healthcare,$2.7B,3SBio Inc,"5,160",www.3sbio.com
9,"2-3-4, Daiba, Minato-Ku, Tokyo, 135-8622",Construction,$821.6M,Nomura Co Ltd,"1,952",www.nomurakougei.co.jp
10,"No. 7, Jalan Tasik, Mines Resort City, Seri Kembangan, 43300",Energy and Utilities,$184.7M,Sapura Energy Bhd,"3,440",www.sapuraenergy.com
11,"Bruggesteenweg 360, Gits, Hooglede, 8830",Construction,$387.8M,DeceunInck NV,"3,709",www.deceuninck.com
12,"Hott, Tietotie 9, Vantaa, 01530",Transport and Logistics,$768.6M,Finnair Oyj,"5,358",company.finnair.com
13,"Peninsula Business Park, Tower-B, 2nd & 3rd Floor, G.K.Marg, Mumbai, 400013",Consumer Packaged Goods,$909.4M,Alok Industries Ltd,"26,231",www.alokind.com
14,"Linhai Economic Development Zone, Taizhou, Zhejiang, 317000",Construction,$5.4B,Zhejiang Weixing New Building Materials Co Ltd,"4,419",www.vasen.com
15,"Avenida Dos Estados Unidos Da America, 55, Lisboa, 1749-061",Power,$1.8B,Redes Energeticas Nacionais SA,697,www.ren.pt
16,"41280 Bridge Street, 1000 Reynolds Rd, Novi, Michigan, 48375",Automotive,$1.0B,The Shyft Group Inc,"3,800",theshyftgroup.com
17,"280 Park Ave Fl 16th, New York, 10017-1206",Financial Services,$3.1B,PJT Partners Inc,833,pjtpartners.com
18,"Al Shoumoukh Towers, C Ring Road, Al-Sadd, P.O. Box 22271, Doha",Energy and Utilities,$5.8B,Qatar Gas Transport Co Ltd,12,www.nakilat.com
19,"Gedung World Trade Center Ii, Jl. Jend. Sudirman Kav. 29-31, Jakarta Selatan, 12920",Financial Services,$2.4B,PT Bank Permata Tbk,"7,168",www.permatabank.com
