,company_founded,company_location,company_industry,company_name,company_employees,company_website
0,['July 2017'],[],['cryptocurrency industry\xa0'],Binance,[],"['www', '.binance', '.com']"
1,['2004'],"['Taipei', 'Taiwan']",['Food and Beverage'],Gourmet Master Co. Ltd,[],"['www.85cafe.com', '[1]', 'www.85cbakerycafe.com']"
2,['1968'],"['Mumbai', 'Maharashtra']","['Information technology', 'Consulting', 'Outsourcing']",Tata Consultancy Services,"['616,171', '[3]', '\xa0(October 2022)']","['www', '.tcs', '.com']"
3,['2000'],"['Oklahoma City, Oklahoma', 'United States']",['precious metals'],"APMEX, Inc.",[],['www.apmex.com']
4,['2013'],"['Beijing, China']",['Cryptocurrency'],Bitmain Technologies Ltd.,[],"['bitmain', '.com']"
5,[],"['Palo Alto, CA']",[],"BitGo, Inc.",[],[]
6,"['New Brunswick, New Jersey']","['New Brunswick, New Jersey', 'U.S.']","['Pharmaceutical', 'Medical Technology', 'Consumer Healthcare']",Johnson & Johnson,"[' 144,500 ', '(2021)', '[5]']",['jnj.com']
7,"['April\xa04, 1975', ' in ']","['One Microsoft Way', 'Redmond, Washington']",['Information technology'],Microsoft Corporation,"['221,000 (2022)']",['microsoft.com']
8,['2012'],[],[],"Bitfinex, Inc.",[],[]
9,"['July\xa02, 1962', ' in ', 'October\xa031, 1969', ' in ', ' (incorporation)']","['Bentonville, Arkansas']",['Retail'],Walmart Inc.,"['2,300,000 (Jan. 2022)', '[5]']",['walmart.com']
10,[],['Saint Kitts and Nevis'],['Cryptocurrency'],Bitcoin.com,[],[]
11,['Dublin'],"['Northern Cross, Malahide Road, Dublin, Ireland']",['Beverages'],Bewley's Limited,[],"['www', '.bewleys', '.com', '/ie', '/']"
12,['1981'],"['Ottawa', 'Ontario']","['Coffee, Coffee Roaster, Coffee Beans']",Bridgehead,[],"['www', '.bridgehead', '.ca']"
13,['2002'],"['Oakland', 'California', 'U.S.']",['Coffee industry'],"Blue Bottle Coffee, Inc.",[],['bluebottlecoffee.com']
14,['Israel'],[],[],Aroma Espresso Bar Ltd.,[],"['Aroma Israel', 'Aroma Canada', 'Aroma US']"
15,['1930'],['Neckarsulm'],['Retail'],Schwarz Group,"['500,000 (FY 2020/21)']",['https://gruppe.schwarz/en']
16,['6\xa0June 2009'],['Beijing'],"['E-commerce', 'Artificial intelligence', 'Robotics', 'Autonomous car']","JD.com, Inc. (äº¬ä¸)","['310,000 (Dec 2020)', '[1]']","['www', '.joybuy', '.com']"
17,"['10\xa0July 1946', '(split in two parts in 1960, renamed to Aldi Nord and Aldi SÃ¼d in 1962)']","['Essen', 'MÃ¼lheim']",['Retail'],Aldi,[],"['aldi', '.com']"
18,"['December\xa031, 2014']","['Deerfield, Illinois']","['Retail', 'pharmaceuticals']","Walgreens Boots Alliance, Inc.","['c.', '\u2009325,000', '\xa0(August 2022)']","['walgreensbootsalliance', '.com']"
19,"['Marietta, Georgia']","['Atlanta, Georgia']",['Retailing'],"The Home Depot, Inc.","['490,600 (Dec 2021)']",['homedepot.com']
20,"['Toronto', 'Ontario']",['Brampton'],['Retail'],Loblaw Companies Limited,"['almost 200,000 (2019)', '[3]']","['www', '.loblaw', '.ca']"
21,"['June\xa024, 1902', ' (corporation)', 'January\xa05, 1962', ' (store)']","['1000 ', ', U.S.']",['Retail'],Target Corporation,"['409,000 (2020)', '[2]']","['target.com', 'corporate.target.com']"
22,['3\xa0June 1987'],['Paris'],['Luxury goods'],LVMH MoÃ«t Hennessy Louis Vuitton SE,"['150,000 (2021)', '[2]']",['lvmh.com']
23,['22\xa0September 1924'],"['Bella Vista, New South Wales']",['Retailing'],Woolworths Group Limited,"[' 215,000 (2020)']",['www.woolworthsgroup.com.au']
24,"['October\xa01939', ' (as J.L. Turner and Son)', 'June\xa01955', ' (as Dollar General)']","['Goodlettsville, Tennessee']",['Discount retailer'],Dollar General Corporation,"['158,000 (2022)']","['www', '.dollargeneral', '.com']"
25,"['Seattle, Washington']","['Issaquah, Washington']",['Retail'],Costco Wholesale Corporation,"[' 304,000', '[1]', '\xa0(2022)']",[' ']
26,"['28\xa0July 1943', ' in Sweden']",['Delft'],['Retail'],Inter IKEA Systems B.V.,[],[' (retail)']
27,['1898'],"['Saint-Ãtienne', 'France']",['Mass Retail'],Casino Guichard-Perrachon S.A.,"[' 196,307 employees worldwide ', '(2021)', '[1]']","['www', '.groupe-casino', '.fr']"
28,['Roubaix'],"['Croix', 'Lille MÃ©tropole']",['Retail'],Auchan Retail International S.A.,"['179,590 (2020)', '[1]']",['auchan-retail.com']
29,"['1990 (predecessor)', '15\xa0May\xa01996', ' (date of incorporation of Suning Domestic Appliance)']",['Nanjing'],['Retail'],Suning.com,"['69,398', '[2]', ' (2 August 2021)']",['suning.cn']
