,company_country,company_name,company_industry
0,finland,swappie,technology
1,lithuania,kilo health,health
2,uk,oci,financial services
3,uk,onlyfans,technology
4,germany,enpal,energy
5,germany,mr consulting,waste management & recycling
6,uk,thriva,health
7,france,exotec,industrial goods
8,italy,winelivery,ecommerce
9,sweden,instabox,technology
10,austria,waterdrop,food & beverage
11,france,one lease,support services
12,italy,datlas*,technology
13,uk,zego,fintech
14,germany,hcl-logistics,transport
15,uk,popsa,technology
16,switzerland,unit8,technology
17,finland,luoto company,technology
18,austria,journi print,ecommerce
19,france,portify,support services
20,norway,tibber,energy
21,poland,rascal industry,fashion
22,italy,pegaso security,support services
23,uk,tide,fintech
24,italy,euro top brand,retail
25,uk,bold security group,support services
26,norway,play magnus group,games industry
27,uk,blue whale growth fund,financial services
28,belgium,kazidomi,ecommerce
29,latvia,sun finance,fintech
30,italy,credimi,financial services
31,germany,sirplus,retail
32,the netherlands,aihr | academy to innovate hr,education
33,luxembourg,logistics capital partners (lcp),property
34,germany,sÃ¼dwest invest,property
35,france,corade (plurimmo),property
36,spain,carranco,food & beverage
37,poland,telemedi,health
38,germany,inkitt,technology
39,italy,h.k.trading,retail
40,uk,attest,technology
41,france,lgm immobilier,property
42,the netherlands,wolfram chain*,management consulting
43,germany,rightnow,technology
44,uk,eo charging,technology
45,italy,chetariffa.it,support services
46,uk,simply,financial services
47,uk,salary finance,fintech
48,sweden,dbt,fintech
49,poland,tutlo,education
50,france,ponera,ecommerce
51,greece,active energy solutions,energy
52,france,acteam enr,energy
53,uk,everflow,technology
54,uk,azure prism,retail
55,germany,wr logistics,transport
56,uk,iproov,technology
57,italy,spin up,advertising
58,germany,begreat,retail
59,italy,tsunami nutrition*,ecommerce
60,the netherlands,matt sleeps,interiors
61,uk,tessian,technology
62,germany,solarisbank,financial services
63,france,m2dg (myflexoffice),support services
64,italy,eukon,health
65,italy,evolution adv,advertising
66,spain,making science,technology
67,italy,everli,ecommerce
68,finland,appfollow,technology
69,poland,synerise,technology
70,poland,chaikola,food & beverage
71,germany,scolution,technology
72,france,jl&p,energy
73,italy,efarma.com,pharmaceuticals
74,uk,elvie,technology
75,italy,farmarelax,personal & household goods
76,uk,omnisend,technology
77,italy,world trade group,fashion
78,france,besteam conseil,technology
79,uk,motorway,automobiles
80,germany,iso public services,technology
81,uk,octopus energy,energy
82,uk,cyberiam*,cyber security
83,italy,cbweed*,personal & household goods
84,portugal,catraport,automobiles
85,france,ouihelp,support services
86,denmark,inpay,fintech
87,italy,m.g.i. meccaniche generali irpine,industrial goods
88,uk,glencar construction,construction
89,uk,qmee,technology
90,italy,myappfree,advertising
91,germany,investa dienstleistungen,support services
92,sweden,polarium energy solutions,batteries
93,italy,baroni home,ecommerce
94,uk,dayshape,technology
95,italy,marketers company,advertising
96,spain,easo magno,beauty
97,germany,greyfood,retail
98,uk,misfits health,food & beverage
99,france,meilleursbiens.com,property
100,uk,fasanara capital,financial services
101,cyprus,ntechlab,technology
102,italy,babylino sensitive,personal & household goods
103,the netherlands,fastned,technology
104,portugal,oxray,health
105,germany,zega invest,property
106,hungary,abylon consulting,technology
107,norway,milrab,ecommerce
108,belgium,urbantz,technology
109,uk,tricas construction,construction
110,italy,florence one,technology
111,germany,ergotopia,retail
112,hungary,mcule.com kft.,chemicals & pharmaceuticals
113,italy,filo,technology
114,italy,homepal,property
115,germany,staffbase,technology
116,france,ilon materiel,construction
117,ireland,bio-marine,personal & household goods
118,france,isodeco,construction
119,italy,treedom,support services
120,germany,fenstermaxx24,retail
121,germany,pohl & sÃ¶hne gerÃ¼stbau,construction
122,france,yso corp,media
123,italy,gyada cosmetics,beauty
124,uk,privitar,technology
125,uk,delineate,technology
126,poland,spyrosoft,technology
127,slovakia,bio energy solutions,waste management & recycling
128,italy,increso,management consulting
129,italy,lsg - logistic & service group,transport
130,sweden,energihem,construction
131,uk,amity,technology
132,germany,goyago,retail
133,france,la regie de portage salarial,support services
134,denmark,dall energy,energy
135,germany,appinio,technology
136,italy,pinsami,food & beverage
137,france,aer trading,retail
138,france,valumen,support services
139,france,follow,advertising
140,germany,darpdecade,retail
141,estonia,bolt,technology
142,italy,kiteworldshop.com,ecommerce
143,germany,peter kenkel,retail
144,denmark,templafy,technology
145,italy,comservice,support services
146,italy,falcor presse,industrial goods
147,the netherlands,roomraccoon,technology
148,spain,signaturit,technology
149,uk,modulr,fintech
150,germany,profishop,ecommerce
151,the netherlands,floer,interiors
152,italy,audiosalus,retail
153,uk,statsbomb,technology
154,italy,theras biocare,pharmaceuticals
155,uk,stenn,fintech
156,hungary,nanushka,fashion
157,germany,dpm - deutsches personal management,support services
158,uk,monese,fintech
159,spain,arquimea,technology
160,france,groupe perspective,education
161,sweden,funnel,technology
162,germany,living quarter,health
163,sweden,svea solar,energy
164,ireland,bevcraft group,food & beverage
165,uk,learning technologies group,technology
166,italy,cura farma,health
167,lithuania,kamado bono,personal & household goods
168,spain,sipadan,management consulting
169,czech republic,dateio,fintech
170,germany,crest investment,property
171,italy,componenti digitali,retail
172,germany,immo-konzepte,property
173,denmark,swipbox,technology
174,sweden,nextory,media
175,poland,itds polska,technology
176,italy,savait,ecommerce
177,spain,adpone,advertising
178,lithuania,nord security,cyber security
179,the netherlands,mews,technology
180,spain,titulae,education
181,ireland,systeme.io,ecommerce
182,greece,eodh sa,aerospace & defence
183,italy,multix solutions,health
184,france,b2digit,technology
185,uk,a million ads,advertising
186,the netherlands,woodwatch,retail
187,france,fenÃªtres du doubs,construction
188,germany,koesea,construction
189,italy,podium advanced technologies,automobiles
190,croatia,spegra,construction
191,spain,gpainnova,industrial goods
192,italy,soluzione tasse,management consulting
193,germany,velocultour,retail
194,hungary,butorpiac.hu,ecommerce
195,czech republic,success solutions,technology
196,denmark,bug bite thing europe,health
197,estonia,dexatel,technology
198,italy,gemco,construction
199,france,lyonnaise de construction et renovation,construction
200,uk,gousto,food & beverage
