,company_ceo,company_country,company_name,company_industry
0,Bernard Arnault,france,lvmh,fashion and luxury goods
1,Ulf Mark Schneider,switzerland,nestle ag,consumer defensive
2,Severin Schwan,switzerland,roche holding ag,healthcare
3,Peter Wennink,netherlands,asml holding,technology
4,Bob van Dijk,netherlands,prosus,communication services
5,Jean Paul Agon,france,l'oreal,consumer defensive
6,Julie Sweet,ireland,accenture,technology
7,Lars Fruergaard Jorgensen,denmark,novo nordisk a/s,healthcare
8,Vasant Narasimhan,switzerland,novartis ag,healthcare
9,Ben van Beurden,netherlands,royal dutch shell,energy
10,Pascal Soriot,uk,astrazeneca,healthcare
11,Axel Dumas,france,hermes international,consumer cyclical
12,Sanjiv Lamba,uk,linde ag,basic materials
13,Christian Klein,germany,sap se,technology
14,Pietro Beccari,france,christian dior,consumer cyclical
15,Geoffrey S. Martha,ireland,medtronic,healthcare
16,Roland Busch,germany,siemens,industries
17,Patrick Pouyanne,france,totalenergies se,energy
18,Alan Jope,netherlands,unilever group,consumer defensive
19,Herbert Diess,germany,volkswagen,consumer cyclical
20,Noel Quinn,uk,hsbc holdings,financial services
21,Paul Hudson,france,sanofi,healthcare
22,Ivan Menezes,uk,diageo,consumer defensive
23,Jakob Stausholm,uk,rio tinto group,basic materials
24,Dame Emma Walmsley,uk,glaxosmithkline,healthcare
25,Michel Doukeris,belgium,anheuser-busch inbev,consumer defensive
26,Alexey Miller,russia,gazprom,energy
27,Jean-Pascal Tricoire,france,schneider electric,power equipment
28,Guillaume Faury,netherlands,airbus,industries
29,Oliver Bate,germany,allianz se,financial services
30,Belen Garijo,germany,merck kgaa o.n.,healthcare
31,Francois-Henri Pinault,france,kering,consumer cyclical
32,Pablo Isla,spain,inditex (industria de diseno textil),consumer cyclical
33,Bernard Looney,uk,bp p.l.c.,energy
34,Timotheus Hottges,germany,deutsche telekom ag,communication services
35,Jean-Laurent Bonnafe,france,bnp paribas,financial services
36,Anders Opedal,norway,equinor asa,energy
37,Jack Bowles,uk,british american tobacco,consumer defensive
38,Ola Kallenius,germany,mercedec benz group ag,consumer cyclical
39,Francesco Milleri,france,essilor luxottica,healthcare
40,Evan G. Greenberg,switzerland,chubb,financial services
41,Nick Hayek Jr.,switzerland,swatch group ag,consumer cyclical
42,Jerome Lambert,switzerland,compagnie financiere richemont sa,consumer cyclical
43,Francois Jackow,france,air liquide,basic materials
44,Herman Gref,russia,sberbank of russia,financial services
45,Bernd Montag,germany,siemens healthineers ag,healthcare
46,Francesco Starace,italy,enel,utilities
47,Frank Appel,germany,deutsche post ag,industries
48,Mats Rahmstrom,sweden,atlas copco ab,industries
49,Johan Forssell,sweden,investor ab (publ),financial services
50,Bjorn Rosengren,switzerland,abb,industries
51,Igor Sechin,russia,rosneft oil company,energy
52,Pieter van der,netherlands,adyen,technology
53,Thomas Buberl,france,axa,financial services
54,Jose Ignacio Sanchez Galan,spain,iberdrola,utilities
55,Bernard Charles,france,dassault systemes,technology
56,Gary Nagle,switzerland,glencore,basic materials
57,,germany,bayerische motoren werke (bmw),consumer cyclical
58,Leonid Viktorovich Mikhelson,russia,novatek,energy
59,,germany,basf se,basic materials
60,Soren Skou,denmark,a.p. moller - maersk a/s,industries
61,Mario Greco,switzerland,zurich insurance group ag,financial services
62,Craig Arnold,ireland,eaton corporation,industries
63,Ralph Hamers,switzerland,ubs group ag,financial services
64,Carlos Tavares,netherlands,stellantis n.v,automobile
65,BENEDETTO VIGNA,italy,ferrari,consumer cyclical
66,Laxman Narasimhan,uk,reckitt benckiser group,consumer defensive
67,Jose Antonio Alvarez,spain,banco santander,financial services
68,Martin Lundstedt,sweden,ab volvo,industries
69,Xavier Huillard,france,vinci,industries
70,Alexandre Ricard,france,pernod ricard,consumer defensive
71,DUNCAN WANBLAD,uk,anglo american,basic materials
72,Reinhard Ploss,germany,infineon technologies ag,technology
73,Vagit Alekperov,russia,pjsc lukoil,energy
74,Kurt Sievers,netherlands,nxp semiconductors,technology
75,Erik Engstrom,uk,relx,communication services
76,Pierre-Alain Ruffieux,switzerland,lonza group,healthcare
77,Steven van Rijswijk,netherlands,ing group,financial services
78,Rolf Habben Jansen,germany,hapag-lloyd,industries
79,Michael Strugl,austria,verbund ag,utilities
80,Paul Schuler,switzerland,sika ag,basic materials
81,,russia,open joint stock company omz,industries
82,Kasper Rorsted,germany,adidas,consumer cyclical
83,Werner Baumann,germany,bayer,healthcare
84,Olivier Andries,france,safran,industries
85,Carlo Messina,italy,intesa sanpaolo,financial services
86,David Schwimmer,uk,london stock exchange group,financial services
87,Jens Bjorn Andersen,denmark,dsv panalpina,industries
88,John Pettigrew,uk,national grid transco,utilities
89,Terrence Curtin,switzerland,te connectivity,technology
90,Claudio Descalzi,italy,eni s.p.a.,energy
91,,germany,biontech se,healthcare
92,Charlie Nunn,uk,lloyds banking group,financial services
93,Lance Uggla,uk,ihs markit,industries
94,Frank Vang-Jensen,finland,nordea bank abp,financial services
95,Charles F. Lowrey,uk,prudential,financial services
96,Christian Sinding,sweden,eqt ab (publ),financial services
97,,uk,f&c investment trust,investments
98,C. S. Venkatakrishnan,uk,barclays plc,financial services
99,Simon A Borrows,uk,3i group,financial services
100,Vladimir Potanin,russia,mmc norilsk nickel,basic materials
101,Mads Nipper,denmark,orsted a/s,utilities
102,Philippe Brassac,france,credit agricole,financial services
103,Gilles Andrier,switzerland,givaudan sa,basic materials
104,Kevin P. Clark,ireland,aptiv,consumer cyclical
105,Jean-Marc Chery,switzerland,stmicroelectronics,technology
106,,ireland,trane technologies plc,industry machinery
107,Joachim Wenning,germany,munchener ruckversicherungs-gesellschaft,financial services
108,Nick Read,uk,vodafone group,communication services
109,Daniel Ek,sweden,spotify technology,communication services
110,Brian Cassin,ireland,experian,industries
111,Rolf Eberhard Buch,germany,vonovia se,real estate
112,Onur Genc,spain,banco bilbao vizcaya argentaria,financial services
113,Dominic Blakemore,uk,compass group,consumer cyclical
114,Albert Manifold,ireland,crh plc,basic materials
115,Veronique Penchienati Bosetta,switzerland,danone,consumer defensive
116,Ola Rollen,sweden,hexagon ab (publ),technology
117,David Layton,switzerland,partners group holding ag,financial services
118,David J. Endicott,switzerland,alcon,healthcare
119,Peter Vanacker,finland,neste oyj,energy
120,Aiman Ezzat,france,capgemini se,technology
121,Joachim Kreuzburg,germany,sartorius stedim biotech,healthcare
122,Benoit Bazin,france,compagnie de saint-gobain,ceramic products
123,Kevin Murphy,uk,ferguson,industries
124,Dr. Detlef Trefzger,switzerland,kuehne + nagel international ag,industries
125,Johan Thijs,belgium,kbc group nv,financial services
126,Alison Rose,uk,natwest group,banking services
127,Borje Ekholm,sweden,ericsson,technology
128,Dimitri de Vreeze,netherlands,dsm,basic materials
129,Jean-Bernard Levy,france,edf (electricite de france),utilities
130,Henrik Ehrnrooth,finland,kone oyj,industries
131,Brendan Horgan,uk,ashtead group,industries
132,Kjerstin Braathen,norway,dnb asa,financial services
133,Catherine MacGregor,france,engie,utilities
134,Carsten Knobel,germany,henkel ag,consumer defensive
135,Andrea Orcel,italy,unicredit,financial services
136,Pekka Lundmark,finland,nokia corporation,technology
137,Stefan Widing,sweden,sandvik ab,industries
138,Frans Muller,netherlands,ahold delhaize,consumer defensive
139,Leonhard Birnbaum,germany,e.on se,utilities
140,Kristian Villumsen,denmark,coloplast a/s,healthcare
141,Tobias Martinez Gimeno,spain,cellnex telecom,communication services
142,Nico Delvaux,sweden,assa abloy ab (publ),industries
143,Frans van Houten,netherlands,philips,healthcare
144,Philippe Donnet,italy,assicurazioni generali,financial services
145,Bhavesh V. Patel,netherlands,lyondellbasell industries,basic materials
146,,germany,software aktiengesellschaft,technology
147,Jan Jenisch,switzerland,holcim ltd,basic materials
148,Helena Helmersson,sweden,h & m hennes & mauritz ab,consumer cyclical
149,Luis Maroto,spain,amadeus it group,technology
150,Lakshmi Mittal,luxembourg,arcelormittal,basic materials
151,Guillaume Daniellot,switzerland,straumann holding ag,healthcare
152,Hans Dieter Potsch,germany,porsche automobil holding se,consumer cyclical
153,,france,societe generale,financial services
154,Francisco Miguel Reynes Massanet,spain,naturgy energy group,utilities
155,Florent Menegaux,france,michelin,consumer cyclical
156,Benoit Coquart,france,legrand sa,industries
157,Dieter Weisskopf,switzerland,chocoladefabriken lindt & sprungli ag,consumer defensive
158,Johan Torgeby,sweden,skandinaviska enskilda banken ab (publ.),financial services
159,Theodor Weimer,germany,deutsche borse,financial services
160,Ken Murphy,uk,tesco,consumer defensive
161,Gerteric Lindquist,sweden,nibe industrier ab (publ),industries
162,Christian Mumenthaler,switzerland,swiss re,financial services
163,Christian Sewing,germany,deutsche bank,financial services
164,Helena Hedblom,sweden,epiroc ab (publ),industries
165,Urs Schaeppi,switzerland,swisscom ag,communication services
166,Carl Hess,uk,willis towers watson public company,financial services
167,Christian Buhl,switzerland,geberit ag,industries
168,Nancy McKinstry,netherlands,wolters kluwer,communication services
169,Stephane Richard,france,orange s.a,communication services
170,Henrik Andersen,denmark,vestas wind systems a/s,industries
171,Thomas Oetterli,switzerland,schindler holding ag,industries
172,Martin Carlesund,sweden,evolution gaming group ab (publ),consumer cyclical
173,Torbjorn Magnusson,finland,sampo oyj,financial services
174,Edmond Scanlon,ireland,kerry group,consumer defensive
175,Stephan Sturm,germany,fresenius se,healthcare
176,Peter Jackson,ireland,flutter entertainment,consumer cyclical
177,Dolf van den Brink,netherlands,heineken holding,consumer defensive
178,Markus Krebber,germany,rwe,utilities
179,Damian Paul Gammell,uk,coca-cola europacific partners plc,consumer defensive
180,Michael O'Leary,ireland,ryanair holdings,industries
181,Markus Rauramo,finland,fortum oyj,utilities
182,Daniel Julien,france,teleperformance se,industries
183,Magdalena Martullo-Blocher,switzerland,ems-chemie holding ag,basic materials
184,Antoine Frerot,france,veolia environnement,industries
185,Jose Maria Alvarez-Pallete Lopez,spain,telefonica sa,communication services
186,,ireland,kingspan group,industries
187,Nigel Wilson,uk,legal & general group,financial services
188,Maurici Lucena Betriu,spain,aena s.m.e,industries
189,Cees 't Hart,denmark,carlsberg a/s,consumer defensive
190,Thomas Gottstein,switzerland,credit suisse group,financial services
191,Niklas Oestberg,germany,delivery hero se,online food delivery
192,Frankie Ng,switzerland,sgs sa,industries
193,Vicente Reynal,ireland,ingersoll-rand (ireland),industries
194,Johan Hjertonsson,sweden,investment ab latour (publ),financial services
195,Gonzalo Gortazar Rotaeche,spain,caixabank,financial services
196,,uk,bae systems,industries
197,Philip Jansen,uk,bt group,communication services
198,Jan G. J. van de Winkel,denmark,genmab a/s,healthcare
199,,germany,hannover ruck se,financial services
200,Alistair Phillips-Davies,uk,sse plc,utilities
201,,uk,scottish mortgage investment trust,financial services
202,Dan Carestio,ireland,steris,healthcare
203,Jose D. Bogas Galvez,spain,endesa,utilities
204,Frank Mastiaux,germany,enbw energie baden-wurttemberg ag,utilities
205,Vincent Warnery,germany,beiersdorf,consumer defensive
206,Arnd Kaldowski,switzerland,sonova holding ag,healthcare
207,Jens Henriksson,sweden,swedbank ab (publ),financial services
208,Magnus Groth,sweden,essity ab (publ),consumer defensive
209,Steve Cutler,ireland,icon public company,healthcare
210,Timothy P Walbert,ireland,horizon therapeutics public company,healthcare
211,Amanda Blanc,uk,aviva,financial services
212,Carina Akerstrom,sweden,svenska handelsbanken ab (publ),financial services
213,George G. Weston,uk,associated british foods,consumer defensive
214,,germany,continental ag,consumer cyclical
215,Pavel Sergeevich Grachev,russia,pjsc polyus,basic materials
216,Sigve Brekke,norway,telenor asa,communication services
217,,uk,segro,real estate
218,Ignacio Madridejos Fernandez,spain,ferrovial,industries
219,Ester Baiget,denmark,novozymes a/s,healthcare
220,Scott W. Wine,uk,cnh industrial,industries
221,Gilles G. Martin,luxembourg,eurofins scientific se,healthcare
222,,spain,edp renovaveis,utilities
223,Stefan Bomhard,uk,imperial brands,consumer defensive
224,Jussi Pesonen,finland,upm-kymmene oyj,basic materials
225,Paolo Bertoluzzo,italy,nexi,technology
226,Thierry Vanlancker,netherlands,akzo nobel,basic materials
227,Jean-Christophe Tellier,belgium,ucb sa,healthcare
228,Oliver Hughes,russia,tcs group holding,financial services
229,Joao Manuel Brito Martins,portugal,edp - energias de portugal,utilities
230,Bill Winters,uk,standard chartered,financial services
231,John Elkann,netherlands,exor,financial services
232,Alfred Stern,austria,omv group,energy
233,Daniel Benes,czech republic,cez a. s,utilities
234,Bernhard Spalt,austria,erste group bank ag,financial services
235,Patrick Frost,switzerland,swiss life holding ag,financial services
236,Heinz-Juergen Bertram,germany,symrise ag,basic materials
237,Benjamin Loh,netherlands,asm international nv,technology
238,Arkady Volozh,russia,yandex,communication services
239,Marco Alvera,italy,snam,utilities
240,David Schneider,germany,zalando se,consumer cyclical
241,Rice Powell,germany,fresenius medical care ag & co. kgaa,healthcare
