,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
0,Tim Cook,USA,1976,"['Technology', 'Mobiles & Accessories', 'Electronics', 'Consumer Electronics', 'Computers Hardware', 'Software and IT', 'Music', 'Tablets', 'Technology Hardware and Instruments', 'Retail', 'Artificial Intelligence', 'Laptops', 'Software Products']",APPLE,1
1,Mark Liu,Taiwan,1987,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Processors / Chips']",TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),10
2,Satya Nadella,USA,1975,"['Technology', 'Software and IT', 'Laptops', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Gaming', 'Internet or Mobile App Based Business', 'Computers Hardware', 'Tablets', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Media', 'Electronics', 'Consumer Electronics', 'Advertising']",MICROSOFT CORPORATION,2
3,Jensen Huang,USA,1993,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Computers Hardware', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Artificial Intelligence']",NVIDIA CORPORATION,9
4,Andy Jassy,USA,1994,"['eCommerce', 'Internet or Mobile App Based Business', 'Cloud Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Consulting Services', 'Consumer Services', 'Software Products', 'Retail']",AMAZON.COM,5
5,H.E. Yasir Othman Al-Rumayyan,Saudi Arabia,1933,"['Energy', 'Oil and Gas', 'Chemicals', 'Oil Refining', 'Oil and Gas Pipeline Transport', 'Integrated Oil and Gas Companies']",SAUDI ARABIAN OIL COMPANY (Saudi Aramco),3
6,Warren Buffett,USA,1839,"['Financial Services', 'Investments', 'Insurance']",BERKSHIRE HATHAWAY,8
7,John L. Hennessy,USA,2015,"['Technology', 'Internet or Mobile App Based Business', 'Software and IT', 'Software Products', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Advertising', 'Media']",ALPHABET,4
8,Elon Musk,USA,2003,"['Electric Vehicles', 'Cars', 'Automobile', 'Solar Power Devices', 'Capital Goods', 'Power Equipment', 'Technology', 'Passenger Vehicles', 'Batteries', 'Electric Vehicle Charging Station']",TESLA,6
9,Mark Zuckerberg,USA,2004,"['Communication Services', 'Internet or Mobile App Based Business', 'Social Media', 'Artificial Intelligence', 'Internet of Things', 'Advertising', 'Technology', 'Media', 'Software and IT', 'Software Products']",META PLATFORMS,7
10,Lee Kun-hee,South Korea,1969,"['Technology', 'Electronics', 'Semiconductors', 'Mobiles & Accessories', 'Cameras & Accessories', 'Tablets', 'Home Appliances', 'Refrigerators', 'Air Conditioners', 'Washing Machines', ""TV's"", 'Consumer Electronics']",SAMSUNG ELECTRONICS,15
11,Doug McMillon,USA,1962,"['Retail', 'Super Markets', 'eCommerce', 'Hypermarkets', 'Consumer Services']",WALMART,20
12,Frank Blake,USA,1978,"['Retail', 'eCommerce', 'Construction Materials', 'Consumer Services']",HOME DEPOT,17
13,Bernard Arnault,France,1987,"['Fashion and Luxury Goods', 'Non-Alcoholic Beverages', 'Clothing', 'Jewellery', 'Watches', 'FMCG', 'Luxury Goods', 'Consumer Goods', 'Beverages']",LVMH,18
