,company_ceo,company_name,company_employees
0,Tim Cook,Apple,"154,000"
1,C. C. Wei,Taiwan Semiconductor Manufacturing Company (tsmc),"65,152"
2,Jensen Huang,Nvidia Corporation,"18,975"
3,Warren Buffett,Berkshire Hathaway,"372,000"
4,Mark Zuckerberg,Meta Platforms,"77,805"
5,Elon Musk,Tesla,"99,290"
6,Andy Jassy,Amazon.com,"1,335,000"
7,Sundar Pichai,Alphabet,"156,500"
8,Amin H. Al-Nasser,Saudi Arabian Oil Company (saudi Aramco),"79,800"
9,Satya Nadella,Microsoft Corporation,"220,000"
10,Doug McMillon,Walmart,"2,300,000"
11,Brian Moynihan,Bank Of America Corporation,"208,000"
12,Bernard Arnault,Lvmh,"150,000"
13,Craig Menear,Home Depot,"500,000"
14,Andrew Witty,Unitedhealth Group,"350,000"
15,"['Kim Hyun Suk', 'Koh Dong-Jin', 'Kim Ki Nam']",Samsung Electronics,"113,753"
16,Joaquin Duato,Johnson & Johnson,"141,700"
17,Alfred F Kelly Jr,Visa,"21,500"
18,Jamie Dimon,J P Morgan Chase & Co,"271,025"
19,Ma Huateng,Tencent,"112,771"
20,Jon R. Moeller,Procter & Gamble Company,"101,000"
21,Bob Chapek,The Walt Disney Company,"190,000"
22,Darren Woods,Exxon Mobil Corporation,"64,000"
23,Peter Wennink,Asml Holding,"28,000"
24,Albert Bourla,Pfizer,"78,500"
25,Daniel Zhang,Alibaba Group Holding,"251,462"
26,Severin Schwan,Roche Holding Ag,"100,920"
27,Michael Miebach,Mastercard,"24,000"
28,Ulf Mark Schneider,Nestle Ag,"276,000"
29,Li Bao Fang,Kweichow Moutai,"29,031"
30,Shantanu Narayen,Adobe,"25,988"
31,David A. Ricks,Eli Lilly And Company,"35,000"
32,John Donahoe,Nike,"73,300"
33,Jean Paul Agon,L'oreal,"85,392"
34,Nicolas Jimenez,Icbc,"434,798"
35,Bob van Dijk,Prosus,"23,874"
36,Hock E. Tan,Broadcom,"20,000"
37,Chuck Robbins,Cisco Systems,"79,500"
38,James Quincey,Coca-cola Company,"80,300"
39,Akio Toyoda,Toyota Motor Corporation,"366,283"
40,Safra A. Catz,Oracle Corporation,"132,000"
41,Julie Sweet,Accenture,"699,000"
42,W. Craig Jelinek,Costco Wholesale Corporation,"288,000"
