,company_name,company_location,company_country
0,"CNHI, LLC",445 DEXTER AVE,UNITED STATES
1,CRAIG & ROSE LIMITED,7th Floor Suite 1 50 Broadway,UNITED KINGDOM
2,SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,VIA DELLA DATARIA 96,ITALY
3,BIH REAL ESTATE OU,Narva mnt 6-44,ESTONIA
4,"DEVELOPMENTAL SERVICES, CALIFORNIA DEPARTMENT OF",1215 O ST,UNITED STATES
5,QIOPTIQ PHOTONICS LIMITED,"Mitchell Point Ensign Way, Hamble",UNITED KINGDOM
6,CRISTINA SRL,VIA FAVA 56,ITALY
7,RECTICEL OU,Peterburi tee 48a,ESTONIA
8,"LAIRD TECHNOLOGIES, INC.",16401 SWINGLEY RIDGE RD STE 700,UNITED STATES
9,DESIGNERS GUILD LIMITED,3 Latimer Place,UNITED KINGDOM
10,BANCA PICCOLO CREDITO VALTELLINESE SPA,PIAZZA QUADRIVIO 8,ITALY
11,SEB PANK AS,2 Tornimae tn 2,ESTONIA
12,"UNIVERSAL MUSIC GROUP DISTRIBUTION, CORP.",2220 COLORADO AVE,UNITED STATES
13,NATIONAL GRID GRAIN LNG LIMITED,Isle Of Grain Road Isle Of Grain,UNITED KINGDOM
14,IVECO GROUP N.V.,VIA PUGLIA 35,ITALY
15,TBB PANK AS,Vana-Viru tn 7,ESTONIA
16,"UNIVERSAL MUSIC GROUP, INC.",2220 COLORADO AVE,UNITED STATES
17,LACTALIS MCLELLAND LIMITED,RED CENTRAL 60 HIGH STREET,UNITED KINGDOM
18,DALMATA SPA,VIA DELLE NAZIONI UNITE 4,ITALY
19,SIMPES GRUPP OU,Veski poik 3,ESTONIA
20,"UNIVERSAL MUSIC INVESTMENTS, INC.",2220 COLORADO AVE,UNITED STATES
21,LACTALIS (UK) LIMITED,Redcentral 60 High Street,UNITED KINGDOM
22,INTESA SANPAOLO ASSICURA SPA,CORSO INGHILTERRA 3,ITALY
23,SWEDBANK SUPPORT OU,Liivalaia tn 8,ESTONIA
24,"INTERNATIONAL SOURCING COMPANY, INC.",4025 VISCOUNT AVE,UNITED STATES
25,RONLY LIMITED,201 Haverstock Hill,UNITED KINGDOM
