,company_name
0,\n                                        Janis Jegi\n                                
1,\n                                        Kaire Jegi\n                                
2,\n                                        Siim Tiigim\xc3\xa4gi\n                                
3,\n                                        Dominik Gronkiewicz\n                                
4,\n                                        Arti Haidak\n                                
5,\n                                        Rainis Luik\n                                
6,\n                                        Kaido Kaabel\n                                
7,\n                                        Marek Kaabel\n                                
8,\n                                        Arvi Kaabel\n                                
9,\n                                        Kaido Kaabel\n                                
10,\n                                        Marek Kaabel\n                                
11,\n
12,\n                                        German Randla\n                                
13,\n                                        Shamo Jamalov\n                                
14,\n
15,\n                                        Maanus Truumeel\n                                
16,\n                                        Ines K\xc3\xa4\xc3\xa4rma\n                                
17,\n                                        Mirjam Frey\n                                
18,\n                                        Bradley Jon Mallard\n                                
19,\n                                        Nikolai Olhovka\n                                
20,\n                                        Evelin V\xc3\xb5sa\n                                
21,\n                                        Jaan K\xc3\xb5rgema\n                                
22,\n                                        Steven Seller\n                                
23,\n                                        Liivika Salum\xc3\xa4gi\n                                
24,\n                                        Igor Loja\n                                
25,\n                                        Aivar Loja\n                                
26,\n                                        Mart Remmel\n                                
27,\n
28,\n                                        Illimar Kalk\n                                
29,\n                                        Irina Varfolomeeva\n                                
30,\n                                        Nikita Petrov\n                                
31,\n                                        Savely Petrov\n                                
32,\n                                        Alexey Novichkov\n                                
33,\n                                        M\xc3\xa4rten Tootmaa\n                                
34,\n                                        Tanel Terasmaa\n                                
35,\n                                        Andres Jakovlev\n                                
36,\n                                        Andres Jaakson\n                                
37,\n                                        Nahounou Claude Dalo\n                                
38,\n                                        Alar Haljaste\n                                
39,\n                                        Nikita Zhuk\n                                
40,\n                                        Aleksandar Spasi\xc4\x87\n                                
41,\n                                        Alesja Mura\xc5\xa1ova\n                                
42,\n                                        Erki Kimber\n                                
43,\n                                        Erki Kimber\n                                
44,\n
45,\n
46,\n                                        Arvi Lepik\n                                
47,\n                                        Anton Vassiljev\n                                
48,\n                                        Triin Treimann\n                                
49,\n                                        Annika R\xc3\xa4im\n                                
50,\n                                        Vahe Grigoryan\n                                
51,\n                                        Thanawat Thomas\n                                
52,\n                                        Aile Pilberg\n                                
53,\n                                        Jana Kallas\n                                
54,\n                                        Aarne P\xc3\xb5der\n                                
55,\n                                        Ott Neeme\n                                
56,\n                                        Rain Metsma\n                                
57,\n                                        COUNTRYWIDE CONSULTANTS LIMITED\n                                
58,\n
59,\n
60,\n                                        Hannes Juuse\n                                
61,\n
62,\n                                        Marina Nadeeva\n                                
63,\n                                        \xc5\xbdanna Tikker\n                                
64,\n                                        Olga Tabachkova\n                                
65,\n                                        Sergey Koshmanov\n                                
66,\n                                        Piret Saluste\n                                
67,\n                                        Maire Jalak\n                                
68,\n
69,\n
70,\n
71,\n                                        Miran Lee\n                                
72,\n                                        Alexander Budanov\n                                
73,\n
74,\n                                        Jekaterina Prihodko\n                                
75,\n                                        K\xc3\xa4tlin Truman\n                                
76,\n                                        Helle Truman\n                                
77,\n                                        Katrin Truman-Sillam\xc3\xa4e\n                                
78,\n                                        K\xc3\xa4tlin Truman\n                                
79,\n                                        Helle Truman\n                                
80,\n                                        Sergei \xc5\xa0estopalov\n                                
81,\n                                        Aare M\xc3\xbcil\n                                
82,\n                                        Aare M\xc3\xbcil\n                                
83,\n                                        Krasimir Donchev Kostov\n                                
84,\n                                        Luke William Willmott\n                                
85,\n                                        Marek Kozlovski\n                                
86,\n                                        IGOR D\xc3\x95RKO\n                                
87,\n                                        Deniss Belikov\n                                
88,\n                                        Aleksandr Vain\n                                
89,\n                                        Kalev Kirst\n                                
90,\n                                        Kaja Puusepp\n                                
91,\n                                        Oliver Puusepp\n                                
92,\n                                        Ultiro AB\n                                
93,\n
94,\n                                        Raner Rohilaid\n                                
95,\n                                        Jaanis Koppel\n                                
96,\n                                        Kevo September\n                                
97,\n                                        Eeva Marjatta Tiittanen\n                                
98,\n                                        Kari Veikko Tiittanen\n                                
99,\n                                        Ragnar Sepp\n                                
100,\n                                        Aleksandr Belov\n                                
101,\n                                        Roman Lushnikov\n                                
102,\n                                        Kalle Palling\n                                
103,\n                                        Jonas David Barre\n                                
104,\n                                        Karl Roben\n                                
105,\n                                        Leena Lillep\xc3\xb5ld\n                                
106,\n                                        Toivo Lillep\xc3\xb5ld\n                                
107,\n                                        Ardo Ummelas\n                                
108,\n                                        Kirsti Ummelas\n                                
109,\n                                        Tiina Tisler\n                                
110,\n                                        Lihtkonto: EVELIN AINOM\xc3\x84E\n                                
111,\n
112,\n                                        Svetlana Golubeva\n                                
113,\n                                        Eret Meej\xc3\xa4rv\n                                
114,\n
115,\n                                        Madis Mutso\n                                
116,\n                                        Dmitri Bespalov\n                                
117,\n                                        Madars Pahmurkins\n                                
118,\n                                        Rihards Spro\xc4\xa3is\n                                
119,\n                                        M\xc4\x81rti\xc5\x86\xc5\xa1 Spro\xc4\xa3is\n                                
120,\n                                        Patryk Mateusz Jarz\xc4\x99bski\n                                
121,\n                                        Raja Nair\n                                
122,\n                                        Jelena Milovidova\n                                
123,\n                                        Pavel Milovidov\n                                
124,\n                                        Marianna Grigorjeva\n                                
125,\n                                        Tarmo Korn\n                                
126,\n                                        MARCIN WALASZCZYK\n                                
127,\n                                        Monika Sylwia Rybak\n                                
128,\n                                        Oleg Vares\n                                
129,\n                                        Kamil Grabowski\n                                
130,\n                                        Eric Michael Godwin\n                                
131,\n                                        Oganes Manukjan\n                                
132,\n                                        M\xc3\xa4rten Rattasepp\n                                
133,\n                                        Maya Jane Middlemiss\n                                
134,\n                                        Niina Riikka Pietil\xc3\xa4inen\n                                
135,\n                                        Jarmo Kull\n                                
136,\n                                        Jaanika Luht\n                                
137,\n
138,\n                                        Jarkko Kalevi Nieminen\n                                
139,\n                                        Bilal Altaf Chaglani\n                                
140,\n                                        Mayur Sakharam More\n                                
141,\n                                        Startup Wise Guys Italy SRL\n                                
142,\n
143,\n                                        Andrea Orlando\n                                
144,\n                                        Jana M\xc3\xa4its\n                                
145,\n
146,\n
147,\n
148,\n
149,\n
150,\n
151,\n                                        Denzel Khiry Thomas\n                                
152,\n                                        DMITRII FEOKTISTOV\n                                
153,\n                                        Endrik Zirk\n                                
154,\n                                        Ole-Christian Fjeld Opseth\n                                
155,\n
156,\n                                        Jose Ignacio Ruiz Caparros\n                                
157,\n                                        Dumitru Lunin\n                                
158,\n                                        Antonio Fern\xc3\xa1ndez Robaina\n                                
159,\n                                        Santiago Benlliure Moreno\n                                
160,\n                                        Kunnar K\xc3\xa4ngsep\n                                
161,\n                                        Mariliis K\xc3\xa4ngsep\n                                
