,company_name
0,\n                                Janis Jegi\n                            
1,\n                                Siim Tiigim\xc3\xa4gi\n                            
2,\n                                Dominik Gronkiewicz\n                            
3,\n                                Rainis Luik\n                            
4,\n                                Kaido Kaabel\n                            
5,\n                                Marek Kaabel\n                            
6,\n                                Joosep Tinn\n                            
7,\n                                German Randla\n                            
8,\n                                Sven Mansberg\n                            
9,\n                                Ines K\xc3\xa4\xc3\xa4rma\n                            
10,\n                                Mirjam Frey\n                            
11,\n                                Bradley Jon Mallard\n                            
12,\n                                Igor Loja\n                            
13,\n                                Evelin Takkel\n                            
14,\n                                Jaan K\xc3\xb5rgema\n                            
15,\n                                Liivika Salum\xc3\xa4gi\n                            
16,\n                                Alina Rump\n                            
17,\n                                Igor Loja\n                            
18,\n                                Mart Remmel\n                            
19,\n                                Aleksandr Savin\n                            
20,\n                                Aleksandr Beljavski\n                            
21,\n                                Ain Amboja\n                            
22,\n                                Irina Paukova\n                            
23,\n                                Merike Andrejev\n                            
24,\n                                Svetlana T\xc5\xa1ern\xc3\xb5\xc5\xa1eva\n                            
25,\n                                Diana Motovilova\n                            
26,\n                                Ilmar Kolk\n                            
27,\n                                Mart Remmel\n                            
28,\n                                Maria Osipt\xc5\xa1uk\n                            
29,\n                                Illimar Kalk\n                            
30,\n                                Heiki Tuul\n                            
31,\n                                M\xc3\xa4rten Tootmaa\n                            
32,\n                                Ivo Piho\n                            
33,\n                                Andres Jakovlev\n                            
34,\n                                Andres Jaakson\n                            
35,\n                                Nahounou Claude Dalo\n                            
36,\n                                Alar Haljaste\n                            
37,\n                                Nikita Zhuk\n                            
38,\n                                Aleksandar Spasi\xc4\x87\n                            
39,\n                                Aleksandr Bespalov\n                            
40,\n                                Alesja Mura\xc5\xa1ova\n                            
41,\n                                AllSpark Energy O\xc3\x9c\n                            
42,\n                                AllSpark Energy O\xc3\x9c\n                            
43,\n                                AllSpark Energy O\xc3\x9c\n                            
44,\n                                AllSpark Energy O\xc3\x9c\n                            
45,\n                                AllSpark Energy O\xc3\x9c\n                            
46,\n                                Erki Kimber\n                            
47,\n                                Erki Kimber\n                            
48,\n                                Indrek Allert\n                            
49,\n                                Arvi Lepik\n                            
50,\n                                Anton Vassiljev\n                            
51,\n                                Triin Treimann\n                            
52,\n                                Annika R\xc3\xa4im\n                            
53,\n                                Thanawat Thomas\n                            
54,\n                                Aile Pilberg\n                            
55,\n                                Jana Maria Kallas\n                            
56,\n                                Aarne P\xc3\xb5der\n                            
57,\n                                Rain Metsma\n                            
58,\n                                Karl James Cutler\n                            
59,\n                                Pirmin Tamm\n                            
60,\n                                Hannes Juuse\n                            
61,\n                                Andrus R\xc3\xa4ppo\n                            
62,\n                                Marina Nadeeva\n                            
63,\n                                \xc5\xbdanna Tikker\n                            
64,\n                                Sergey Koshmanov\n                            
65,\n                                Andres Saluste\n                            
66,\n                                Maire Jalak\n                            
67,\n                                Laura Sohvie Liblik\n                            
68,\n                                Toomas Tamm\n                            
69,\n                                Miran Lee\n                            
70,\n                                Alexander Budanov\n                            
71,\n                                Roman Elo\xc5\xa1vili\n                            
72,\n                                Jekaterina Prihodko\n                            
73,\n                                K\xc3\xa4tlin Truman\n                            
74,\n                                Aleksei Artemev\n                            
75,\n                                Helju M\xc3\xbcil\n                            
76,\n                                Aare M\xc3\xbcil\n                            
77,\n                                Krasimir Donchev Kostov\n                            
78,\n                                Arno Tamm\n                            
79,\n                                Mustansar Iqbal\n                            
80,\n                                Marek Kozlovski\n                            
81,\n                                Igor D\xc3\xb5rko\n                            
82,\n                                Deniss Belikov\n                            
83,\n                                Aleksandr Vain\n                            
84,\n                                Kalev Kirst\n                            
85,\n                                Valdur Puusepp\n                            
86,\n                                Michael Akampa\n                            
87,\n                                Kari Juhani Manninen\n                            
88,\n                                Raner Rohilaid\n                            
89,\n                                Jaanis Koppel\n                            
90,\n                                Kevo September\n                            
91,\n                                Eeva Marjatta Tiittanen\n                            
92,\n                                Ragnar Sepp\n                            
93,\n                                Roman Lushnikov\n                            
94,\n                                Kalle Palling\n                            
95,\n                                Jonas David Barre\n                            
96,\n                                Karl Roben\n                            
97,\n                                Toivo Lillep\xc3\xb5ld\n                            
98,\n                                Ardo Ummelas\n                            
