id,unique_id_l,unique_id_r,company_name_l,company_name_r,matches
2765075,95690,102622,(DIA) Distribuidora Internacional de AlimentaciÂ¢n,(DIA) Distribuidora Internacional de AlimentaciÃƒÂ³n,false
385114,16927,21967,(DIA) Distribuidora Internacional de AlimentaciÃ³n,(DIA) Distribuidora Internacional de AlimentaciÃƒÂ³n,false
775004,29547,75149,(dia) Distribuidora Internacional De AlimentaciÃƒÂ³n,(DIA) Distribuidora Internacional de AlimentaciÃƒÂ³n,true
489777,21967,37140,(DIA) Distribuidora Internacional de AlimentaciÃƒÂ³n,(DIA) Distribuidora Internacional de AlimentaciÃƒÂ³n,true
431190,18763,92354,(HLBank) Hong Leong Bank,(HLBank) Hong Leong Bank,true
205946,12975,91773,?EZ Group,?EZ Group,true
206919,13960,92797,?i?ecam,?i?ecam,true
316226,14421,93159,?sdemir,?sdemir,true
127985,8231,8254,@home,@home,true
3384837,118045,158811,{N}.BORA LIMITED,{N}.BORA LIMITED,true
162980,11804,32554,0x,0x,true
776124,30675,94418,1&1,1&1,true
3500862,123082,138413,1&1 ag,1&1 Ag,true
1432200,47828,83079,1&1 AG,1&1 AG,true
162729,11542,32806,1047 Games,1047 Games,true
2112643,72896,80986,10x Genomics,10X GENOMICS,true
3528362,125326,136326,10X GENOMICS,10x Genomics,true
918823,34578,100276,"10x Genomics
",10x Genomics,true
1665085,57944,119094,"10x Genomics, Inc.","10x Genomics, Inc.",true
2181301,76086,96654,11 bit studios,11 bit studios,true
785224,28696,103697,11 Bit Studios,11 bit studios,true
1432278,47957,96654,11 bit studios SA,11 bit studios,true
3845010,160688,163489,123-REG LIMITED,123-REG LIMITED,true
1062311,38463,77266,180 Life Sciences,180 Life Sciences,true
779978,29218,75433,1-800-flowers,1-800-Flowers,true
448216,19773,162883,1-800-Flowers,"1-800-FLOWERS.COM, INC.",true
1110309,40351,162883,"1-800-Flowers
","1-800-FLOWERS.COM, INC.",true
2547966,87144,107703,1-800-FLOWERS.COM,1-800-Flowers.com Inc,true
3774245,142488,152841,1-800-flowers.com,1-800-PetMeds,false
2938616,107703,131478,1-800-Flowers.com Inc,1-800-FLOWERS.COM,true
3846312,160992,162883,"1-800-FLOWERS.COM, INC.","1-800-FLOWERS.COM, INC.",true
774327,28858,96099,1-800-petmeds,1-800-Flowers,false
387574,17744,40351,1-800-PetMeds,"1-800-Flowers
",false
1098950,39954,96413,"1-800-PetMeds
",1-800-PetMeds,true
163145,11980,32376,1KMXC,1KMXC,true
3608482,129045,140058,1LIFE HEALTHCARE INC,1life Healthcare Inc,true
162210,10997,33342,1Password,1Password,true
378819,16602,95110,1st Source,1st Source,true
3784473,143579,152003,1st Source Corporation,1st Source,true
2612618,88243,102199,1ST SOURCE CORPORATION,1st Source,true
1061455,37583,95110,"1st Source
",1st Source,true
743708,28464,152599,1stdibs.com,1stdibs.Com,true
495118,20968,152599,1stdibs.Com,1stdibs.Com,true
3385191,118554,118559,"20th Century Studios, Inc.","20th Century Animation, Inc.",true
2614836,88328,132654,21VIANET GROUP,21VIANET GROUP,true
378260,18083,96913,22nd Century Group,22nd Century Group,true
1101121,40145,76466,"22nd Century Group
",22nd Century Group,true
786984,29797,102417,23andme,23andMe,true
431978,19554,84843,23andMe,23ANDME HOLDING CO.,true
3756562,140179,153639,23andme Holding Co.,23andMe,true
3611400,129169,140179,23ANDME HOLDING CO.,23andme Holding Co.,true
3826891,159456,162603,24 HOLDING OU,24 HOLDING OU,true
128357,9053,47124,24seven,24SevenOffice Group AB ,true
2614167,89149,144483,29METALS LIMITED,29metals Limited,true
1963174,64786,65051,2C2P,2C2P,true
2023493,65541,68889,2E Vertriebs-GmbH,2E Vertriebs,true
1105638,39535,152522,2seventy bio,2seventy bio,true
783056,28928,103476,2seventy Bio,2seventy bio,true
738038,27245,75675,2u,2U,true
1099447,40463,96024,2U,2U,true
1580776,55185,55216,360 Capital Digital Infrastructure Fund,360 Capital Group Limited,true
1581613,54865,55185,360 Capital REIT,360 Capital Digital Infrastructure Fund,false
439232,19376,31179,360 DigiTech,360 Digitech,true
824096,31179,43730,360 Digitech,"360 DigiTech, Inc.",true
1152394,43730,100736,"360 DigiTech, Inc.",360 DigiTech,true
3570231,128815,139824,360 FINANCE,360 Finance,true
2275342,80993,107132,360 SECURITY TECHNOLOGY,360 Security Technology Inc,true
2935671,107132,136329,360 Security Technology Inc,360 Security Technology,true
1153836,44957,80993,"360 Security Technology, Inc.",360 SECURITY TECHNOLOGY,true
2615575,89505,133838,361 DEGREES INTERNATIONAL,361 DEGREES INTERNATIONAL,true
533976,23924,93100,37 Interactive Entertainment,37 Interactive Entertainment,true
