,company_name,company_industry
0,TCS,IT Services & Consulting
1,Accenture,IT Services & Consulting
2,Cognizant,IT Services & Consulting
3,ICICI Bank,Banking
4,HDFC Bank,Banking
5,Wipro,IT Services & Consulting
6,Infosys,IT Services & Consulting
7,Capgemini,IT Services & Consulting
8,Tech Mahindra,IT Services & Consulting
9,Genpact,IT Services & Consulting
10,HCLTech,IT Services & Consulting
11,Amazon,Internet
12,Axis Bank,Banking
13,IBM,Software Product
14,Concentrix Corporation,BPO
15,Reliance jio,Telecom
16,Larsen & Toubro Limited,Engineering & Construction
17,HDB Financial Services,NBFC
18,Vodafone Idea,IT Services & Consulting
19,Teleperformance,BPO
20,Reliance Retail,Retail
21,Kotak Mahindra Bank,Banking
22,Deloitte,Management Consulting
23,Reliance Industries,Oil & Gas
24,Bharti Airtel,Telecom
25,Tata Motors,Automobile
26,BYJU'S,EdTech
27,Flipkart,Internet
28,WNS,Analytics & KPO
29,Mahindra & Mahindra,Automobile
30,IndusInd Bank,Banking
31,Ernst & Young,Consulting
32,DXC Technology,IT Services & Consulting
33,Hinduja Global Solutions,BPO
34,Infosys BPM,BPO
35,Maruti Suzuki,Automobile
36,IDFC FIRST Bank,Banking
37,HSBC,Banking
38,Bajaj Finserv,Insurance
39,Ericsson,Telecom
40,Conneqt Business Solutions,Analytics & KPO
41,Mphasis,IT Services & Consulting
42,Startek,BPO
43,Dr. Reddy's,Pharma
44,Sutherland Global Services,IT Services & Consulting
45,Cipla Pharmaceutical,Pharma
46,Yes Bank,Banking
47,Udaan,Internet
48,Jana Small Finance Bank,Banking
49,Asian Paints,Chemicals
50,NTT DATA,IT Services & Consulting
51,ICICI Prudential Life Insurance,Insurance
52,HDFC Life,Insurance
53,Lupin,Pharma
54,HCL Group,IT Services & Consulting
55,PwC,Consulting
56,EXL Service,Analytics & KPO
57,iEnergizer,BPO
58,Indian Army,Defence & Aerospace
59,L&T Infotech,IT Services & Consulting
60,UltraTech Cement,Building Material
61,Bajaj Finance,NBFC
62,Home Credit Finance,Financial Services
63,KPMG,Consulting
64,Paytm,BPO
65,Mindtree,IT Services & Consulting
66,Hindustan Unilever,FMCG
67,ITC,FMCG
68,Ujjivan Small Finance Bank,Banking
69,IIFL,Financial Services
70,Bandhan Bank,Banking
71,OPPO,Consumer Electronics & Appliances
72,JP Morgan Chase,Investment Banking / Venture Capital / Private Equity
73,Wells Fargo India,IT Services & Consulting
74,Zydus Cadila,Pharma
75,Delhivery,Logistics
76,Shriram Transport Finance,NBFC
77,Sun Pharmaceutical Industries,Pharma
78,Shapoorji Pallonji Group,Engineering & Construction
79,Ashok Leyland,Automobile
80,Aurobindo Pharma,Pharma
81,Vivo,Consumer Electronics & Appliances
82,Mahindra & Mahindra Financial Services,NBFC
83,AU Small Finance Bank,Financial Services
84,Siemens,Power
85,Apollo Hospitals,Healthcare
86,Hewlett-Packard Enterprise,IT Services & Consulting
87,Nokia,Hardware & Networking
88,Max Life Insurance,Insurance
89,TATA Steel,Iron & Steel
90,TATA Steel,Iron & Steel
91,First Source,BPO
92,Hexaware Technologies,IT Services & Consulting
93,JSW Steel,Iron & Steel
94,Oracle,Software Product
95,Intelenet Global Services,BPO
96,Quess,Recruitment
97,Reliance Communications,Telecom
98,Tata Projects,Engineering & Construction
99,Future Group,Retail
100,JLL,Real Estate
101,Hero MotoCorp,Automobile
102,Fidelity National Information Services,IT Services & Consulting
103,JustDial,Internet
104,TVS Motor,Automobile
105,Cyient,IT Services & Consulting
106,Oyo Rooms,Hospitality
107,Bajaj Allianz Life Insurance,Insurance
108,Hyundai Motor,Automobile
109,Wipro BPS,IT Services & Consulting
110,Bosch,Auto Components
111,Megha Engineering & Infrastructures,Engineering & Construction
112,Omega Healthcare,IT Services & Consulting
113,L&T Construction,Engineering & Construction
114,Atos Syntel,IT Services & Consulting
115,D Mart,Retail
116,Manappuram Finance,NBFC
117,SBI Cards & Payment Services,FinTech
118,Samsung,Consumer Electronics & Appliances
119,BNY Mellon,IT Services & Consulting
120,Cummins,Automobile
121,Fullerton India,Financial Services
122,IQVIA,Clinical Research
123,Nagarro,IT Services & Consulting
124,Viatris,Pharma
125,Aditya Birla Fashion and Retail,Retail
126,BigBasket,Internet
127,Amdocs,Software Product
128,CBRE,Real Estate
129,Bosch Global Software Technologies,Software Product
130,Indiamart Intermesh,Internet
131,Godrej & Boyce Manufacturing,FMCG
132,Schneider Electric,Industrial Automation
133,Royal Enfield,Automobile
134,UST,IT Services & Consulting
135,Ford Motor,Other
136,Ecom Express,Logistics
137,JBM Group,Auto Components
138,Equitas Small Finance Bank,Banking
139,State Bank of India,Banking
140,Dell,Consumer Electronics & Appliances
141,ICICI Lombard General Insurance Company,Insurance
142,Whitehat jr,EdTech
143,Nagarjuna Construction Company,Engineering & Construction
144,UnitedHealth,Healthcare
145,Bajaj Auto,Automobile
146,Muthoot Finance,NBFC
147,Tata Communications,Telecom
148,Muthoot Fincorp,NBFC
149,John Deere,IT Services & Consulting
150,GlobalLogic,IT Services & Consulting
151,Dominos Pizza,Hospitality
152,Cholamandalam Investment & Finance,NBFC
153,Wipro Consumer Care & Lighting,FMCG
154,L&T Financial Services,NBFC
155,SBI Life Insurance Company,Insurance
156,Capgemini Technology Services India Limited,
157,Virtusa Consulting Services,IT Services & Consulting
158,Axis Direct,Financial Services
159,KEC International,Real Estate
160,Hetero Drugs,Pharma
161,LG Electronics,Consumer Electronics & Appliances
162,Wipro Infotech,IT Services & Consulting
163,Motherson Sumi Systems,Auto Components
164,Sodexo,Facility Management Services
165,Swiggy,Internet
166,Thermax,Industrial Machinery
167,Optum,Healthcare
168,Abbott Healthcare,Pharma
169,Intas Pharmaceuticals,Pharma
170,Macleods Pharmaceuticals,Pharma
171,Subros,Auto Components
172,Automatic Data Processing (ADP),IT Services & Consulting
173,VE Commercial Vehicles,Automobile
174,Varun Beverages,Beverage
175,Hindustan Coca Cola Beverages,Beverage
176,Piramal Capital Housing Finance,NBFC
177,L&T Technology Services,IT Services & Consulting
178,Bel,Consumer Electronics & Appliances
179,Randstad,
180,Pidilite Industries,Chemicals / Agri Inputs
181,CMS IT Services,IT Services & Consulting
182,Indian Air Force,Defence & Aerospace
183,CARS24,Internet
184,Cgi Group,IT Services & Consulting
185,American Express,Financial Services
186,Alembic Pharmaceuticals,Pharma
187,NatWest Group,Banking
188,Alkem Laboratories,Pharma
189,Gati kwe,Logistics
190,Havells,Electrical Equipment
191,Glenmark Pharmaceuticals,Pharma
192,ABB Group,Electrical Equipment
193,Deutsche Bank,Banking
194,Shoppers Stop,Retail
195,Simplex Infrastructures,Engineering & Construction
196,Ipca Laboratories,Pharma
197,Honda Motorcycle & Scooter,Automobile
198,Atos,IT Services & Consulting
199,DTDC Express,Logistics
200,DCB Bank,Banking
201,Reliance Nippon Life Insurance,Insurance
202,Arvind Group,Fashion & Textile
203,Hindalco Industries,Metals & Mining
204,McDonald's,Hospitality
205,Suzlon Group,Power
206,Muthoot Group,NBFC
207,Conduent,BPO
208,Wipro Enterprises Ltd,IT Services & Consulting
209,Standard Chartered Bank,Financial Services
210,Team Lease,Recruitment
211,Standard Chartered Bank,Financial Services
212,24/7 Customer,Software Product
213,Maersk,Logistics
214,Vishal Mega Mart,Retail
215,KocharTech,IT Services & Consulting
216,Ekart Logistics,Logistics
217,MRF Tyres,Auto Components
218,Bajaj Electricals,Consumer Electronics & Appliances
219,Titan Company,Other
220,Lava International,Telecom
221,Publicis Sapient,IT Services & Consulting
222,Bank of America,Banking
223,Ceat Tyres,Auto Components
224,Huawei Technologies,IT Services & Consulting
225,Tata AIA Life Insurance,Insurance
226,Jindal Steel and Power,Iron & Steel
227,RSPL Group,FMCG
228,Torrent Pharmaceuticals,Pharma
229,ITC Infotech India,IT Services & Consulting
230,PNB MetLife,Insurance
231,Tractors and Farm Equipment,Automobile
232,RBL Bank,Banking
233,ACC,Building Material
234,State Street Syntel,Financial Services
235,Biocon Biologics India,Biotechnology
236,Capita,BPO/KPO
237,IndiGo,Logistics
238,Utkarsh Small Finance Bank,Banking
239,Berger Paints,Chemicals
240,Future Retail,Retail
241,Kotak Mahindara Life Insurance,Insurance
242,Aarti Industries,Chemicals
243,HDFC Ergo General Insurance,Insurance
244,Dabur,FMCG
245,Cogent E Services,BPO
246,GeBBS Healthcare Solutions,BPO
247,Apollo Tyres,Auto Components
248,Persistent Systems,IT Services & Consulting
249,KPIT Technologies,Software Product
250,JK Cement,Building Material
251,R1 RCM,Accounting & Auditing
252,Patanjali Ayurved,FMCG
253,Dilip Buildcon,Engineering & Construction
254,Flex,Electronics Manufacturing
255,PolicyBazaar,FinTech
256,Rivigo,Internet
257,Reliance Digital,Retail
258,Tata Teleservices,Telecom
259,Ola Cabs,Internet
260,Access Healthcare,IT Services & Consulting
261,Tata AIG,Insurance
262,Aakash Educational Services,EdTech
263,AFCONS Infrastructure,Real Estate
264,Eureka Forbes,Consumer Electronics & Appliances
265,Blue Dart Express,Logistics
266,Radisson Hotels,Hospitality
267,Landmark Group,Retail
268,Paras Hospital,Healthcare
269,JMC Projects,Engineering & Construction
270,Escorts Group,Automobile
271,Mankind Pharma,Pharma
272,Legato Health Technologies,Healthcare
273,Nestle,Food Processing
274,Lifestyle,Retail
275,Max Healthcare,Healthcare
276,Synechron,IT Services & Consulting
277,Statestreet HCL Services,BPO
278,I Process Services,Recruitment
279,Birlasoft,IT Services & Consulting
280,Fiserv,Financial Services
281,G4S,Financial Services
282,Voltas,Consumer Electronics & Appliances
283,Zensar Technologies,IT Services & Consulting
284,Birla Sun Life Insurance,Insurance
285,United Phosphorus,Agro Chemicals
286,Pfizer,Pharma
287,AGS Health,Software Product
288,Walmart,Retail
289,Lenskart,Other
290,Life Insurance Corporation of India,Insurance
291,HCL Infosystems,IT Services & Consulting
292,Aditya Birla Group,Metals & Mining
293,HDFC Sales,Financial Services
294,Reliance SMSL,BPO
295,Delhi Public School,Education & Training
296,Tata Technologies,IT Services & Consulting
297,ACT Fibernet,Telecom
298,Micro Labs,Pharma
299,Samsung Electronics,
300,Samsung Electronics,
301,TVS Supply Chain Solutions,Logistics
302,Ajanta Pharma,Pharma
303,Extramarks Education,EdTech
304,Exide Industries,Auto Components
305,PepsiCo,Food Processing
306,Cholamandalam MS General Insurance,Insurance
307,Bajaj Allianz General Insurance Company Ltd,Financial Services
308,Societe Generale,Financial Services
309,R.R. Donnelley,BPO
310,BHEL,Electrical Equipment
311,Britannia,Food Processing
312,Blue Star,Consumer Electronics & Appliances
313,Kalyan Jewellers,Metals & Mining
314,Mahindra Rural Housing Finance,Financial Services
315,The Himalaya Drug Company,Pharma
316,Renault-Nissan,Automobile
317,Emcure Pharmaceuticals,Pharma
318,Mahindra Holidays & Resorts,Hospitality
319,PVR Cinemas,Media & Entertainment
320,Raymond,Fashion & Textile
321,BlackBuck,Logistics
322,Poonawalla Fincorp,NBFC
323,Dalmia Bharat Cement,Building Material
324,IGT Solutions,IT Services & Consulting
325,Sonalika Tractors,Automobile
326,State Street Corporation,Financial Services
327,Yazaki,Auto Components
328,TVS Sundram Fasteners,Auto Components
329,Exide Life Insurance,Insurance
330,Sterling & Wilson,Real Estate
331,Ambuja Cements,Building Material
332,UNO Minda,Auto Components
333,Parle Agro,Food Processing
334,CG Power and Industrial Solutions,Electronics Manufacturing
335,TVS Credit,NBFC
336,Shree Cement,Building Material
337,Exotic Learning,EdTech
338,Shahi Exports,Import & Export
339,V-Mart,Retail
340,Force Motors,Automobile
341,Datamatics Global Services,IT Services & Consulting
342,Brakes India,Auto Components
343,Indus Towers,Telecom
344,Mahindra Logistics,Other
345,Grasim Industries,Building Material
346,Reliance Trends,Retail
347,DS Group,FMCG
348,café Coffee day,Beverage
349,Shriram City,Financial Services
350,Whirlpool,Consumer Electronics & Appliances
351,Big Bazaar,Retail
352,Indian Navy,Defence & Aerospace
353,NIIT Technologies,IT Services & Consulting
354,IKS Health,Healthcare
355,ElasticRun,Logistics
356,Bharti AXA Life Insurance,Insurance
357,Delphi TVS,Auto Components
358,Sterlite Technologies,Hardware & Networking
359,Myntra,Retail
360,XpressBees,Logistics
361,Honda,Automobile
362,3i Infotech,IT Services & Consulting
363,Sobha,Real Estate
364,BT Group,Telecom
365,Kansai Nerolac Paints,Chemicals
366,Tata Motors Finance,NBFC
367,ICICI Securities,
368,Indiabulls,NBFC
369,Thomson Reuters,Printing & Publishing
370,JK Tyres,Auto Components
371,Cybage,IT Services & Consulting
372,SRF,Chemicals / Agri Inputs
373,Shell,Oil & Gas
374,Bharat Petroleum,Oil & Gas
375,Future Generali India Life Insurance,Insurance
376,Lodha group,Real Estate
377,Bhushan Power & Steel,Iron & Steel
378,Johnson Controls,IT Services & Consulting
379,Endurance Technologies,Auto Components
380,Blinkit,Internet
381,GE,Engineering & Construction
