,company_name,company_location
0,Apple,USA
1,Microsoft,USA
2,Saudi Aramco,S. Arabia
3,Alphabet (Google),USA
4,Amazon,USA
5,Berkshire Hathaway ,USA
6,UnitedHealth,USA
7,Tesla,USA
8,Johnson & Johnson,USA
9,Visa,USA
10,NVIDIA,USA
11,Exxon Mobil,USA
12,TSMC,Taiwan
13,Tencent,China
14,Walmart,USA
15,JPMorgan Chase,USA
16,LVMH,France
17,Procter & Gamble,USA
18,Eli Lilly,USA
19,Mastercard,USA
20,Home Depot,USA
21,Chevron,USA
22,Nestl,Switzerland
23,Meta Platforms (Facebook),USA
24,Kweichow Moutai,China
25,Pfizer,USA
26,Samsung,S. Korea
27,Novo Nordisk,Denmark
28,AbbVie,USA
29,Merck,USA
30,Coca-Cola,USA
31,Roche,Switzerland
32,Bank of America ,USA
33,Pepsico,USA
34,ASML,Netherlands
35,Alibaba,China
36,Broadcom,USA
37,Thermo Fisher Scientific,USA
38,Oracle,USA
39,Astrazeneca,UK
40,Costco,USA
41,Reliance Industries,India
42,ICBC,China
43,Cisco,USA
44,McDonald,USA
45,L'Oral,France
46,Danaher,USA
47,Shell,UK
48,Novartis,Switzerland
49,Toyota,Japan
50,Abbott Laboratories,USA
51,Accenture,Ireland
52,T-Mobile US,USA
53,Nike,USA
54,Nextera Energy,USA
55,Walt Disney,USA
56,Herms,France
57,Linde,UK
58,Bristol-Myers Squibb,USA
59,Wells Fargo,USA
60,Texas Instruments,USA
61,United Parcel Service,USA
62,Philip Morris,USA
63,Adobe,USA
64,BHP Group,Australia
65,Verizon,USA
66,Morgan Stanley,USA
67,Comcast,USA
68,TotalEnergies,France
69,China Construction Bank,China
70,CATL,China
71,Raytheon Technologies,USA
72,Tata Consultancy Services,India
73,Amgen,USA
74,China Mobile,China
75,Honeywell,USA
76,Charles Schwab,USA
77,Agricultural Bank of China,China
78,Netflix,USA
79,Meituan,China
80,ConocoPhillips,USA
81,Prosus,Netherlands
82,Dior,France
83,QUALCOMM,USA
84,Salesforce,USA
85,AT&T,USA
86,IBM,USA
87,Union Pacific Corporation,USA
88,Deere & Company,USA
89,CVS Health,USA
90,CM Bank,China
91,Royal Bank Of Canada,Canada
92,Unilever,UK
93,HDFC Bank,India
94,SAP,Germany
95,Lowe's Companies,USA
96,AIA,Hong Kong
97,PetroChina,China
98,Lockheed Martin,USA
99,Elevance Health,USA
100,Bank of China,China
101,Commonwealth Bank,Australia
102,HSBC,UK
103,Goldman Sachs,USA
104,Caterpillar,USA
105,Sanofi,France
106,Anheuser-Busch Inbev,Belgium
107,Ping An Insurance,China
108,Lindt,Switzerland
109,Intuit,USA
110,Toronto Dominion Bank,Canada
111,Starbucks,USA
112,Intel,USA
113,China Life Insurance,China
114,Equinor,Norway
115,S&P Global,USA
116,American Express,USA
117,Rio Tinto,UK
118,Pinduoduo,China
119,Prologis,USA
120,Boeing,USA
121,AMD,USA
122,Gilead Sciences,USA
123,Siemens,Germany
124,Automatic Data Processing,USA
125,Diageo,UK
126,BlackRock,USA
127,Jingdong Mall,China
128,BP,UK
129,Medtronic,Ireland
130,American Tower,USA
131,Cigna,USA
132,Deutsche Telekom,Germany
133,Wuliangye Yibin,China
134,Sony,Japan
135,BYD,China
136,Keyence,Japan
137,Intuitive Surgical,USA
138,Porsche,Germany
139,CSL,Australia
140,Stryker Corporation,USA
141,NTT (Nippon Telegraph & Telephone),Japan
142,Applied Materials,USA
143,Airbus,Netherlands
144,British American Tobacco,UK
145,Mondelez,USA
146,TJX Companies,USA
147,Chubb,Switzerland
148,Citigroup,USA
149,General Electric,USA
150,Estee Lauder,USA
151,Analog Devices,USA
152,Glencore,Switzerland
153,Allianz,Germany
154,LG Energy Solution,S. Korea
155,Merck KGaA,Germany
156,Marsh & McLennan Companies,USA
157,EssilorLuxottica,France
