,company_rank,company_name,company_industry,company_location
0,1,Sony,Consumer electronics,Regional
1,2,Samsung,Electronics/White goods,Regional
2,3,Panasonic,Consumer electronics,Regional
3,4,LG,Electronics/White goods,Regional
4,5,Canon,Camera/Office equipment,Regional
5,6,Apple,Mobile Phone,Regional
6,7,Hewlett-Packard,Computer,Regional
7,8,Google,Internet search engine,Regional
8,9,NestlÃ©,Food and drink,Regional
9,10,Nike,Sports retail,Regional
10,11,McDonaldâs,Fast food,Regional
11,12,adidas,Sports retail,Regional
12,13,Coca-Cola,Soft drinks,Regional
13,14,7-Eleven,Convenience store,Regional
14,15,Starbucks,Coffee chain,Regional
15,16,Colgate,Toothpaste,Regional
16,17,Facebook,Social networking,Regional
17,18,Yahoo,Internet search engine,Regional
18,19,Honda,Car/Motorcycle,Regional
19,20,Toshiba,Electronics/White goods,Regional
20,21,Microsoft,Computer Software,Regional
21,22,Maggi,Instant Noodles,Regional
22,23,Lotte,Chewing/ Bubble gum,"Japan, Korea"
23,24,KFC,Fast-Food,"Greater China, Southeast Asia"
24,25,Nikon,Camera,Regional
25,26,Hitachi,Consumer Electronics,Regional
26,27,Sharp,Consumer Electronics,Regional
27,28,Nokia,Mobile Phone,Regional
28,29,Playstation,Gaming Console,Regional
29,30,Chanel,Fragrance/Perfume/Luxury Fashion Retailer,Regional
30,31,Dove,Shower Gel/Soap /Shampoo,Regional
31,32,Pepsi,Carbonated Soft Drink,Regional
32,33,NescafÃ©,Coffee,Regional
33,34,Cadbury,Chocolate,Regional
34,35,Mitsubishi,Consumer electronics,Regional
35,36,Epson,Printer,Regional
36,37,Uni-president,Instant Noodles,Greater China
37,38,Yamaha,Motorcycle,Regional
38,39,Shell,Petrol/Gas Station,"Greater China, Southeast Asia"
39,40,DHL,Courier Company,Regional
40,41,Toyota,Car/Automobile,Regional
41,42,Rolex,Watch,Regional
42,43,Meiji,Food,Regional
43,44,Darlie,Toothpaste,"Greater China, Southeast Asia"
44,45,Michelin,Tyre,Regional
45,46,Nintendo,Gaming Console,Regional
46,47,Lux,Shower Gel/Soap,Regional
47,48,HÃ¤agen-Dazs,Ice-cream,Regional
48,49,BMW,Car/Automobile,Regional
49,50,Dell,Computer,Regional
50,51,Bridgestone,Tyre,Regional
51,52,VISA,Credit Card,Regional
52,53,LâOrÃ©al,Cosmetics/Skincare Shampoo,Regional
53,54,Pantene,Shampoo,Regional
54,55,Shiseido,Cosmetics,Regional
55,56,Pampers,Diaper,Regional
56,57,Philips,Consumer Electronics,Regional
57,58,Air Asia,Budget Airlines,Southeast Asia
58,59,Mercedes-Benz,Car/Automobile,Regional
59,60,Twitter,Social Networking Site,Regional
60,61,Watsons,Pharmacy/Drugstore,"Greater China, Southeast Asia"
61,62,Nivea,Skincare,Regional
62,63,FamilyMart,Convenience Store,"Taiwan, Thailand"
63,64,HSBC,Bank,Regional
64,65,Citibank,Bank,Regional
65,66,Christian Dior,Fragrance/Perfume/Cosmetics,Regional
66,67,Nissin,Instant Noodles,Regional
67,68,Huggies,Diaper,Regional
68,69,FedEx,Courier Company,"Greater China, Southeast Asia"
69,70,Acer,Computer,Regional
70,71,Pocari Sweat,Sports Drink,Regional
71,72,Kao,Detergent,"Greater China, Southeast Asia"
72,73,Ferrero Rocher,Chocolate,Regional
73,74,AIA,Insurance,Regional
74,75,Singapore,Full-service Airlines,"Greater China, Southeast Asia"
75,76,Lipton,Tea,Regional
76,77,Marlboro,Cigarette,Regional
77,78,MasterKong,Instant Noodles,Greater China
78,79,MasterCard,Credit Card,Regional
79,80,Gatorade,Sports Drink,Regional
80,81,Gucci,Luxury Fashion Retailer,Regional
81,82,Kelloggâs,Cereal,Regional
82,83,Heineken,Beer,Regional
83,84,Daikin,Air Conditioner,"Japan, Singapore"
84,85,Head & Shoulders,Shampoo,Regional
85,86,SK-II,Female Skincare Product,Regional
86,87,Wrigleyâs Arrow,Chewing/Bubble Gum,Regional
87,88,Sanyo,Consumer Electronics,Regional
88,89,Amul,Milk powder/Milk/Ice-cream,India
89,90,Hyundai,Car/Automobile,Regional
