,company_name,company_facebook,company_twitter,company_instagram
0,The Hershey Company,https://www.facebook.com/HersheyCompany/,https://twitter.com/hersheycompany,https://www.instagram.com/hersheycompany/
1,ITC,https://it-it.facebook.com/ITCooperativa/,https://twitter.com/search?q=%23itc,https://www.instagram.com/tgruiz24/?hl=it
2,Pgnig Group,https://www.facebook.com/PGNiG/,https://twitter.com/search?q=%23pgnig,https://www.instagram.com/pgnig_od/
3,MTN Group,https://m.facebook.com/profile.php?id=108590052499148,https://twitter.com/mtngroup,https://www.instagram.com/mtn.company/?hl=it
4,Compass Group,https://it-it.facebook.com/people/Compass-Group-Italia/100066651009309/,https://twitter.com/compassgroupuk,https://www.instagram.com/compassgroupse/?hl=it
5,Apple,https://www.facebook.com/apple/,https://twitter.com/apple,https://www.instagram.com/apple/
6,Amazon,https://it-it.facebook.com/amazon.it/,https://twitter.com/amazon,https://www.instagram.com/amazon/
7,China Construction Bank,https://www.facebook.com/people/China-construction-bank/100070125410227/,https://twitter.com/efd_dff/status/1121698241098256385,https://www.instagram.com/explore/locations/1020937200/china-construction-bank/
8,Agricultural Bank of China,https://www.facebook.com/agriculturalbank/,https://twitter.com/wublockchain/status/1406920364299411459,https://www.instagram.com/explore/locations/1016493539/washington-dc/agricultural-bank-of-china/
9,ICBC,https://it-it.facebook.com/theICBC/,https://twitter.com/icbc,https://www.instagram.com/theicbc/
10,Aramco,https://www.facebook.com/aramco/,https://twitter.com/aramco,https://www.instagram.com/aramco/
11,Berkshire Hathaway,https://www.facebook.com/BHHSRealEstate/,https://twitter.com/warrenbuffett,https://www.instagram.com/berkshirehathawayincofficial/?hl=it
12,JPMorgan,https://www.facebook.com/jpmorgan/,https://twitter.com/jpmorgan,https://www.instagram.com/jpmorgan/
13,Bank of America,https://www.facebook.com/BankofAmerica/,https://twitter.com/bankofamerica,https://www.instagram.com/bankofamerica/
14,Toyota Motor,https://it-it.facebook.com/ToyotaItalia/,https://twitter.com/toyota_italia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/toyota/?hl=it
15,Alphabet,https://www.facebook.com/alphabet/,https://twitter.com/alphabetlnc,https://www.instagram.com/alphabet.official/
16,Microsoft,https://it-it.facebook.com/Microsoft/,https://twitter.com/microsoft,https://www.instagram.com/microsoft/
17,Bank of China,https://www.facebook.com/bankofchina.cn/,https://twitter.com/cbankingeditor,https://www.instagram.com/boc_officialaccount/?hl=it
18,Samsung Group,https://it-it.facebook.com/SamsungItalia/,https://twitter.com/SamsungItalia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/samsung/
19,ExxonMobil,https://www.facebook.com/ExxonMobil/,https://twitter.com/exxonmobil,https://www.instagram.com/exxonmobil/
20,Shell,https://it-it.facebook.com/Shell/,https://twitter.com/shell,https://www.instagram.com/shell/
21,Ping An Insurance Group,https://www.facebook.com/pingangroup/,https://twitter.com/pingan_group,https://www.instagram.com/pingancompany/?hl=it
22,Wells Fargo,https://www.facebook.com/wellsfargo/,https://twitter.com/wellsfargo,https://www.instagram.com/wellsfargo/
23,Verizon Communications,https://www.facebook.com/verizon/,https://twitter.com/verizon,https://www.instagram.com/verizon/
