,company_name,company_facebook,company_twitter,company_instagram
0,Apple,14031481.0,88 Mln,289M
1,Amazon,5017069.0,5 Mln,38M
2,China Construction Bank,,,
3,Agricultural Bank of China,,,
4,ICBC,15811.0,22516,3868
5,Aramco,8276544.0,995213,315K
6,Berkshire Hathaway,104378.0,16 Mln,3448
7,JPMorgan,96476.0,698976,320K
8,Bank of America,2762915.0,947495,
9,Toyota Motor,780558.0,53220,5M
10,Alphabet,33434.0,573,
11,Bank of America,2762916.0,947495,239K
12,Toyota Motor,780558.0,53220,5M
13,Alphabet,33434.0,573,337
14,Bank of America,2762915.0,947495,239K
15,Toyota Motor,780558.0,53220,5M
16,Alphabet,33434.0,573,337
17,Microsoft,13001662.0,12 Mln,4M
18,Bank of China,,3132,240
19,Samsung Group,,253162,873K
20,ExxonMobil,3072075.0,335922,108K
21,Shell,9718381.0,571176,416K
22,Ping An Insurance Group,,1601,599
23,Wells Fargo,1158525.0,344787,123K
24,Verizon Communications,6780411.0,16 Mln,249K
25,ATT,,,
26,PetroChina,,235,7520
27,UnitedHealth Group,,39308,7343
28,Walmart,32541521.0,13 Mln,29M
29,China Merchants Bank,,,
30,Volkswagen Group,,161219,98M
31,Chevron,1199939.0,383398,679K
32,Citigroup,1209295.0,,112K
33,Tencent Holdings,,41911,4156
34,Total,10250032.0,649,113K
35,Postal Savings Bank Of China PSBC,,,
36,China Mobile,457442.0,11104,225K
37,Comcast,120444.0,181910,281K
38,Alibaba Group,621171.0,235889,122K
39,Meta Platforms,,139 Mln,
40,Allianz,17988.0,52063,104K
41,Morgan Stanley,120273.0,669974,301K
42,Goldman Sachs Group,298229.0,970226,219K
43,HSBC Holdings,3042374.0,198281,521K
44,BNP Paribas,239838.0,5718,318K
45,Johnson Johnson,,,
46,MercedesBenz Group,,39 Mln,363M
47,CVS Health,23817.0,67178,145K
48,Softbank,1371164.0,675715,421K
49,Sinopec,3134575.0,184116,1157
50,RBC,592898.0,108296,645K
51,Nestl,11669320.0,,176K
52,AXA Group,83100.0,8332,4815
53,Gazprom,,69336,
54,BP,,112412,108K
55,Intel,36624684.0,49 Mln,17M
56,TD Bank Group,841995.0,56914,525K
57,Nippon Telegraph Tel,,,
58,Reliance Industries,2333387.0,4497,4088
59,Industrial Bank,,2153,4706
60,Sony,347504.0,56 Mln,859K
61,Santander,,94200,2269
62,Mitsubishi UFJ Financial,,1841,
63,Taiwan Semiconductor,,3042,
64,Ford Motor,17426246.0,14 Mln,56M
65,LVMH Mot Hennessy Louis Vuitton,321611.0,190620,986K
66,Bank of Communications,,,
67,Procter Gamble,,,
68,BMW Group,301632.0,644514,129K
69,Petrobras,,506161,189K
70,Deutsche Telekom,128041.0,82718,511K
71,AbbVie,31983.0,77730,4905
72,Novartis,425272.0,10550,112K
73,General Motors,833044.0,799535,538K
74,Equinor,,19626,589K
75,China Life Insurance,,54,409
76,Roche Holding,7148.0,246619,569K
77,AIA Group,1376531.0,188,149K
78,MetLife,11160.0,54764,
79,BHP Group,280125.0,59901,236K
80,American Express,7958907.0,863891,238K
81,Stellantis,,89473,4772
82,Zurich Insurance Group,933017.0,60223,151K
83,Rosneft,,5636,852K
84,Rio Tinto,110743.0,76621,121K
85,Brookfield Asset Management,,2568,5470
86,Cigna,601129.0,51739,215K
87,Prudential Financial,561234.0,149358,296K
88,PepsiCo,394414.0,355216,117K
89,Merck Co,,,
90,Elevance Health,,36218,213
91,Bank of Nova Scotia,778458.0,106803,562K
92,American International Group,335634.0,43205,1776
93,Glencore International,205787.0,170593,229K
94,Cisco Systems,2007172.0,742379,487K
