,company_name,company_revenue,company_employees
0,Vertex Pharmaceuticals,$8.70 B,3.9
1,Verano Holdings,$0.81 B,3.888
2,AZZ,$1.17 B,3.885
3,F.N.B. Corporation,$1.33 B,3.884
4,Quanex Building Products,$1.22 B,3.86
5,Sensient Technologies,$1.42 B,3.844
6,CTS Corporation,$0.57 B,3.82
7,AMN Healthcare Services,$5.48 B,3.8
8,Ashland,$2.39 B,3.8
9,Graco,$2.12 B,3.8
10,Horizon Global,$0.67 B,3.8
11,Penumbra,$0.82 B,3.8
12,Churchill Downs,$1.69 B,3.8
13,Integra LifeSciences,$1.56 B,3.8
14,Standex,$0.74 B,3.8
15,CONMED,$1.06 B,3.8
16,Construction Partners,$1.30 B,3.8
17,H&R Block,$3.45 B,3.8
18,Blackstone Group,$9.84 B,3.795
19,Grid Dynamics,$0.29 B,3.763
20,Strategic Education,$1.06 B,3.742
21,Coinbase,$5.06 B,3.73
22,Pinterest,$2.77 B,3.728
23,Spire Energy,$2.19 B,3.71
24,Leslie's,$1.56 B,3.7
25,AspenTech,$0.84 B,3.7
26,Moderna,$20.67 B,3.7
27,Ryan Specialty Group,$1.66 B,3.69
28,HealthEquity,$0.83 B,3.688
29,Ribbon Communications,$0.81 B,3.685
30,E2open,$0.60 B,3.682
31,Grand Canyon Education,$0.90 B,3.68
32,Calavo Growers,$1.19 B,3.676
33,Groupon,$0.67 B,3.675
34,Rogers Corporation,$0.97 B,3.675
35,SunPower,$1.62 B,3.66
36,Interface,$1.30 B,3.646
37,Cable One,$1.71 B,3.628
38,StoneX Group,$66.03 B,3.615
39,ACI Worldwide,$1.43 B,3.61
40,Hancock Whitney,$1.32 B,3.607
41,Liberty Energy,$3.60 B,3.601
42,Dynatrace,$1.03 B,3.6
43,Insperity,$5.74 B,3.6
44,ONE Gas,$2.35 B,3.6
45,Blackbaud,$1.03 B,3.6
46,Hibbett Sports,$1.63 B,3.6
47,Atlas Technical Consultants,$0.59 B,3.6
48,Manhattan Associates,$0.74 B,3.6
49,SMART Global Holdings,$1.81 B,3.6
50,VIAVI Solutions,$1.27 B,3.6
51,Hawaiian Electric Industries,$3.49 B,3.597
52,Prosperity Bancshares,$1.10 B,3.592
53,Audacy,$1.25 B,3.586
54,Alpha Metallurgical Resources,$4.10 B,3.56
55,UMB Financial,$1.32 B,3.529
56,Paysafe,$1.48 B,3.5
57,Cresco Labs,$0.86 B,3.5
58,Reinsurance Group of America,$15.34 B,3.5
59,TriNet,$4.89 B,3.5
60,The Children's Place,$1.76 B,3.5
61,Evolent Health,$1.21 B,3.5
62,Conn's,$1.41 B,3.5
63,TriMas,$0.88 B,3.5
64,CME Group,$4.95 B,3.48
65,Schnitzer Steel,$3.28 B,3.471
66,Utz Brands,$1.35 B,3.469
67,Monster Beverage,$6.22 B,3.458
68,Materion,$1.71 B,3.443
69,PBF Energy,$44.22 B,3.418
70,Sonida Senior Living,$0.23 B,3.4
71,Robinhood,$1.34 B,3.4
72,Allison Transmission,$2.69 B,3.4
73,Atkore,$3.91 B,3.4
