,company_name
0,A LIMITED
1,A LIMITED
2,A & P (ESTATES & INVESTMENTS) LIMITED
3,A AND U INVESTMENTS LIMITED
4,ACRIS COURT 27 A LIMITED
5,A PROPERTY LIMITED
6,A R KING DISCRETIONARY SETTLEMENT
7,A K INSPIRING LTD
8,A & FN OVERSEAS HOLDINGS LIMITED
9,A A ABBEY ROOFING & BUILDING CONTRACTORS LTD
10,A A A CURRY HOUSE LTD
11,A A ADAMS LIMITED
12,A A A EAGLES LTD
13,A A A LETTING & MAINTENANCE LTD
14,A A A MOTORS LIMITED
15,A A & A AUTOS LTD
16,AA & A CONSTRUCTIONS LTD
17,A A & A INVESTMENTS LIMITED
18,"A, A & A PROPERTY LTD"
19,A A & A STEPHEN (BURPHAM) LTD.
20,AA & A TRADERS LTD
21,A A & B LTD
22,A A & D FRASER LIMITED
23,A A & E SERVICES LTD
24,A A & EVA LIMITED
25,A A & F LTD
26,A A & G M ENTERPRISES LTD
27,A A & K ENTERPRISES LIMITED
28,A A & K LETTINGS LIMITED
29,A A & S INVESTMENTS LLP
30,A A & S J FAULKNER LIMITED
31,A A  &  S  PROPERTIES LIMITED
32,A A AND T (WM) LTD
33,A A AND Z PROPERTIES LTD
34,A. A. ANNOH LTD.
35,A A ANYAMELE & SONS LIMITED
36,A A APPLIANCE SERVICE LIMITED
37,A AARAN LTD
38,A. A. ARBITRAGE LTD
39,A A ARBORISTS LIMITED
40,A A A SCAFFOLD LIMITED
41,A A A SCAFFOLD YORKSHIRE LTD
42,A A A S ENTERPRISE LTD
43,A A AUTOS SLOUGH LIMITED
44,A A AUTOVAN LEISURE LTD
45,A A BAH LIMITED
46,A A BAILEY LTD
47,A A BAKERS (SCOTLAND) LTD.
48,A A BALLANTYNE (PROPERTIES) LTD
49,A  A  BALL  SERVICES LIMITED
50,A A B AUTOMOTIVE LIMITED
51,A. ABBOTT AND SONS (RUSHDEN) LIMITED
52,A A B COMMUNICATION LIMITED
53,A ABDIKARIM TRANSPORT LTD
54,A ABDULLAH LOGISTICS LIMITED
55,A ABDURRAHMAN IT CONSULTANT LTD
56,A A BEER LIMITED
57,A ABEIDI LIMITED
58,A A B ELECTRICAL AND PLUMBING CONTRACTORS LTD
59,A ABERCROMBIE LIMITED
60,A A BESPOKE WOODWORK LTD
61,A A B ESTATES LIMITED
62,A A BLOW INVESTMENTS LIMITED
63,A A BOILERS LTD
64,A A BOLTON PROPERTIES LTD
65,A A BOND & SONS LIMITED
66,A A BRADLEY BUILDERS LIMITED
67,A ABRAHAM LIMITED
68,A A BRAMLEY LIMITED
69,A A BROTHERS LIMITED
70,A A BROWN LIMITED
71,A ABU LIMITED
72,A ABUBAKAR ENGINEERING LTD
73,A A BUCKINGHAM LIMITED
74,A A BUILDERS MANCHESTER LIMITED
75,A A BUILDING SERVICES LIMITED
76,A A BUSH ELECTRICAL LIMITED
77,A A BUTLER SECURITY LTD
78,A ACADEMY TUTORIALS LTD
79,A A CANNON LIMITED
80,A A CANOPIES & VENTILATION SERVICES LTD
81,A A CANOPY AND VENTILATION CLEANING LTD
82,A A CARPENTRY & BUILDERS LIMITED
83,A A CARPETS AND FURNITURE STORE LIMITED
84,A A CARROTS LIMITED
85,A A CARS (NW) LTD
86,A A CASTLE LTD
87,A A CATERING EQUIPMENT SERVICES LIMITED
88,A A C CARMEN LTD
89,A ACCOUNTANTS LIMITED
90,A A C FINANCE LIMITED
91,A A CHAPMAN LTD
92,A A CHEFANI LIMITED
93,A. A. CHEMICAL CLEANING COMPANY LIMITED
94,A ACHIM LTD
95,A ACKLAM (CONSULTING) LTD
96,A ACKROYD TM LTD
97,A. A. C MANAGEMENT (UK) LIMITED
98,A A COLLINS ELECTRICAL LIMITED
99,A. A. COLUMN LIMITED
100,A A COMMERCIAL PROPERTIES LTD
101,A A COMMUNICATIONS (LEICESTER) LTD
102,A A CONSORTIUM LTD
103,A A CONSTABLE LTD
104,A A CONSULTANCY 1 LIMITED
105,A A CONSULT SERVICES PRO LTD
106,A A COOLING LIMITED
107,A A COOPER LTD
108,A A C PERFORMANCE LTD
109,A ACQUISITIONS LTD
110,A A CREATVIE LTD
111,A A C RENEWABLES & PLUMBING LIMITED
112,A A CROYDON HOLDINGS LIMITED
113,A A CUNNINGHAM LIMITED
114,A A CURRIES IN A HURRY LTD
115,A ADAM LTD
116,A. ADAMS & SON LIMITED
117,A. ADAMS (HAULAGE) LTD
118,A ADAMS SUPERVISORY SOLUTIONS LIMITED
119,A ADAN MARKETING LTD
120,A- (A DASH) LTD
121,A A DAVIES & CO LIMITED
122,A ADCOCK INVESTMENTS
123,A ADDICOTT PLUMBING AND HEATING SERVICES LIMITED
124,A A DECORATORS LIMITED
125,A. ADELEKAN LIMITED
126,A A DELIGHTS LIMITED
127,A A DELIVERY EXPRESS LTD
128,A A DEVELOPMENTS CORNWALL LIMITED
129,A A D HEATING LIMITED
130,A A DIPS LIMITED
131,A A DIXON LTD
132,A ADKINS TOURING LIMITED
133,A ADLY LIMITED
134,A A DOWSON LTD
135,A A D PLUMBING LTD
136,A A DRAINS LTD
137,A A D SURVEYING SERVICES LIMITED
138,A. A. DUBOSS LTD
139,A A DUFF LTD
140,A ADVERTISING LTD
141,A ADVISORS LTD
142,A A E ASSOCIATES LIMITED
143,AAE ELECTRICAL LTD
144,A A ELECTRICAL CONTRACTORS (SOLWAY) LIMITED
145,A A ELECTRICAL (EAST ANGLIA) LTD
146,A A ELECTRICAL INSTALLATIONS LTD
147,A A ELECTRICAL SERVICES LIMITED
148,A A EMPIRE LTD
149,A A ENTERPRISE PROPERTY LTD
150,A A ESSEX HOLDINGS LIMITED
151,A AESTHETIC CLINIC LONDON LTD
152,A AESTHETICS TREATMENTS LTD
153,A A EXPRESS SOLUTIONS LIMITED
154,A A EXPRESS TRAVEL LTD
155,A A F ACCOUNTANCY LTD
156,A A FASHIONWEAR LTD
157,A A FAYLI LTD
158,A A FENCING LIMITED
159,A. A. FINE CASTING LIMITED
160,A A FLAGS LIMITED
161,A A F M S LIMITED
162,A A FORD LIMITED
163,A A F PROPERTIES LTD
164,A A FREEMAN & SON LTD
165,A AFRIDI LIMITED
166,A AFRIYIE LTD
167,A A FROZEN FOOD LIMITED
168,A AGAFITEI STUDIO LTD
169,A A GARAGE LTD
170,A A GARDEN SERVICES LIMITED
171,A A GARDNER & SONS LIMITED
172,A A GAS (MIDLANDS) LTD
173,A A GBOLADE LIMITED
174,A A GENERAL HAULAGE LIMITED
175,A A GILL LIMITED
176,A A GILLESPIE LIMITED
177,A A GLAZE LIMITED
178,A A GLAZING (BRISTOL) LIMITED
179,A. A. GLEDHILL MANAGEMENT SERVICES LIMITED
180,A A GLOBAL ENTERPRISE LIMITED
181,A A  GLOBAL MEDICAL SERVICES LTD
182,A A G L TRADING LIMITED
183,A A GOLDSTEIN LTD
184,A A GREERE LTD
185,A A G RENTALS LIMITED
186,A A GROUP UK HOLDINGS LIMITED
187,A A G TRAINING AND CONSULTANCY LIMITED
188,A A GUEST ROOMS LTD
189,A AHAD & CO LTD
190,A A HAIR LTD
191,A A HALAL MEAT LIMITED
192,A A HALAL MEAT & GROCERY LTD
193,A. A. HARPER LIMITED
194,A A HASSIM INVESTMENTS LIMITED
195,A A HAULAGE LIMITED
196,A A HAZARA BUILDERS LTD
197,A. A HEALTH CARE FOREVER LTD
198,A AHEER WY LTD
199,A A H ENGINEERING SERVICES  LIMITED
200,A A HENRY LIMITED
201,A A HENRY & SONS LIMITED
202,A A H IMPROVEMENTS LIMITED
203,A A H L LTD
204,A AHMAD PHARMA LIMITED
205,A. AHMED & CO (ACCTT) LTD
206,A AHMED CONSULTING LTD
207,A AHMED MEDICAL LTD
