,company_name,company_location
0,"CNHI, LLC",UNITED STATES
1,CRAIG & ROSE LIMITED,UNITED KINGDOM
2,SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,ITALY
3,BIH REAL ESTATE OU,ESTONIA
4,"DEVELOPMENTAL SERVICES, CALIFORNIA DEPARTMENT OF",UNITED STATES
5,QIOPTIQ PHOTONICS LIMITED,UNITED KINGDOM
6,CRISTINA SRL,ITALY
7,RECTICEL OU,ESTONIA
8,"LAIRD TECHNOLOGIES, INC.",UNITED STATES
9,DESIGNERS GUILD LIMITED,UNITED KINGDOM
10,BANCA PICCOLO CREDITO VALTELLINESE SPA,ITALY
11,SEB PANK AS,ESTONIA
12,"UNIVERSAL MUSIC GROUP DISTRIBUTION, CORP.",UNITED STATES
13,NATIONAL GRID GRAIN LNG LIMITED,UNITED KINGDOM
14,IVECO GROUP N.V.,ITALY
15,TBB PANK AS,ESTONIA
16,"UNIVERSAL MUSIC GROUP, INC.",UNITED STATES
17,LACTALIS MCLELLAND LIMITED,UNITED KINGDOM
18,DALMATA SPA,ITALY
19,SIMPES GRUPP OU,ESTONIA
20,"UNIVERSAL MUSIC INVESTMENTS, INC.",UNITED STATES
21,LACTALIS (UK) LIMITED,UNITED KINGDOM
22,INTESA SANPAOLO ASSICURA SPA,ITALY
23,SWEDBANK SUPPORT OU,ESTONIA
24,"INTERNATIONAL SOURCING COMPANY, INC.",UNITED STATES
25,RONLY LIMITED,UNITED KINGDOM
26,CIRO PAONE SPA,ITALY
27,ASTEL GARDEN GROUP OU,ESTONIA
28,"BRIDGESTONE AMERICAS, INC.",UNITED STATES
29,THE ENCORE GROUP (ENVELOPES AND PACKAGING) LIMITED,UNITED KINGDOM
30,DIAMALTERIA ITALIANA SRL,ITALY
31,ABC GARDEN OU,ESTONIA
32,"UNITED RENTALS, INC.",UNITED STATES
33,DASSAULT SYSTEMES UK LIMITED,UNITED KINGDOM
34,CREMOFIN SRL,ITALY
35,BRANDGATE GROUP OU,ESTONIA
36,MERCK SHARP & DOHME LLC,UNITED STATES
37,IMPERIAL COLLEGE LONDON LIMITED,UNITED KINGDOM
38,FEDRIGONI SPA,ITALY
39,AURUM OU,ESTONIA
40,MERCK SHARP & DOHME (I.A.) LLC,UNITED STATES
41,Nottinghamshire Healthcare N H S Foundation Trust,UNITED KINGDOM
42,EIFFAGE INFRAESTRUCTURAS SA,ITALY
43,BOLT TECHNOLOGY OU,ESTONIA
44,MERCK SHARP & DOHME (ARGENTINA) INC.,UNITED STATES
45,LIBERTY FINANCE MANAGEMENT (LIG) LTD,UNITED KINGDOM
46,SAFE SPA,ITALY
47,GAME MACHINE OU,ESTONIA
48,HL MANDO AMERICA CORPORATION,UNITED STATES
49,GCP ASSET MANAGEMENT (UK) LTD,UNITED KINGDOM
50,STMICROELECTRONICS SRL,ITALY
51,MILWORKS OU,ESTONIA
52,"HYATT HOTELS OF FLORIDA, INC.",UNITED STATES
53,GARNET UK 7 NEW LIMITED,UNITED KINGDOM
54,TRAVAGLINI LOGISTIC AND TRANSPORT SRL,ITALY
55,BOLT OPERATIONS OU,ESTONIA
