categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']",-0.34%,-9.74%,USA,1aeb78c70807445290795f145210a39e,$2.351 T,Apple,1,$147.81
"['Pharmaceuticals', 'Biotech']",0.31%,46.42%,USA,8443bd488b2543718e4dab19e7d1b371,$172.49 B,Bristol-myers Squibb,57,$81.13
"['Banks', 'Financial services']",-1.98%,-6.07%,USA,d35ff63680a645f986048ab48d2fe322,$175.05 B,Wells Fargo,56,$45.94
"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']",1.29%,-34.00%,USA,0664af11c7b9417bab58542ffa880c0e,$175.54 B,Nike,55,$112.20
"['Entertainment', 'Dow jones']",0.85%,-32.45%,USA,4a67737ea89e450b8e8677a91e90327f,$177.08 B,Walt Disney,54,$99.43
['Medical devices'],0.15%,-15.80%,USA,078fc42523be4528a0eb804f7ceb4ddf,$188.46 B,Abbott Laboratories,53,$108.09
['Professional services'],-0.89%,-17.84%,Ireland,d38f5769cb644305bf77af14794bd780,$189.25 B,Accenture,52,$300.13
['Telecommunication'],0.40%,38.10%,USA,97f59071fdc74c589f7ad77a8903f429,$189.62 B,T-mobile Us,51,$152.41
"['Pharmaceuticals', 'Biotech']",0.19%,12.56%,Switzerland,9fe6e0ddabc04a8ebc3d091c9e3071f2,$194.41 B,Novartis,50,$89.99
"['Automakers', 'Manufacturing']",-0.77%,-20.00%,Japan,03ad6161d67b479588cd2cdcf7e0b3d5,$199.92 B,Toyota,48,$146.53
['Conglomerate'],-0.11%,-13.23%,USA,e44046a2f67e4062823fb2f75e3edd7f,$199.62 B,Danaher,49,$274.23
"['Restaurant chains', 'Dow jones', 'Food']",0.00%,9.89%,USA,af046f3fff4f48a598f3a5b14577a590,$200.24 B,Mcdonald,47,$273.40
"['Banks', 'Financial services']",-2.30%,-10.91%,China,a2720ae15d4745578a8ab1b5d3fb3db2,$201.96 B,Icbc,46,$0.49
"['Consumer goods', 'CAC 40', 'Cosmetics and Beauty']",0.66%,-15.71%,France,b568ec4c2bc340ac84c13758f1aa1d62,$204.92 B,L'oréal,44,$379.90
"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']",-0.54%,-11.49%,USA,53570c24ff194326bc028c09f4d7ea22,$204.17 B,Cisco,45,$49.70
"['Oil&Gas', 'Energy']",-0.57%,31.57%,UK,6872065415084028ac623ff75960e708,$206.97 B,Shell,43,$57.72
"['Retail', 'Supermarket Chains']",-1.85%,-5.90%,USA,c55fcaae5766410086136058e5b43c6d,$218.88 B,Costco,41,$494.53
"['Pharmaceuticals', 'Biotech']",0.19%,24.97%,UK,144b8ddc219c44ad956c4781a1f629fd,$213.83 B,Astrazeneca,42,$68.47
"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']",-0.28%,-10.29%,USA,e3386793215d497fb47a51cd80ce7f22,$220.80 B,Thermo Fisher Scientific,39,$563.00
"['Semiconductors', 'Tech']",-1.81%,-2.11%,USA,0b7e1b00e5014e4b8792d845e132d156,$219.02 B,Broadcom,40,$540.80
['Conglomerate'],-0.04%,1.03%,India,6ba9e5b462a04029bcccfdc2ab95c3dc,$226.23 B,Reliance Industries,37,$33.44
"['Tech', 'Software']",-0.90%,-7.38%,USA,4535db9cb7d141bc9b893ba49d26d5bb,$224.72 B,Oracle,38,$83.35
"['Semiconductors', 'Tech', 'Tech Hardware']",-0.91%,-23.27%,Netherlands,a61cf8da5db749b6881706f13e458a43,$247.88 B,Asml,35,$605.71
"['E-Commerce', 'Tech', 'Internet', 'Retail']",4.79%,-26.18%,China,9d3f40983f3f4e23baea0c4f76747d6d,$240.69 B,Alibaba,36,$90.06
"['Pharmaceuticals', 'Dow jones', 'Biotech']",0.22%,48.92%,USA,5c23590bf0ed4f638e694bac3ec432c4,$278.99 B,Merck,31,$110.04
"['Beverages', 'Dow jones']",0.88%,21.25%,USA,a3800a0eb5234939b4d9952715a2fd4e,$278.28 B,Coca-cola,32,$64.35
"['Pharmaceuticals', 'Biotech']",-0.56%,-16.63%,Switzerland,9c59e22de2e94722ac0cf47bf78c3526,$270.73 B,Roche,33,$329.15
"['Pharmaceuticals', 'Biotech']",0.61%,19.00%,Denmark,ba491303dd7f41ec995a6ae4012dadb4,$285.74 B,Novo Nordisk,30,$126.90
"['Biotech', 'Pharmaceuticals']",1.26%,40.04%,USA,bb6653c1a8a34e5986c334d9e08053ad,$289.42 B,Abbvie,28,$163.66
"['Pharmaceuticals', 'Biotech']",-0.33%,-4.02%,USA,57e8c2311cac4ae8a8dcf704263fadda,$285.77 B,Pfizer,29,$50.91
"['Alcoholic beverages', 'Beverages']",0.19%,-23.36%,China,1ab0ccf2fae54fe386ff71baa18ae409,$292.41 B,Kweichow Moutai,26,$232.78
"['Banks', 'Financial services']",-1.29%,-19.63%,USA,bd288e9353194055bf8dabe7f6924056,$289.44 B,Bank Of America,27,$36.08
['Food'],-0.63%,-5.70%,Switzerland,1544f5604f3d49cba7489b7704ce1017,$331.82 B,Nestlé,23,$120.66
"['Tech', 'Internet']",2.53%,-60.21%,USA,7a90f062c1ce4cd78156c0433b431e81,$327.43 B,Meta Platforms (facebook),24,$123.49
"['Tech', 'Electronics', 'Tech Hardware', 'Manufacturing', 'Semiconductors']",-3.51%,-27.73%,South Korea,5d46c92b7e2f4f8886d0814f6c10f4df,$312.57 B,Samsung,25,$46.54
"['Retail', 'Dow jones']",0.28%,-19.56%,USA,4bd4d2e0621e4f1a9832e04d75491ee7,$334.28 B,Home Depot,22,$327.99
"['Oil&Gas', 'Dow jones', 'Energy']",-0.80%,57.23%,USA,b13f2a823d1b43f3a10de1ea4c864839,$350.04 B,Chevron,20,$181.03
['Financial services'],-0.21%,12.45%,USA,4969e3d2089941c2b44e8915b1ed7b7d,$346.18 B,Mastercard,21,$360.06
