Company,Facebook,Twitter,Instagram,Pinterest
Apple,14031481,88 Mln,289M,
Amazon,5017069,5 Mln,38M,7126mila
China Construction Bank,,,,
Agricultural Bank of China,,,,
ICBC,15811,22516,3868,
Aramco,8276544,995213,315K,16
Berkshire Hathaway,104378,16 Mln,3448,
JPMorgan,96476,698976,320K,
Bank of America,2762915,947495,,102mila
Toyota Motor,780558,53220,5M,
Alphabet,33434,573,,
Bank of America,2762916,947495,239K,102mila
Toyota Motor,780558,53220,5M,
Alphabet,33434,573,337,
Bank of America,2762915,947495,239K,102mila
Toyota Motor,780558,53220,5M,
Alphabet,33434,573,337,
Microsoft,13001662,12 Mln,4M,
Bank of China,,3132,240,
Samsung Group,,253162,873K,0
ExxonMobil,3072075,335922,108K,
Shell,9718381,571176,416K,
Ping An Insurance Group,,1601,599,
Wells Fargo,1158525,344787,123K,71mila
Verizon Communications,6780411,16 Mln,249K,264mila
ATT,,,,
PetroChina,,235,7520,
UnitedHealth Group,,39308,7343,
Walmart,32541521,13 Mln,29M,19Mln
China Merchants Bank,,,,
Volkswagen Group,,161219,98M,
Chevron,1199939,383398,679K,
Citigroup,1209295,,112K,135
Tencent Holdings,,41911,4156,
Total,10250032,649,113K,
Postal Savings Bank Of China PSBC,,,,
China Mobile,457442,11104,225K,
Comcast,120444,181910,281K,63mila
Alibaba Group,621171,235889,122K,
Meta Platforms,,139 Mln,,
Allianz,17988,52063,104K,270
Morgan Stanley,120273,669974,301K,
Goldman Sachs Group,298229,970226,219K,
HSBC Holdings,3042374,198281,521K,
BNP Paribas,239838,5718,318K,
Johnson Johnson,,,,
MercedesBenz Group,,39 Mln,363M,
CVS Health,23817,67178,145K,5
Softbank,1371164,675715,421K,
Sinopec,3134575,184116,1157,
RBC,592898,108296,645K,
Nestl,11669320,,176K,84mila
AXA Group,83100,8332,4815,
Gazprom,,69336,,
BP,,112412,108K,
Intel,36624684,49 Mln,17M,178mila
TD Bank Group,841995,56914,525K,12mila
Nippon Telegraph Tel,,,,
Reliance Industries,2333387,4497,4088,
Industrial Bank,,2153,4706,
Sony,347504,56 Mln,859K,547mila
Santander,,94200,2269,
Mitsubishi UFJ Financial,,1841,,
Taiwan Semiconductor,,3042,,
Ford Motor,17426246,14 Mln,56M,336
LVMH Mot Hennessy Louis Vuitton,321611,190620,986K,
Bank of Communications,,,,
Procter Gamble,,,,
BMW Group,301632,644514,129K,
Petrobras,,506161,189K,
Deutsche Telekom,128041,82718,511K,35
AbbVie,31983,77730,4905,3
Novartis,425272,10550,112K,2
General Motors,833044,799535,538K,
Equinor,,19626,589K,
China Life Insurance,,54,409,
Roche Holding,7148,246619,569K,
AIA Group,1376531,188,149K,
MetLife,11160,54764,,
BHP Group,280125,59901,236K,
American Express,7958907,863891,238K,99mila
Stellantis,,89473,4772,
Zurich Insurance Group,933017,60223,151K,
Rosneft,,5636,852K,
Rio Tinto,110743,76621,121K,
Brookfield Asset Management,,2568,5470,
Cigna,601129,51739,215K,11mila
Prudential Financial,561234,149358,296K,12mila
PepsiCo,394414,355216,117K,42mila
Merck Co,,,,
Elevance Health,,36218,213,
Bank of Nova Scotia,778458,106803,562K,
American International Group,335634,43205,1776,2
Glencore International,205787,170593,229K,
Cisco Systems,2007172,742379,487K,42
AnheuserBusch InBev,,33771,,19
Walt Disney,37386904,717562,355M,
Chubb,47442,28592,7843,0
CITIC,,279,1676,
Lloyds Banking Group,8575,25492,8426,
IBM,2908549,704078,540K,
Sanofi,72339,18285,9027,89
United Parcel Service,1988083,269318,172K,
British American Tobacco,,23399,,
UBS,236473,521744,955K,122
Honda Motor,1766417,11 Mln,668K,
Mitsubishi,98146,288095,606K,
China State Construction Engineering,1100473,99811,34K,
State Bank of India,,45 Mln,23M,85mila
Commonwealth Bank,779001,100764,375K,
Shanghai Pudong Development,,,,
Raytheon Technologies,,196312,496K,
Enel,1020025,6409,465K,13
Eni,316964,65893,454K,92
Capital One,3936093,214650,133K,112mila
Bristol Myers Squibb,136167,157083,151K,
CocaCola,108964771,34 Mln,28M,
Oracle,2971442,814230,326K,29mila
Sberbank,435950,,701K,
Bank of Montreal,178104,57156,227K,
Vale,,1188,100K,71mila
EDF,39147,70117,246K,6
Thermo Fisher Scientific,145113,64707,425K,
Credit Agricole,198526,3543,8923,237
AIRBUS,,802748,21M,
Costco Wholesale,757212,59717,,1425mila
Hon Hai Precision,,969,,
Unilever,3967851,238230,186K,55mila
Charter Communications,,19808,,
Sumitomo Mitsui Financial,,145,,
ConocoPhillips,71622,163937,333K,
GlaxoSmithKline,407584,241084,896K,
Intesa Sanpaolo,516083,17257,546K,
Manulife,166268,16256,155K,
US Bancorp,331646,44709,421K,27mila
BASF,495752,2218,1737,
CNOOC,,,316,
Abbott Laboratories,,34909,131K,
Iberdrola,96427,80394,623K,139
China Shenhua Energy,,,226K,
Ita Unibanco Holding,,,956K,
Caterpillar,175001,147549,846K,
Mitsui,,404,,
Itochu,,195,359,
Charles Schwab,267848,128747,468K,11mila
Truist Financial,354771,13431,428K,
Enbridge,35438,26080,3290,
Hitachi,359212,128954,431K,
KDDI,,,0,
Hyundai Motor,777485,324024,12M,
China Citic Bank,10437,279,,
Visa,22370216,2784,128K,74mila
Target,,21 Mln,52M,44Mln
BBVABanco Bilbao Vizcaya,5871545,24 Mln,194K,
tesla,,184 Mln,95M,
Deere Company,,,,
HDFC Bank,2928470,574196,305K,545
Barclays,619141,303012,471K,470
Munich Re,29604,63996,948,
Japan Post Holdings,,,,
Walgreens,4204623,839427,347K,141mila
Danaher,10855,294,502K,126
Generali Group,238965,11377,148K,
MllerMaersk,3088887,114226,307K,
Lowes,4800057,299473,882K,38Mln
FedEx,3023209,324471,144M,107mila
Deutsche Post,280417,45185,353K,
PNC Financial Services,345422,39018,291K,35mila
Broadcom,16936,52390,7,
LukOil,22334,3833,584,
Medtronic,,83865,4720,248
SAP,30092,301870,227K,11
SK Hynix,6704,,68K,
ENGIE,716744,14688,334K,297
Lockheed Martin,,504823,525K,
BlackRock,,571803,886K,
Westpac Banking Group,266407,59544,214K,
Duke Energy,,119385,221K,
Dell Technologies,1574265,52791,867K,108mila
VINCI,,19854,93K,
Tokio Marine Holdings,150885,799,208K,
Amrica Mvil,,,2492,
EON,772665,4744,9098,
Anglo American,601491,150026,27K,
Banco Bradesco,5039438,209765,535K,
ING Group,,11175,182,
Accenture,42806,551790,176K,
Honeywell International,165005,65685,356K,
Mizuho Financial,,5862,,
Linde,,15808,102K,
ArcelorMittal,,46974,7112,4
Canadian Imperial Bank,411052,121058,416K,
Poly Developments Holdings Group,,,,
Micron Technology,9903,27221,2892,
ANZ,378971,124570,245K,5
Fubon Financial,,,2829,
China Telecom,141295,4390,,
HCA Healthcare,39221,16386,135K,19
Dow,17594,,108K,
Telefnica,990,87179,482K,
China Vanke,17620,,,
NAB National Australia Bank,262624,70977,188K,
Cathay Financial,,736,2744,
Qualcomm,2758254,452104,193K,223
LOral,,20324,10M,
Allstate,257,85998,353K,82mila
SAIC Motor,,620,1962,
ICICI Bank,5361157,731954,328K,5
China Everbright Bank,,,,
Gilead Sciences,24628,72736,4478,10
China Pacific Insurance,,4,336,
NVIDIA,6735069,19 Mln,2M,28mila
Amgen,31636,124683,2816,
Union Pacific,,56526,574K,
Daiichi Life Insurance,,670,332K,
Nike,,95 Mln,253M,
Takeda Pharmaceutical,,27987,,
Philip Morris International,,30927,,
PayPal,6612755,916662,533K,
China Resources Land,,,2339,
OverseaChinese Banking,673377,19431,134K,
Midea Group,1593086,13266,14K,
Travelers,53381,65668,282K,
Eli Lilly,239838,139824,264K,
Mondelez International,275062,32175,551K,
McDonalds,81943189,47 Mln,496K,
General Electric,2180258,444149,476K,324mila
Socit Gnrale,,,231K,
Schneider Electric,1848346,67690,119K,688
3M,4714401,13 Mln,227K,
Aflac,62971,60137,194K,
Oil Natural Gas,,,,
Southern Company,,59501,3374,0
Deutsche Bank,6320,677063,552K,
PTT,,,372K,362mila
CK Hutchison,,,,
Canadian Natural Resources,,6956,,
Sun Life Financial,120763,24436,114K,
Northrop Grumman,,265899,236K,87
Archer Daniels Midland,,8621,,
Marathon Petroleum,,9146,6767,
China Minsheng Bank,,,1012,
Legal General Group,,,,
Netflix,86584357,211 Mln,66M,
Progressive,516949,76311,934,73mila
Longfor Group Holdings,,,80,
DBS,,226417,311K,
Cosco Shipping,,10279,,
China Communications Construction,1741294,93636,2118,
NatWest Group,379916,71430,243K,
Exelon,,20377,579,
Humana,302040,44492,221K,200
General Dynamics,101144,6352,115K,
Power Corp of Canada,,,17K,
Qatar National Bank,4448701,262233,105K,170
Bayer,996624,184603,150K,
KKR,16688044,51 Mln,34M,641
Country Garden Holdings,,,2146,
NextEra Energy,,5809,45,
KB Financial Group,,120,238K,
China Railway Group,253507,19299,2625,
HP,2794105,11 Mln,12M,
Nordea Bank,,16063,,
Seven I Holdings,,,,
Suncor Energy,45686,40825,4685,
Salesforcecom,792505,587790,202K,89mila
Air Liquide,62248,435,2355,
Denso,,2312,1661,
Bank of New York Mellon,15467,38720,101K,
Mastercard,15785134,495026,2273,14mila
Banco do Brasil,3117373,264975,565K,
Centene,11427,5747,,
HDFC,2928473,574203,305K,545
FreeportMcMoRan,,3367,2527,
Merck KGaA Darmstadt Germany and its affiliates,,24264,2144,
CaixaBank,248681,67580,135K,341
ABB,786967,160011,100K,33
Volvo Group,37781,85659,133K,342
Occidental Petroleum,25,16479,2270,
National Grid,178958,8069,4054,31
McKesson,,22248,8330,817
Shinhan Financial Group,,2222,343K,
ASML Holding,125846,20889,177K,
Nutrien,13875,6617,2932,0
Investor AB,,13,20,
KIA,,15849,621K,
SaintGobain,386291,23774,271K,473
Novo Nordisk,722006,43785,844K,
Posco,,,308K,30
Diageo,,46457,4969,
Royal Ahold Delhaize NV,,3007,2082,
PICC,,,7966,
Dominion Energy,,64955,107K,
Kroger,1673484,165587,182K,827mila
Baoshan Iron Steel,,,,
Kweichow Moutai,2169673,385779,67K,
Xiaomi,670284,43 Mln,307K,
Bank of Ningbo,,,,
Ecopetrol,437589,252113,436K,4
LyondellBasell Industries,,11423,1977,
Contemporary Amperex Technology,,2632,,
UniCredit,,41407,7370,
AmerisourceBergen,11003,5831,2978,
EssilorLuxottica,,532,7295,
Inditex,,237,5464,550
Starbucks,35136241,111 Mln,179M,
Nucor,10456,3301,4669,
IntercontinentalExchange,,57343,262K,
TJX Cos,14908,1515,7368,1216mila
KBC Group,,5781,264,
Tesco,,660678,523K,1228mila
BOE Technology Group,,140,8939,
Blackstone,32470,124939,585K,
American Electric,41924,17745,88,
Macquarie Group,18543,14707,7041,
Marubeni,,,,
Swiss Re,,38695,6058,
EOG Resources,,347,,
CNP Assurances,,11401,1469,
Automatic Data Processing,,48959,,45
Phillips 66,25569,10465,7835,
Tyson Foods,293529,58808,144K,27mila
Repsol,205352,463679,592K,
Sumitomo,,1403,591,
Holcim,108619,42937,211K,
Altria Group,,9897,,
Applied Materials,12008,12692,2178,
