country,industry,market_capitalization_USD,name,sector,stock
United States,Consumer Electronics,2825000000000,Apple Inc.,Technology,AAPL
United States,Software—Infrastructure,2328000000000,Microsoft Corporation,Technology,MSFT
Saudi Arabia,Oil & Gas Integrated,2297000000000,Saudi Arabian Oil Company,Energy,2222
United States,Internet Content & Information,1825000000000,Alphabet Inc.,Communication Services,GOOG
United States,Internet Retail,1642000000000,"Amazon.com, Inc.",Consumer Discretionary,AMZN
United States,Auto Manufacturers,1016000000000,"Tesla, Inc.",Consumer Discretionary,TSLA
United States,Financial Conglomerates,798470000000,Berkshire Hathaway Inc.,Financials,BRK.A
United States,Semiconductors,660380000000,Nvidia Corporation,Technology,NVDA
United States,Internet Content & Information,617500000000,"Meta Platforms, Inc.",Communication Services,META
Taiwan,Semiconductors,527890000000,Taiwan Semiconductor Manufacturing Company Limited,Technology,2330
United States,Healthcare Plans,488520000000,UnitedHealth Group Incorporated,Healthcare,UNH
United States,Credit Services,486770000000,Visa Inc.,Financials,V
United States,Drug Manufacturers—General,475930000000,Johnson & Johnson,Healthcare,JNJ
China,Internet Content & Information,441170000000,Tencent Holdings Ltd,Communication Services,0700
United States,Discount Stores,429050000000,Walmart Inc.,Consumer Staples,WMT
United States,Banks,410840000000,JPMorgan Chase & Co.,Financials,JPM
United States,Household & Personal Products,384600000000,The Procter & Gamble Company,Consumer Staples,PG
South Korea,Consumer Electronics,378350000000,"Samsung Electronics Co., Ltd.",Technology,005930
France,Luxury Goods,359260000000,"LVMH Moët Hennessy - Louis Vuitton, SE",Consumer Discretionary,MC
United States,Credit Services,358600000000,Mastercard Incorporated,Financials,MA
United States,Banks,350840000000,Bank of America Corporation,Financials,BAC
Switzerland,Drug Manufacturers—General,349500000000,Roche Holding AG,Healthcare,ROG
United States,Oil & Gas Integrated,348720000000,Exxon Mobil Corporation,Energy,XOM
China,Beverages—Wineries & Distilleries,348220000000,Kweichow Moutai Co. Ltd,Consumer Staples,600519
United States,Home Improvement Retail,321470000000,"The Home Depot, Inc.",Consumer Discretionary,HD
United States,Oil & Gas Integrated,315130000000,Chevron Corporation,Energy,CVX
United States,Drug Manufacturers—General,300790000000,Pfizer Inc.,Healthcare,PFE
United States,Drug Manufacturers—General,294270000000,AbbVie Inc.,Healthcare,ABBV
China,Internet Retail,290400000000,Alibaba Group Holding Limited,Consumer Discretionary,9988
Netherlands,Semiconductor Equipment & Materials,274350000000,ASML Holding N.V.,Technology,ASML
United States,Beverages—Non-Alcoholic,273200000000,The Coca-Cola Company,Consumer Staples,KO
United States,Drug Manufacturers—General,273010000000,Eli Lilly and Company,Healthcare,LLY
United States,Semiconductors,265270000000,Broadcom Inc.,Technology,AVGO
United States,Discount Stores,258150000000,Costco Wholesale Corporation,Consumer Staples,COST
Denmark,Biotechnology,257240000000,Novo Nordisk A/S,Healthcare,NOVO.B
China,Banks,250370000000,Industrial & Commercial Bank of China Ltd,Financials,601398
United States,Entertainment,247880000000,The Walt Disney Company,Communication Services,DIS
United States,Beverages—Non-Alcoholic,241050000000,"PepsiCo, Inc.",Consumer Staples,PEP
United States,Communication Equipment,238450000000,"Cisco Systems, Inc.",Technology,CSCO
United States,Diagnostics & Research,236150000000,Thermo Fisher Scientific Inc.,Healthcare,TMO
United States,Software—Infrastructure,228180000000,Oracle Corporation,Technology,ORCL
France,Household & Personal Products,225240000000,L'Oréal SA,Consumer Staples,OR
Ireland,Information Technology Services,219030000000,Accenture plc,Technology,ACN
United States,Entertainment,218900000000,Comcast Corporation,Communication Services,CMCSA
United States,Telecom Services,216680000000,Verizon Communications Inc.,Communication Services,VZ
United States,Medical Devices,215020000000,Abbott Laboratories,Healthcare,ABT
United States,Footwear & Accessories,213600000000,"Nike, Inc.",Consumer Discretionary,NKE
Australia,Other Industrial Metals & Mining,211250000000,BHP Group,Basic Materials,BHP
United States,Drug Manufacturers—General,210380000000,"Merck & Co., Inc.",Healthcare,MRK
United States,Diagnostics & Research,208030000000,Danaher Corporation,Healthcare,DHR
United Kingdom,Oil & Gas Integrated,207680000000,Shell plc,Energy,SHEL
Switzerland,Drug Manufacturers—General,204130000000,Novartis AG,Healthcare,NOVN
United Kingdom,Drug Manufacturers—General,201750000000,AstraZeneca plc,Healthcare,AZN
United States,Semiconductors,201720000000,Intel Corporation,Technology,INTC
United States,Banks,200010000000,Wells Fargo & Company,Financials,WFC
United States,Software—Infrastructure,199570000000,Adobe Inc.,Technology,ADBE
United States,Software—Application,193800000000,"salesforce.com, inc.",Technology,CRM
United States,Integrated Freight & Logistics,190500000000,"United Parcel Service, Inc.",Industrials,UPS
China,Banks,189370000000,China Construction Bank Corp,Financials,601939
United States,Restaurants,186570000000,McDonald's Corporation,Consumer Discretionary,MCD
China,Banks,185980000000,China Merchants Bank Co Ltd,Financials,600036
China,Electrical Equipment & Parts,185670000000,Contemporary Amperex Technology Co. Ltd,Industrials,300750
United States,Railroads,184190000000,Union Pacific Corporation,Industrials,UNP
United States,Telecom Services,175880000000,AT&T Inc.,Communication Services,T
United States,Semiconductors,172250000000,Qualcomm Incorporated,Technology,QCOM
United States,Semiconductors,171280000000,Texas Instruments Incorporated,Technology,TXN
United States,Drug Manufacturers—General,170560000000,Bristol-Myers Squibb Company,Healthcare,BMY
Netherlands,Internet Content & Information,170000000000,Prosus N.V.,Communication Services,PRX
United Kingdom,Specialty Chemicals,166070000000,Linde plc,Basic Materials,LIN
United States,Utilities—Regulated Electric,165530000000,"NextEra Energy, Inc.",Utilities,NEE
China,Banks,165000000000,Agricultural Bank of China Ltd,Financials,601288
United States,Telecom Services,164310000000,"T-Mobile US, Inc.",Communication Services,TMUS
United States,Capital Markets,164050000000,Morgan Stanley,Financials,MS
United States,Entertainment,163190000000,"Netflix, Inc.",Communication Services,NFLX
Canada,Banks,159740000000,Royal Bank of Canada,Financials,RY
United States,Capital Markets,158060000000,The Charles Schwab Corporation,Financials,SCHW
United States,Tobacco,154710000000,Philip Morris International Inc.,Consumer Staples,PM
Ireland,Medical Devices,151060000000,Medtronic plc,Healthcare,MDT
United States,Aerospace & Defense,150960000000,Raytheon Technologies Corporation,Industrials,RTX
United States,Credit Services,150760000000,American Express Company,Financials,AXP
France,Luxury Goods,148980000000,Hermès International SCA,Consumer Discretionary,RMS
Canada,Banks,145410000000,Toronto-Dominion Bank,Financials,TD
China,Oil & Gas Integrated,144500000000,PetroChina Company Limited,Energy,601857
Australia,Banks,144320000000,Commonwealth Bank of Australia,Financials,CBA
United States,Home Improvement Retail,143770000000,"Lowe's Companies, Inc.",Consumer Discretionary,LOW
United States,Drug Manufacturers—General,141720000000,Amgen Inc.,Healthcare,AMGN
China,Banks,141220000000,Bank of China Ltd,Financials,601988
United Kingdom,Banks,140150000000,HSBC Holdings plc,Financials,HSBA
Hong Kong,Telecom Services,139300000000,China Mobile Ltd,Communication Services,0941
France,Oil & Gas Integrated,137500000000,TotalEnergies SE,Energy,TTE
United States,Specialty Industrial Machinery,136480000000,Honeywell International Inc.,Industrials,HON
United States,Oil & Gas E&P,136320000000,ConocoPhillips,Energy,COP
United States,Healthcare Plans,135270000000,CVS Health Corporation,Healthcare,CVS
China,Insurance—Life,134250000000,Ping An Insurance (Group) Company of China Ltd,Financials,601318
Germany,Software—Application,134190000000,SAP SE,Technology,SAP
United States,Credit Services,133920000000,"PayPal Holdings, Inc.",Financials,PYPL
France,Drug Manufacturers—General,132290000000,Sanofi,Healthcare,SAN
United States,Farm & Heavy Construction Machinery,130310000000,Deere & Company,Industrials,DE
United States,Semiconductors,128290000000,"Advanced Micro Devices, Inc.",Technology,AMD
United States,Software—Application,126770000000,Intuit Inc.,Technology,INTU
Japan,Consumer Electronics,126640000000,Sony Group Corporation,Technology,6758
United Kingdom,Other Industrial Metals & Mining,125840000000,Rio Tinto Group,Basic Materials,RIO
Hong Kong,Insurance—Life,125160000000,AIA Group Ltd,Financials,1299
United States,Aerospace & Defense,124980000000,Lockheed Martin Corporation,Industrials,LMT
United States,Farm & Heavy Construction Machinery,124130000000,Caterpillar Inc.,Industrials,CAT
Belgium,Beverages—Brewers,123590000000,Anheuser-Busch InBev SA/NV,Consumer Staples,ABI
Norway,Oil & Gas Integrated,122740000000,Equinor ASA,Energy,EQNR
France,Luxury Goods,122110000000,Christian Dior SE,Consumer Discretionary,CDI
United States,REIT—Industrial,121200000000,"Prologis, Inc.",Real Estate,PLD
United States,Semiconductor Equipment & Materials,121120000000,"Applied Materials, Inc.",Technology,AMAT
United States,Healthcare Plans,119800000000,"Anthem, Inc.",Healthcare,ANTM
United States,Information Technology Services,119200000000,International Business Machines Corporation,Technology,IBM
United Kingdom,Household & Personal Products,117840000000,Unilever plc,Consumer Staples,ULVR
United States,Asset Management,115980000000,"BlackRock, Inc.",Financials,BLK
India,Banks,115680000000,HDFC Bank Limited,Financials,HDB
United Kingdom,Beverages—Wineries & Distilleries,115580000000,Diageo plc,Consumer Staples,DGE
United States,REIT—Specialty,115110000000,American Tower Corporation (REIT),Real Estate,AMT
Germany,Specialty Industrial Machinery,114660000000,Siemens AG,Industrials,SIE
China,Internet Retail,114280000000,Meituan,Consumer Discretionary,3690
Japan,Scientific & Technical Instruments,113200000000,Keyence Corp,Technology,6861
United States,Capital Markets,112710000000,"The Goldman Sachs Group, Inc.",Financials,GS
Australia,Infrastructure Operations,110790000000,Transurban Group,Industrials,TCL
Spain,Apparel Retail,110650000000,"Industria de Diseño Textil, SA",Consumer Discretionary,ITX
United States,Aerospace & Defense,110460000000,The Boeing Company,Industrials,BA
United Kingdom,Drug Manufacturers—General,109980000000,GlaxoSmithKline plc,Healthcare,GSK
United States,Banks,109560000000,Citigroup Inc.,Financials,C
Germany,Auto Manufacturers,108630000000,Volkswagen AG,Consumer Discretionary,VOW3
United States,Restaurants,108190000000,Starbucks Corporation,Consumer Discretionary,SBUX
Brazil,Other Industrial Metals & Mining,107990000000,Vale SA,Basic Materials,VALE3
United States,Software—Application,107990000000,"ServiceNow, Inc.",Technology,NOW
United States,Discount Stores,106890000000,Target Corporation,Consumer Staples,TGT
India,Information Technology Services,106770000000,Infosys Limited,Technology,INFY
Saudi Arabia,Banks,106370000000,Al Rajhi Banking and Investment Corp,Financials,1120
United States,Internet Content & Information,105070000000,"Airbnb, Inc.",Communication Services,ABNB
United States,Entertainment,104970000000,"Charter Communications, Inc.",Communication Services,CHTR
China,Auto Manufacturers,104420000000,BYD Co Ltd,Consumer Discretionary,002594
Saudi Arabia,Chemicals,104000000000,Saudi Basic Industries Corp,Basic Materials,2010
Japan,Telecom Services,103750000000,Nippon Telegraph & Telephone Corp,Communication Services,9432
United States,Tobacco,102980000000,"Altria Group, Inc.",Consumer Staples,MO
United Kingdom,Tobacco,101440000000,British American Tobacco plc,Consumer Staples,BATS
United States,Medical Devices,101410000000,Stryker Corporation,Healthcare,SYK
United States,Financial Data & Stock Exchanges,100840000000,S&P Global Inc.,Financials,SPGI
United States,Household & Personal Products,100160000000,The Estée Lauder Companies Inc.,Consumer Staples,EL
United States,Specialty Industrial Machinery,99220000000,General Electric Company,Industrials,GE
Germany,Auto Manufacturers,98790000000,Daimler AG,Consumer Discretionary,DAI
Switzerland,Insurance—Property & Casualty,98570000000,Chubb Limited,Financials,CB
Germany,Insurance—Diversified,98470000000,Allianz SE,Financials,ALV
Brazil,Oil & Gas Integrated,98370000000,Petróleo Brasileiro S.A. - Petrobras,Energy,PBR
Netherlands,Aerospace & Defense,97410000000,Airbus SE,Industrials,AIR
China,Insurance—Life,97310000000,China Life Insurance Company Limited,Financials,LFC
United States,Staffing & Employment Services,96980000000,"Automatic Data Processing, Inc.",Industrials,ADP
United Kingdom,Oil & Gas Integrated,96240000000,BP plc,Energy,BP.
China,Thermal Coal,95340000000,China Shenhua Energy Company Ltd,Energy,601088
United States,Travel Services,95020000000,Booking Holdings Inc.,Consumer Discretionary,BKNG
Canada,Railroads,94960000000,Canadian National Railway Company,Industrials,CNR
Canada,Oil & Gas Midstream,94940000000,Enbridge Inc.,Energy,ENB
France,Specialty Industrial Machinery,94340000000,Schneider Electric SE,Industrials,SU
Germany,Telecom Services,93010000000,Deutsche Telekom AG,Communication Services,DTE
Germany,Drug Manufacturers—Specialty & Generic,90740000000,MERCK Kommanditgesellschaft auf Aktien,Healthcare,MRK
United States,Confectioners,90670000000,"Mondelez International, Inc.",Consumer Staples,MDLZ
China,Internet Retail,90460000000,"JD.com, Inc.",Consumer Discretionary,9618
United States,Chemicals,90340000000,Vulcan International Corp,Basic Materials,VULC
United States,Drug Manufacturers—Specialty & Generic,89820000000,Zoetis Inc.,Healthcare,ZTS
Australia,Biotechnology,89690000000,CSL Limited,Healthcare,CSL
United States,Specialty Industrial Machinery,88770000000,3M Company,Industrials,MMM
United States,Utilities—Regulated Electric,88760000000,Duke Energy Corporation,Utilities,DUK
Canada,Banks,87760000000,Bank of Nova Scotia,Financials,BNS
United States,Asset Management,87640000000,The Blackstone Group Inc.,Financials,BX
Canada,Asset Management,87460000000,Brookfield Asset Management Inc.,Financials,BAM.A
