address,headquarters,industry,market_cap,name,number_of_employees,revenue,telephone,website
"101 S Capitol Blvd Ste 1000, Boise, Idaho, 83702",United States of America,Environmental and Waste Management Services,,US Ecology Inc,"3,600",$988.0M,1 208 3318400,www.usecology.com
"50 Minuteman Drive, Andover, Massachusetts, 01810",United States of America,Aerospace and Defense,$2.7B,Mercury Systems Inc,"2,386",$988.2M,1 978 2561300,www.mrcy.com
"Xiwang Industrial Park, Zouping County, Binzhou, Shandong , 256209",China,Consumer Packaged Goods,$787.4M,Xiwang Foodstuffs Co Ltd,"1,892",$985.2M,86 543 4868888,www.xwsp.cc
"No. 19, Hi-Tech Zhongyi Avenue, Middle Area, Hi-Tech Zone , Nanshan Dist, Shenzhen, Guangdong, 518057",China,Pharmaceuticals and Healthcare,$2.7B,Shenzhen Hepalink Pharmaceutical Group Co Ltd,"2,046",$986.9M,86 755 26980311,www.hepalink.com
"Kingsoft Tower, No. 33, Xiaoying West Road, Haidian District, Beijing, 100085",Hong Kong,Technology and Communications,$5.0B,Kingsoft Corporation Ltd,"7,174",$987.8M,852  24050088,www.kingsoft.com
"11 Grosvenor Place, London, SW1X7HH",United Kingdom,Metals and Mining,,Petropavlovsk PLC,"8,860",$988.5M,7 495 3802810,petropavlovskplc.com
"Seelistrasse 1, Haag, Rheintal, 9469",Switzerland,Industrial Goods and Machinery,$9.5B,VAT Group AG,"2,897",$986.0M,41 81 7716161,www.vatvalve.com
"Uhlandstrasse 12, Darmstadt, 64297",Germany,Technology and Communications,$2.1B,Software AG,"5,052",$986.0M,49 6151 920,www.softwareag.com
"No. 3 A1, Road 10, Shenyang Economy & Technology, Development Zone, Liaoning , 110027",China,Pharmaceuticals and Healthcare,$2.7B,3SBio Inc,"5,160",$989.5M,86 24 25811820,www.3sbio.com
"2-3-4, Daiba, Minato-Ku, Tokyo, 135-8622",Japan,Construction,$821.6M,Nomura Co Ltd,"1,952",$988.9M,81 3 59621171,www.nomurakougei.co.jp
"No. 7, Jalan Tasik, Mines Resort City, Seri Kembangan, 43300",Malaysia,Energy and Utilities,$184.7M,Sapura Energy Bhd,"3,440",$990.0M,60 3 86598800,www.sapuraenergy.com
"Bruggesteenweg 360, Gits, Hooglede, 8830",Belgium,Construction,$387.8M,DeceunInck NV,"3,709",$991.0M,32 51 239211,www.deceuninck.com
"Hott, Tietotie 9, Vantaa, 01530",Finland,Transport and Logistics,$768.6M,Finnair Oyj,"5,358",$991.4M,358 6 00081881,company.finnair.com
"Peninsula Business Park, Tower-B, 2nd & 3rd Floor, G.K.Marg, Mumbai, 400013",India,Consumer Packaged Goods,$909.4M,Alok Industries Ltd,"26,231",$990.0M,91 22 61787000,www.alokind.com
"Linhai Economic Development Zone, Taizhou, Zhejiang, 317000",China,Construction,$5.4B,Zhejiang Weixing New Building Materials Co Ltd,"4,419",$990.3M,86 576 85225086,www.vasen.com
"Avenida Dos Estados Unidos Da America, 55, Lisboa, 1749-061",Portugal,Power,$1.8B,Redes Energeticas Nacionais SA,697,$991.3M,351 21 0013500,www.ren.pt
"41280 Bridge Street, 1000 Reynolds Rd, Novi, Michigan, 48375",United States of America,Automotive,$1.0B,The Shyft Group Inc,"3,800",$991.8M,1 517 5436400,theshyftgroup.com
"280 Park Ave Fl 16th, New York, 10017-1206",United States of America,Financial Services,$3.1B,PJT Partners Inc,833,$991.9M,1 212 3647800,pjtpartners.com
"Al Shoumoukh Towers, C Ring Road, Al-Sadd, P.O. Box 22271, Doha",Qatar,Energy and Utilities,$5.8B,Qatar Gas Transport Co Ltd,12,$991.4M,974  44998111,www.nakilat.com
"Gedung World Trade Center Ii, Jl. Jend. Sudirman Kav. 29-31, Jakarta Selatan, 12920",Indonesia,Financial Services,$2.4B,PT Bank Permata Tbk,"7,168",$992.8M,62 21 5237788,www.permatabank.com
"4978 Santa Anita Ave Ste 205, Temple City, California, 91780-3600",United States of America,Medical Equipment,$975.6M,Fulgent Genetics Inc,645,$992.6M,1 626 3500537,www.fulgentgenetics.com
"Office 201, 4 Profiti Ilia Street, Germasogeia, Limassol, 4046",Cyprus,Transport and Logistics,$799.2M,Globaltrans Investment PLC,"1,750",$993.1M,357 25 212382,www.globaltrans.com
"C2, 5th Floor,Hng Kng Spnrs Indstrl Bldg, 601-603 Tai Nan West Street, Cheung Sha Wan, Kowloon, Hong Kong",Hong Kong,Construction,$121.9M,Asia Allied Infrastructure Holdings Ltd,"6,150",$993.5M,852  37985711,www.asiaalliedgroup.com
"125 Summer Street, Boston, Massachusetts, 02110",United States of America,Medical Equipment,$4.4B,Haemonetics Corp,"2,821",$993.2M,1 781 8487100,www.haemonetics.com
