ceo,country,founded,industry,link,name,rank,revenue
Tim Cook,USA,1976,"['Technology', 'Mobiles & Accessories', 'Electronics', 'Consumer Electronics', 'Computers Hardware', 'Software and IT', 'Music', 'Tablets', 'Technology Hardware and Instruments', 'Retail', 'Artificial Intelligence', 'Laptops', 'Software Products']",https://www.value.today/company/apple,APPLE,1,"365,820 Million USD"
Mark Liu,Taiwan,1987,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Processors / Chips']",https://www.value.today/company/taiwan-semiconductor-manufacturing-company,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),10,"55,306 Million USD"
Satya Nadella,USA,1975,"['Technology', 'Software and IT', 'Laptops', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Gaming', 'Internet or Mobile App Based Business', 'Computers Hardware', 'Tablets', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Media', 'Electronics', 'Consumer Electronics', 'Advertising']",https://www.value.today/company/microsoft-corporation,MICROSOFT CORPORATION,2,"198,270 Million USD"
Jensen Huang,USA,1993,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Computers Hardware', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Artificial Intelligence']",https://www.value.today/company/nvidia-corporation,NVIDIA CORPORATION,9,"26,914 Million USD"
Andy Jassy,USA,1994,"['eCommerce', 'Internet or Mobile App Based Business', 'Cloud Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Consulting Services', 'Consumer Services', 'Software Products', 'Retail']",https://www.value.today/company/amazon.com,AMAZON.COM,5,"469,820 Million USD"
H.E. Yasir Othman Al-Rumayyan,Saudi Arabia,1933,"['Energy', 'Oil and Gas', 'Chemicals', 'Oil Refining', 'Oil and Gas Pipeline Transport', 'Integrated Oil and Gas Companies']",https://www.value.today/company/saudi-arabian-oil-company,SAUDI ARABIAN OIL COMPANY (Saudi Aramco),3,"400,460 Million USD"
Warren Buffett,USA,1839,"['Financial Services', 'Investments', 'Insurance']",https://www.value.today/company/berkshire-hathaway,BERKSHIRE HATHAWAY,8,"354,640 Million USD"
John L. Hennessy,USA,2015,"['Technology', 'Internet or Mobile App Based Business', 'Software and IT', 'Software Products', 'Cloud Services', 'Artificial Intelligence', 'Internet of Things', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Advertising', 'Media']",https://www.value.today/company/alphabet,ALPHABET,4,"257,640 Million USD"
Elon Musk,USA,2003,"['Electric Vehicles', 'Cars', 'Automobile', 'Solar Power Devices', 'Capital Goods', 'Power Equipment', 'Technology', 'Passenger Vehicles', 'Batteries', 'Electric Vehicle Charging Station']",https://www.value.today/company/tesla,TESLA,6,"53,823 Million USD"
Mark Zuckerberg,USA,2004,"['Communication Services', 'Internet or Mobile App Based Business', 'Social Media', 'Artificial Intelligence', 'Internet of Things', 'Advertising', 'Technology', 'Media', 'Software and IT', 'Software Products']",https://www.value.today/company/facebook,META PLATFORMS,7,"117,930 Million USD"
Lee Kun-hee,South Korea,1969,"['Technology', 'Electronics', 'Semiconductors', 'Mobiles & Accessories', 'Cameras & Accessories', 'Tablets', 'Home Appliances', 'Refrigerators', 'Air Conditioners', 'Washing Machines', ""TV's"", 'Consumer Electronics']",https://www.value.today/company/samsung-electronics,SAMSUNG ELECTRONICS,15,"229,280 Million USD"
Doug McMillon,USA,1962,"['Retail', 'Super Markets', 'eCommerce', 'Hypermarkets', 'Consumer Services']",https://www.value.today/company/walmart,WALMART,20,"572,750 Million USD"
Frank Blake,USA,1978,"['Retail', 'eCommerce', 'Construction Materials', 'Consumer Services']",https://www.value.today/company/home-depot,HOME DEPOT,17,"151,160 Million USD"
Bernard Arnault,France,1987,"['Fashion and Luxury Goods', 'Non-Alcoholic Beverages', 'Clothing', 'Jewellery', 'Watches', 'FMCG', 'Luxury Goods', 'Consumer Goods', 'Beverages']",https://www.value.today/company/lvmh,LVMH,18,"70,765 Million USD"
Andrew Witty,USA,1977,"['Healthcare', 'Healthcare Service', 'Insurance', 'HealthCare Products']",https://www.value.today/company/unitedhealth-group,UNITEDHEALTH GROUP,16,"285,270 Million USD"
