"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"1","Volkswagen Group","266,315.1","665,260","Porsche, Piech","1937","Public","4","No","Yes","Automotive","Wolfsburg","NI","www.volkswagenag.de"
"2","Schwarz Group (aka Lidl, Kaufland, ...)","119,418.4","429,000","Schwarz","1930","Private","2","No","No","Retail","Neckarsulm","BW","www.lidl.de"
"3","BMW Group","109,018.3","134,682","Quandt, Klatten","1916","Public","4","No","Yes","Automotive","München","BY","www.bmwgroup.com"
"4","ALDI Discounter (Nord + Süd)","100,423.6","208,000","Albrecht","1913","Private","4","No","Yes","Retail","E en and Mülheim an der Ruhr","NW","www.aldi.de"
"5","Robert Bosch Group","87,935.7","409,881","Bosch","1886","Private","3","No","No","Automotive","Gerlingen-Schillerhöhe","BW","www.bosch.de"
"6","Continental AG","49,802.1","245,686","Schaeffler","1871","Public","1","No","Yes","Automotive","Hannover","NI","www.conti-online.com"
"7","Metro Group","41,790.7","150,000","Haniel, Schmidt-Ruthenbeck, Beisheim","1963","Public","3","No","No","Retail","Dü eldorf","NW","www.metrogroup.de"
"8","Merckle Group (Phoenix, Kä bohrer, etc.)","29,883.2","37,900","Merckle","1881","Private","4","Yes","Yes","A et & Wealth Management","Ulm","BW","-"
"9","Heraeus","23,236.8","14,903","Heraeus","1851","Private","5","No","No","Industrial Manufacturing","Hanau","HE","www.heraeus.com"
"10","Henkel AG & Co. KGaA","22,844.1","53,000","Henkel","1876","Public","5","No","Yes","Consumer Products","Dü eldorf","NW","www.henkel.de"
"11","Bertelsmann SE & Co. KGaA","19,856.6","117,220","Mohn","1835","Private","5","No","Yes","Media and Entertainment","Gütersloh","NW","www.bertelsmann.de"
"12","Boehringer Ingelheim","19,624.6","50,000","Boehringer, von Baumbach","1885","Private","4","Yes","No","Pharmaceuticals and Life Sciences","Ingelheim am Rhein","RP","www.boehringer-ingelheim.de"
"13","Merck KGaA","16,918.1","52,140","Merck","1668","Public","13","No","Yes","Pharmaceuticals and Life Sciences","Darmstadt","HE","www.merckgroup.com"
"14","Rethmann Group","16,372.8","70,000","Rethmann","1934","Private","3","Yes","No","Energy and Utilities","Selm","NW","www.rethmann-gruppe.de"
"15","Schaeffler Group","16,258.3","92,478","Schaeffler","1883","Public","2","No","Yes","Industrial Manufacturing","Herzogenaurach","BY","www.schaeffler.com/fork"
"16","Adolf Würth Group","15,635.8","77,080","Würth","1945","Private","3","Yes","Yes","Industrial Manufacturing","Künzelsau","BW","www.wuerth.de"
"17","Otto Group","15,442.7","50,000","Otto","1949","Private","3","Yes","Yes","Retail","Hamburg","HH","www.ottogroup.com"
"18","Marquard & Bahls AG","14,898.1","7,561","Wei er","1947","Private","3","Yes","Yes","Energy and Utilities","Hamburg","HH","www.mbholding.de"
"19","MAHLE GmbH","14,154.8","79,564","Mahle","1920","Private","N.A.","No","No","Automotive","Stuttgart","BW","www.mahle.com"
"20","Droege International Group AG","13,137.2","58,500","Droege","1988","Private","2","Yes","Yes","Profe ional Services","Dü eldorf","NW","www.droege-group.com"
"21","dm-drogerie markt GmbH + Co. KG","12,251.0","61,721","Werner, Lehmann","1973","Private","2","Yes","No","Retail","Karlsruhe","BW","www.dm-drogeriemarkt.de"
"22","Dirk Ro mann GmbH","10,831.2","56,000","Ro mann","1972","Private","2","Yes","Yes","Consumer Products","Burgwedel","NI","www.ro mann.de"
"23","Maxingvest AG","10,829.3","29,712","Herz","1949","Private","2","Yes","No","Consumer Products","Hamburg","HH","www.maxingvest.de"
"24","Freudenberg Group","10,596.7","49,137","Freudenberg","1849","Private","7","No","No","Industrial Manufacturing","Weinheim","BW","www.freudenberg.de"
"25","Helm AG","9,499.7","1,621","Schnabel","1900","Private","3","Yes","No","Industrial Manufacturing","Hamburg","HH","www.helmag.com"
"26","Tengelmann Warenhandelsgesellschaft KG","9,000.0","86,000","Haub","1867","Private","5","Yes","No","Industrial Manufacturing","Mülheim an der Ruhr","NW","www.tengelmann.de"
"27","Globus Holding GmbH & Co. KG","8,690.2","45,500","Bruch","1828","Private","5","Yes","No","Consumer Products","St. Wendel","SL","www.globus.de"
"28","Gebr. Knauf KG.","8,213.7","25,679","Knauf","1932","Private","3","Yes","Yes","Industrial Manufacturing","Iphofen","BY","www.knauf.de"
"29","Dr. August Oetker KG","8,174.9","30,937","Oetker","1891","Private","4","Yes","Yes","Industrial Manufacturing","Bielefeld","NW","www.oetker-gruppe.com"
"30","Hella GmbH & Co. KGaA","7,956.7","39,327","Hueck, Behrend, Röpke","1899","Public","5","No","No","Automotive","Lippstadt","NW","www.hella.com"
"31","B. Braun Melsungen AG","7,741.9","63,751","Braun","1839","Private","6","Yes","Yes","Healthcare","Melsungen","HE","www.bbraun.de"
"32","Knorr-Bremse AG","7,633.6","29,149","Thiele","1905","Public","2","Yes","Yes","Industrial Manufacturing","München","BY","www.knorr-bremse.de"
"33","Tönnies Holding ApS & Co. KG","7,613.9","16,500","Tönnies","1971","Private","2","Yes","No","Foods and Beverages","Rheda-Wiedenbrück","NW","www.toennies.de"
"34","Brose Fahrzeugteile GmbH & Co. KG, Coburg","7,213.2","26,200","Stoschek, Volkmann","1908","Private","4","No","No","Automotive","Coburg","BY","www.brose.com"
"35","MHK Group AG","6,883.4","29,883","Strothoff","1980","Private","1","No","No","Retail","Dreieich","HE","www.mhk.de"
"36","DKV Mobility Services Group","6,862.6","1,000","Fischer","1934","Private","3","No","No","Transportation and Logistics","Ratingen","NW","www.dkv-euroservice.com"
"37","E/D/E Group","6,852.4","1,103","Trautwein","1931","Private","3","Yes","No","Industrial Manufacturing","Wuppertal","NW","www.ede.de"
"38","Dachser SE","6,428.8","30,609","Simon, Rohde-Dachser","1930","Private","4","Yes","No","Transportation and Logistics","Kempten","BY","www.dachser.com"
"39","ENERCON Group","6,409.5","4,510","Wobben","1984","Private","2","Yes","Yes","Industrial Manufacturing","Aurich","NI","www.enercon.de"
