Company,Facebook,Twitter,Instagram,Pinterest
Apple,14.031.481 persone seguono questa Pagina,"8,8 Mln",28.9M follower,-
Amazon,5.017.069 persone seguono questa Pagina,5 Mln,3.8M follower,"712,6mila follower"
China Construction Bank,-,-,-,-
Agricultural Bank of China,-,-,-,-
ICBC,15.811 persone seguono questa Pagina,22.516,"3,868 follower",-
Aramco,8.276.544 persone seguono questa Pagina,995.213,315K follower,16 follower
Berkshire Hathaway,104.378 persone seguono questa Pagina,"1,6 Mln","3,448 follower",-
JPMorgan,96.476 persone seguono questa Pagina,698.976,320K follower,-
Bank of America,2.762.915 persone seguono questa Pagina,947.495,-,"10,2mila follower"
Toyota Motor,780.558 persone seguono questa Pagina,53.220,5M follower,-
Alphabet,33.434 persone seguono questa Pagina,573,-,-
Bank of America,2.762.916 persone seguono questa Pagina,947.495,239K follower,"10,2mila follower"
Toyota Motor,780.558 persone seguono questa Pagina,53.220,5M follower,-
Alphabet,33.434 persone seguono questa Pagina,573,337 follower,-
Bank of America,2.762.915 persone seguono questa Pagina,947.495,239K follower,"10,2mila follower"
Toyota Motor,780.558 persone seguono questa Pagina,53.220,5M follower,-
Alphabet,33.434 persone seguono questa Pagina,573,337 follower,-
Microsoft,13.001.662 persone seguono questa Pagina,12 Mln,4M follower,-
Bank of China,-,3.132,240 follower,-
Samsung Group,-,253.162,873K follower,0 follower
ExxonMobil,3.072.075 persone seguono questa Pagina,335.922,108K follower,-
Shell,9.718.381 persone seguono questa Pagina,571.176,416K follower,-
Ping An Insurance Group,-,1.601,599 follower,-
Wells Fargo,1.158.525 persone seguono questa Pagina,344.787,123K follower,"7,1mila follower"
Verizon Communications,6.780.411 persone seguono questa Pagina,"1,6 Mln",249K follower,"26,4mila follower"
AT&T,-,-,-,-
PetroChina,-,235,"7,520 follower",-
UnitedHealth Group,-,39.308,"7,343 follower",-
Walmart,32.541.521 persone seguono questa Pagina,"1,3 Mln",2.9M follower,"1,9Mln follower"
China Merchants Bank,-,-,-,-
Volkswagen Group,-,161.219,9.8M follower,-
Chevron,1.199.939 persone seguono questa Pagina,383.398,67.9K follower,-
Citigroup,1.209.295 persone seguono questa Pagina,-,112K follower,135 follower
Tencent Holdings,-,41.911,"4,156 follower",-
Total,10.250.032 persone seguono questa Pagina,649,113K follower,-
Postal Savings Bank Of China (PSBC),-,-,-,-
China Mobile,457.442 persone seguono questa Pagina,11.104,22.5K follower,-
Comcast,120.444 persone seguono questa Pagina,181.910,28.1K follower,"6,3mila follower"
Alibaba Group,621.171 persone seguono questa Pagina,235.889,122K follower,-
Meta Platforms,-,"13,9 Mln",-,-
Allianz,17.988 persone seguono questa Pagina,52.063,104K follower,270 follower
Morgan Stanley,120.273 persone seguono questa Pagina,669.974,301K follower,-
Goldman Sachs Group,298.229 persone seguono questa Pagina,970.226,219K follower,-
HSBC Holdings,3.042.374 persone seguono questa Pagina,198.281,52.1K follower,-
BNP Paribas,239.838 persone seguono questa Pagina,5.718,31.8K follower,-
Johnson & Johnson,-,-,-,-
Mercedes-Benz Group,-,"3,9 Mln",36.3M follower,-
CVS Health,23.817 persone seguono questa Pagina,67.178,14.5K follower,5 follower
Softbank,1.371.164 persone seguono questa Pagina,675.715,42.1K follower,-
Sinopec,3.134.575 persone seguono questa Pagina,184.116,"1,157 follower",-
RBC,592.898 persone seguono questa Pagina,108.296,64.5K follower,-
Nestlé,11.669.320 persone seguono questa Pagina,-,17.6K follower,"8,4mila follower"
AXA Group,83.100 persone seguono questa Pagina,8.332,"4,815 follower",-
Gazprom,-,69.336,-,-
BP,-,112.412,108K follower,-
Intel,36.624.684 persone seguono questa Pagina,"4,9 Mln",1.7M follower,"17,8mila follower"
TD Bank Group,841.995 persone seguono questa Pagina,56.914,52.5K follower,"1,2mila follower"
Nippon Telegraph & Tel,-,-,-,-
Reliance Industries,2.333.387 persone seguono questa Pagina,4.497,"4,088 follower",-
Industrial Bank,-,2.153,"4,706 follower",-
Sony,347.504 persone seguono questa Pagina,"5,6 Mln",859K follower,"54,7mila follower"
Santander,-,94.200,"2,269 follower",-
Mitsubishi UFJ Financial,-,1.841,-,-
Taiwan Semiconductor,-,3.042,-,-
Ford Motor,17.426.246 persone seguono questa Pagina,"1,4 Mln",5.6M follower,336 follower
LVMH Moët Hennessy Louis Vuitton,321.611 persone seguono questa Pagina,190.620,986K follower,-
Bank of Communications,-,-,-,-
Procter & Gamble,-,-,-,-
BMW Group,301.632 persone seguono questa Pagina,644.514,129K follower,-
Petrobras,-,506.161,189K follower,-
Deutsche Telekom,128.041 persone seguono questa Pagina,82.718,51.1K follower,35 follower
AbbVie,31.983 persone seguono questa Pagina,77.730,"4,905 follower",3 follower
Novartis,425.272 persone seguono questa Pagina,10.550,112K follower,2 follower
General Motors,833.044 persone seguono questa Pagina,799.535,538K follower,-
Equinor,-,19.626,58.9K follower,-
China Life Insurance,-,54,409 follower,-
Roche Holding,7148 persone seguono questa Pagina,246.619,56.9K follower,-
AIA Group,1.376.531 persone seguono questa Pagina,188,14.9K follower,-
MetLife,11.160 persone seguono questa Pagina,54.764,-,-
BHP Group,280.125 persone seguono questa Pagina,59.901,23.6K follower,-
American Express,7.958.907 persone seguono questa Pagina,863.891,23.8K follower,"9,9mila follower"
Stellantis,-,89.473,"4,772 follower",-
Zurich Insurance Group,933.017 persone seguono questa Pagina,60.223,15.1K follower,-
Rosneft,-,5.636,85.2K follower,-
Rio Tinto,110.743 persone seguono questa Pagina,76.621,12.1K follower,-
Brookfield Asset Management,-,2.568,"5,470 follower",-
Cigna,601.129 persone seguono questa Pagina,51.739,21.5K follower,"1,1mila follower"
Prudential Financial,561.234 persone seguono questa Pagina,149.358,29.6K follower,"1,2mila follower"
PepsiCo,394.414 persone seguono questa Pagina,355.216,117K follower,"4,2mila follower"
Merck & Co.,-,-,-,-
Elevance Health,-,36.218,213 follower,-
Bank of Nova Scotia,778.458 persone seguono questa Pagina,106.803,56.2K follower,-
American International Group,335.634 persone seguono questa Pagina,43.205,"1,776 follower",2 follower
Glencore International,205.787 persone seguono questa Pagina,170.593,22.9K follower,-
Cisco Systems,2.007.172 persone seguono questa Pagina,742.379,487K follower,42 follower
Anheuser-Busch InBev,-,33.771,-,19 follower
Walt Disney,37.386.904 persone seguono questa Pagina,717.562,35.5M follower,-
Chubb,47.442 persone seguono questa Pagina,28.592,"7,843 follower",0 follower
CITIC,-,279,"1,676 follower",-
Lloyds Banking Group,8575 persone seguono questa Pagina,25.492,"8,426 follower",-
IBM,2.908.549 persone seguono questa Pagina,704.078,540K follower,-
Sanofi,72.339 persone seguono questa Pagina,18.285,"9,027 follower",89 follower
United Parcel Service,1.988.083 persone seguono questa Pagina,269.318,172K follower,-
British American Tobacco,-,23.399,-,-
UBS,236.473 persone seguono questa Pagina,521.744,95.5K follower,122 follower
Honda Motor,1.766.417 persone seguono questa Pagina,"1,1 Mln",66.8K follower,-
Mitsubishi,98.146 persone seguono questa Pagina,288.095,606K follower,-
China State Construction Engineering,1.100.473 persone seguono questa Pagina,99.811,34K follower,-
State Bank of India,-,"4,5 Mln",2.3M follower,"8,5mila follower"
Commonwealth Bank,779.001 persone seguono questa Pagina,100.764,37.5K follower,-
Shanghai Pudong Development,-,-,-,-
Raytheon Technologies,-,196.312,49.6K follower,-
Enel,1.020.025 persone seguono questa Pagina,6.409,46.5K follower,13 follower
Eni,316.964 persone seguono questa Pagina,65.893,45.4K follower,92 follower
Capital One,3.936.093 persone seguono questa Pagina,214.650,133K follower,"11,2mila follower"
Bristol Myers Squibb,136.167 persone seguono questa Pagina,157.083,15.1K follower,-
Coca-Cola,108.964.771 persone seguono questa Pagina,"3,4 Mln",2.8M follower,-
Oracle,2.971.442 persone seguono questa Pagina,814.230,326K follower,"2,9mila follower"
Sberbank,435.950 persone seguono questa Pagina,-,701K follower,-
Bank of Montreal,178.104 persone seguono questa Pagina,57.156,22.7K follower,-
Vale,-,1.188,100K follower,"7,1mila follower"
EDF,39.147 persone seguono questa Pagina,70.117,24.6K follower,6 follower
Thermo Fisher Scientific,145.113 persone seguono questa Pagina,64.707,42.5K follower,-
Credit Agricole,198.526 persone seguono questa Pagina,3.543,"8,923 follower",237 follower
AIRBUS,-,802.748,2.1M follower,-
Costco Wholesale,757.212 persone seguono questa Pagina,59.717,-,"142,5mila follower"
Hon Hai Precision,-,969,-,-
Unilever,3.967.851 persone seguono questa Pagina,238.230,186K follower,"5,5mila follower"
Charter Communications,-,19.808,-,-
Sumitomo Mitsui Financial,-,145,-,-
ConocoPhillips,71.622 persone seguono questa Pagina,163.937,33.3K follower,-
GlaxoSmithKline,407.584 persone seguono questa Pagina,241.084,89.6K follower,-
Intesa Sanpaolo,516.083 persone seguono questa Pagina,17.257,54.6K follower,-
Manulife,166.268 persone seguono questa Pagina,16.256,15.5K follower,-
US Bancorp,331.646 persone seguono questa Pagina,44.709,42.1K follower,"2,7mila follower"
BASF,495.752 persone seguono questa Pagina,2.218,"1,737 follower",-
CNOOC,-,-,316 follower,-
Abbott Laboratories,-,34.909,131K follower,-
Iberdrola,96.427 persone seguono questa Pagina,80.394,62.3K follower,139 follower
China Shenhua Energy,-,-,22.6K follower,-
Itaú Unibanco Holding,-,-,956K follower,-
Caterpillar,175.001 persone seguono questa Pagina,147.549,846K follower,-
Mitsui,-,404,-,-
Itochu,-,195,359 follower,-
Charles Schwab,267.848 persone seguono questa Pagina,128.747,46.8K follower,"1,1mila follower"
Truist Financial,354.771 persone seguono questa Pagina,13.431,42.8K follower,-
Enbridge,35.438 persone seguono questa Pagina,26.080,"3,290 follower",-
Hitachi,359.212 persone seguono questa Pagina,128.954,43.1K follower,-
KDDI,-,-,0 follower,-
Hyundai Motor,777.485 persone seguono questa Pagina,324.024,1.2M follower,-
China Citic Bank,10.437 persone seguono questa Pagina,279,-,-
Visa,22.370.216 persone seguono questa Pagina,2.784,128K follower,"7,4mila follower"
Target,-,"2,1 Mln",5.2M follower,"4,4Mln follower"
BBVA-Banco Bilbao Vizcaya,5.871.545 persone seguono questa Pagina,"2,4 Mln",194K follower,-
tesla,-,"18,4 Mln",9.5M follower,-
Deere & Company,-,-,-,-
HDFC Bank,2.928.470 persone seguono questa Pagina,574.196,305K follower,545 follower
Barclays,619.141 persone seguono questa Pagina,303.012,47.1K follower,470 follower
Munich Re,29.604 persone seguono questa Pagina,63.996,948 follower,-
Japan Post Holdings,-,-,-,-
Walgreens,4.204.623 persone seguono questa Pagina,839.427,347K follower,141mila follower
Danaher,10.855 persone seguono questa Pagina,294,502K follower,126 follower
Generali Group,238.965 persone seguono questa Pagina,11.377,14.8K follower,-
Møller-Maersk,3.088.887 persone seguono questa Pagina,114.226,307K follower,-
Lowe's,4.800.057 persone seguono questa Pagina,299.473,882K follower,"3,8Mln follower"
FedEx,3.023.209 persone seguono questa Pagina,324.471,14.4M follower,"10,7mila follower"
Deutsche Post,280.417 persone seguono questa Pagina,45.185,35.3K follower,-
PNC Financial Services,345.422 persone seguono questa Pagina,39.018,29.1K follower,"3,5mila follower"
Broadcom,16.936 persone seguono questa Pagina,52.390,7 follower,-
LukOil,22.334 persone seguono questa Pagina,3.833,584 follower,-
Medtronic,-,83.865,"4,720 follower",248 follower
SAP,30.092 persone seguono questa Pagina,301.870,227K follower,11 follower
SK Hynix,6704 persone seguono questa Pagina,-,68K follower,-
ENGIE,716.744 persone seguono questa Pagina,14.688,33.4K follower,297 follower
Lockheed Martin,-,504.823,525K follower,-
BlackRock,-,571.803,88.6K follower,-
Westpac Banking Group,266.407 persone seguono questa Pagina,59.544,21.4K follower,-
Duke Energy,-,119.385,22.1K follower,-
Dell Technologies,1.574.265 persone seguono questa Pagina,52.791,86.7K follower,"10,8mila follower"
VINCI,-,19.854,93K follower,-
Tokio Marine Holdings,150.885 persone seguono questa Pagina,799,20.8K follower,-
América Móvil,-,-,"2,492 follower",-
E.ON,772.665 persone seguono questa Pagina,4.744,"9,098 follower",-
Anglo American,601.491 persone seguono questa Pagina,150.026,27K follower,-
Banco Bradesco,5.039.438 persone seguono questa Pagina,209.765,535K follower,-
ING Group,-,11.175,182 follower,-
Accenture,42.806 persone seguono questa Pagina,551.790,17.6K follower,-
Honeywell International,165.005 persone seguono questa Pagina,65.685,35.6K follower,-
Mizuho Financial,-,5.862,-,-
Linde,-,15.808,10.2K follower,-
ArcelorMittal,-,46.974,"7,112 follower",4 follower
Canadian Imperial Bank,411.052 persone seguono questa Pagina,121.058,41.6K follower,-
Poly Developments & Holdings Group,-,-,-,-
Micron Technology,9903 persone seguono questa Pagina,27.221,"2,892 follower",-
ANZ,378.971 persone seguono questa Pagina,124.570,24.5K follower,5 follower
Fubon Financial,-,-,"2,829 follower",-
China Telecom,141.295 persone seguono questa Pagina,4.390,-,-
HCA Healthcare,39.221 persone seguono questa Pagina,16.386,13.5K follower,19 follower
Dow,17.594 persone seguono questa Pagina,-,10.8K follower,-
Telefónica,990 persone seguono questa Pagina,87.179,48.2K follower,-
China Vanke,17.620 persone seguono questa Pagina,-,-,-
NAB - National Australia Bank,262.624 persone seguono questa Pagina,70.977,18.8K follower,-
Cathay Financial,-,736,"2,744 follower",-
Qualcomm,2.758.254 persone seguono questa Pagina,452.104,193K follower,223 follower
L'Oréal,-,20.324,10M follower,-
Allstate,257 persone seguono questa Pagina,85.998,35.3K follower,"8,2mila follower"
SAIC Motor,-,620,"1,962 follower",-
ICICI Bank,5.361.157 persone seguono questa Pagina,731.954,328K follower,5 follower
China Everbright Bank,-,-,-,-
Gilead Sciences,24.628 persone seguono questa Pagina,72.736,"4,478 follower",10 follower
China Pacific Insurance,-,4,336 follower,-
NVIDIA,6.735.069 persone seguono questa Pagina,"1,9 Mln",2M follower,"2,8mila follower"
Amgen,31.636 persone seguono questa Pagina,124.683,"2,816 follower",-
Union Pacific,-,56.526,57.4K follower,-
Dai-ichi Life Insurance,-,670,33.2K follower,-
Nike,-,"9,5 Mln",253M follower,-
Takeda Pharmaceutical,-,27.987,-,-
Philip Morris International,-,30.927,-,-
PayPal,6.612.755 persone seguono questa Pagina,916.662,533K follower,-
China Resources Land,-,-,"2,339 follower",-
Oversea-Chinese Banking,673.377 persone seguono questa Pagina,19.431,13.4K follower,-
Midea Group,1.593.086 persone seguono questa Pagina,13.266,14K follower,-
Travelers,53.381 persone seguono questa Pagina,65.668,28.2K follower,-
Eli Lilly,239.838 persone seguono questa Pagina,139.824,26.4K follower,-
Mondelez International,275.062 persone seguono questa Pagina,32.175,55.1K follower,-
McDonald's,81.943.189 persone seguono questa Pagina,"4,7 Mln",496K follower,-
General Electric,2.180.258 persone seguono questa Pagina,444.149,476K follower,"32,4mila follower"
Société Générale,-,-,23.1K follower,-
Schneider Electric,1.848.346 persone seguono questa Pagina,67.690,119K follower,688 follower
3M,4.714.401 persone seguono questa Pagina,"1,3 Mln",227K follower,-
Aflac,62.971 persone seguono questa Pagina,60.137,19.4K follower,-
Oil & Natural Gas,-,-,-,-
Southern Company,-,59.501,"3,374 follower",0 follower
Deutsche Bank,6320 persone seguono questa Pagina,677.063,55.2K follower,-
PTT,-,-,37.2K follower,"36,2mila follower"
CK Hutchison,-,-,-,-
Canadian Natural Resources,-,6.956,-,-
Sun Life Financial,120.763 persone seguono questa Pagina,24.436,11.4K follower,-
Northrop Grumman,-,265.899,236K follower,87 follower
