"Industry","Founded","Revenue","Name","Location"
"Diversified Financials","1939","$276.1B","Berkshire Hathaway","Omaha, Nebraska"
"Banking","1984","$208.1B","ICBC","Beijing, China"
"Oil & Gas Operations","1933","$400.4B","Saudi Arabian Oil Company (Saudi Aramco)","Dhahran, Saudi Arabia"
"Banking and Financial Services","2000","$124.5B","JPMorgan Chase","New York, New York"
"Banking","2014","$202.1B","China Construction Bank","Beijing, China"
"Retail and Wholesale","1994","$469.8B","Amazon","Seattle, Washington"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1976","$378.7B","Apple","Cupertino, California"
"Banking","1979","$181.4B","Agricultural Bank of China","Beijing, China"
"Banking and Financial Services","1904","$96.8B","Bank of America","Charlotte, North Carolina"
"Consumer Durables","1937","$281.7B","Toyota Motor","Toyota, Japan"
"IT, Internet, Software & Services","1998","$257.5B","Alphabet","Mountain View, California"
"IT, Internet, Software & Services","1975","$184.9B","Microsoft","Redmond, Washington"
"Banking","1929","$152.4B","Bank of China","Beijing, China"
"Conglomerate","1938","$244.2B","Samsung Group","Seoul, South Korea"
"Oil & Gas Operations","1999","$280.5B","ExxonMobil","Irving, Texas"
"Construction, Oil & Gas Operations, Mining and Chemicals","1907","$261.8B","Shell","London, United Kingdom"
"Insurance","1988","$181.4B","Ping An Insurance Group","Shenzhen, China"
"Banking","1852","$84.1B","Wells Fargo","San Francisco, California"
"Telecommunications Services, Cable Supplier","1983","$134.3B","Verizon Communications","New York, New York"
"Telecommunications Services","1876","$163B","AT&T","Dallas, Texas"
"Oil & Gas Operations","1999","$380.3B","PetroChina","Beijing, China"
"Insurance","1977","$297.6B","UnitedHealth Group","Minnetonka, Minnesota"
"Retailing","1962","$572.8B","Walmart","Bentonville, Arkansas"
"Banking","1987","$71.1B","China Merchants Bank","Shenzhen, China"
"Consumer Durables","1937","$295.7B","Volkswagen Group","Wolfsburg, Germany"
"Construction, Oil & Gas Operations, Mining and Chemicals","1879","$156.3B","Chevron","San Ramon, California"
"Banking and Financial Services","1812","$79.9B","Citigroup","New York, New York"
"IT Software & Services","1998","$86.9B","Tencent Holdings","Shenzhen, China"
"Oil & Gas Operations","1924","$185.1B","Total","Paris, France"
"Banking","1919","$77.6B","Postal Savings Bank Of China (PSBC)","Beijing, China"
"Telecommunications Services","1997","$131.5B","China Mobile","Hong Kong, Hong Kong"
"Media & Advertising","1963","$116.4B","Comcast","Philadelphia, Pennsylvania"
"Retailing","1999","$129.8B","Alibaba Group","Hangzhou, China"
"IT, Internet, Software & Services","2004","$117.9B","Meta Platforms","Menlo Park, California"
"Insurance","1890","$138.6B","Allianz","Munich, Germany"
"Diversified Financials","1924","$60.2B","Morgan Stanley","New York, New York"
"Diversified Financials","1869","$62.8B","Goldman Sachs Group","New York, New York"
"Banking","1865","$59.3B","HSBC Holdings","London, United Kingdom"
"Banking","1953","$127.4B","BNP Paribas","Paris, France"
"Drugs & Biotechnology","1886","$94.9B","Johnson & Johnson","New Brunswick, New Jersey"
"Consumer Durables","1883","$178.9B","Mercedes-Benz Group","Stuttgart, Germany"
"Retailing","1963","$292B","CVS Health","Woonsocket, Rhode Island"
"Telecommunications Services","1981","$96.9B","Softbank","Tokyo, Japan"
"Oil & Gas Operations","2000","$384.8B","Sinopec","Beijing, China"
"Banking and Financial Services","1864","$45.2B","RBC","Montreal, Canada"
"Food, Drink & Tobacco","1866","$95.3B","Nestlé","Vevey, Switzerland"
"Insurance","1816","$145.2B","AXA Group","Paris, France"
"Oil & Gas Operations","1989","$117.3B","Gazprom","St. Petersburg, Russia"
"Oil & Gas Operations","1909","$158B","BP","London, United Kingdom"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1968","$79B","Intel","Santa Clara, California"
"Banking and Financial Services","1855","$38.5B","TD Bank Group","Toronto, Canada"
"Telecommunications Services","1952","$110.4B","Nippon Telegraph & Tel","Tokyo, Japan"
"Oil & Gas Operations","1973","$86.9B","Reliance Industries","Mumbai, India"
"Banking","1988","$60.5B","Industrial Bank","Fuzhou, China"
"Consumer Durables","1960","$89.9B","Sony","Tokyo , Japan"
"Banking and Financial Services","1857","$78.2B","Santander","Madrid, Spain"
