codice,country,name,price,pricecap
AAPL,USA,Apple,$134.76,$2.143 T
2222.SR,S. Arabia,Saudi Aramco,$8.54,$1.878 T
MSFT,USA,Microsoft,$239.23,$1.783 T
GOOG,USA,Alphabet (Google),$92.80,$1.195 T
AMZN,USA,Amazon,$98.12,$1.000 T
BRK-B,USA,Berkshire Hathaway,$317.64,$700.57 B
V,USA,Visa,$223.06,$472.35 B
XOM,USA,Exxon Mobil,$113.15,$465.98 B
TCEHY,China,Tencent,$47.80,$458.31 B
UNH,USA,UnitedHealth,$489.57,$457.42 B
JNJ,USA,Johnson & Johnson,$173.43,$453.42 B
TSM,Taiwan,TSMC,$86.80,$450.14 B
MC.PA,France,LVMH,$853.07,$427.45 B
NVDA,USA,NVIDIA,$168.99,$421.12 B
JPM,USA,JPMorgan Chase,$143.01,$419.47 B
WMT,USA,Walmart,$145.29,$391.81 B
TSLA,USA,Tesla,$122.40,$386.50 B
MA,USA,Mastercard,$375.52,$361.04 B
META,USA,Meta Platforms (Facebook),$136.98,$359.18 B
600519.SS,China,Kweichow Moutai,$285.49,$358.62 B
PG,USA,Procter & Gamble,$150.88,$357.54 B
LLY,USA,Eli Lilly,$361.62,$343.60 B
CVX,USA,Chevron,$177.56,$343.33 B
NESN.SW,Switzerland,Nestlé,$123.36,$339.24 B
HD,USA,Home Depot,$331.21,$337.56 B
005930.KS,S. Korea,Samsung,$49.38,$331.69 B
BABA,China,Alibaba,$117.01,$310.68 B
NVO,Denmark,Novo Nordisk,$136.32,$306.65 B
MRK,USA,Merck,$112.25,$284.59 B
BAC,USA,Bank of America,$35.23,$281.72 B
ABBV,USA,AbbVie,$153.60,$271.63 B
PFE,USA,Pfizer,$47.85,$268.59 B
ASML,Netherlands,ASML,$659.69,$265.94 B
KO,USA,Coca-Cola,$61.43,$265.65 B
ROG.SW,Switzerland,Roche,$315.84,$259.53 B
IHC.AE,UAE,International Holding Company,$110.46,$242.29 B
AVGO,USA,Broadcom,$579.00,$241.95 B
PEP,USA,Pepsico,$175.24,$241.42 B
ORCL,USA,Oracle,$89.20,$240.50 B
TMO,USA,Thermo Fisher Scientific,$583.84,$228.97 B
AZN,UK,AstraZeneca,$71.08,$222.25 B
1398.HK,China,ICBC,$0.54,$221.13 B
OR.PA,France,L'Oréal,$410.03,$219.77 B
COST,USA,Costco,$485.25,$215.31 B
