founded,founders,headquarters,industry,key_people,name,number_of_employees,operating_income,revenue,services,total_assets,type,website
['July 2017'],"[' (""CZ"")', 'Yi He']",[],['cryptocurrency industry\xa0'],[],Binance,[],[],['US$'],[],[],[],"['www', '.binance', '.com']"
['2004'],[],"['Taipei', 'Taiwan']",['Food and Beverage'],[],Gourmet Master Co. Ltd,[],[],['NT$'],[],[],[],"['www.85cafe.com', '[1]', 'www.85cbakerycafe.com']"
['1968'],['J. R. D. Tata'],"['Mumbai', 'Maharashtra']","['Information technology', 'Consulting', 'Outsourcing']",[],Tata Consultancy Services,"['616,171', '[3]', '\xa0(October 2022)']","[' ', '₹', '51,687 crore', ' (US$6.5\xa0billion)', '[1]', '\xa0(2022)']","[' ', ' (US$25\xa0billion)', '\xa0(2022)']",[],"[' ', '₹', '141,514 crore', ' (US$18\xa0billion)', '[2]', '\xa0(2022)']",['Public'],"['www', '.tcs', '.com']"
['2000'],[],"['Oklahoma City, Oklahoma', 'United States']",['precious metals'],[],"APMEX, Inc.",[],[],[],[],[],['Private'],['www.apmex.com']
['2013'],"['Micree Zhan', 'Jihan Wu']","['Beijing, China']",['Cryptocurrency'],[],Bitmain Technologies Ltd.,[],[],[],[],[],['Private'],"['bitmain', '.com']"
[],[],"['Palo Alto, CA']",[],[],"BitGo, Inc.",[],[],[],[],[],[],[]
"['New Brunswick, New Jersey']","['Robert Wood Johnson I', 'James Wood Johnson', 'Edward Mead Johnson']","['New Brunswick, New Jersey', 'U.S.']","['Pharmaceutical', 'Medical Technology', 'Consumer Healthcare']",[],Johnson & Johnson,"[' 144,500 ', '(2021)', '[5]']","[' ', 'US$22.776 billion', ' ', '(2021)', '[4]']","[' ', ' ']",[],"[' ', 'US$182.018 billion', ' ', '(2021)']",['Public'],['jnj.com']
"['April\xa04, 1975', ' in ']","['Bill Gates', 'Paul Allen']","['One Microsoft Way', 'Redmond, Washington']",['Information technology'],[],Microsoft Corporation,"['221,000 (2022)']","[' ', 'US$83.4 billion', ' (2022)']","[' ', ' (2022)']","['Azure', 'Bing', 'LinkedIn', 'Yammer', 'Microsoft 365', 'OneDrive', 'Outlook.com', 'GitHub', 'Microsoft Store', 'Windows Update', 'Xbox Game Pass', 'Xbox network']","[' ', 'US$364.8 billion', ' (2022)']",['Public'],['microsoft.com']
['2012'],[],[],[],[],"Bitfinex, Inc.",[],[],[],[],[],[],[]
"['July\xa02, 1962', ' in ', 'October\xa031, 1969', ' in ', ' (incorporation)']",['Sam Walton'],"['Bentonville, Arkansas']",['Retail'],[],Walmart Inc.,"['2,300,000 (Jan. 2022)', '[5]']","[' ', 'US$25.9 billion', ' (FY2022)', '[5]']","[' ', ' ', 'US$', '572.8 billion', ' (', 'FY', '2022)', '[5]', ' ']",['Walmart-2-Walmart'],"[' ', ' ', 'US$244.86 billion', ' (FY2022)', '[5]', ' ']",['Public'],['walmart.com']
[],[],['Saint Kitts and Nevis'],['Cryptocurrency'],[],Bitcoin.com,[],[],[],[],[],[],[]
['Dublin'],['Charles Bewley'],"['Northern Cross, Malahide Road, Dublin, Ireland']",['Beverages'],[],Bewley's Limited,[],[],['€'],[],[],['Limited'],"['www', '.bewleys', '.com', '/ie', '/']"
['1981'],[],"['Ottawa', 'Ontario']","['Coffee, Coffee Roaster, Coffee Beans']",[],Bridgehead,[],[],[],[],[],['coffeehouse'],"['www', '.bridgehead', '.ca']"
['2002'],['W. James Freeman'],"['Oakland', 'California', 'U.S.']",['Coffee industry'],[],"Blue Bottle Coffee, Inc.",[],[],[],[],[],['Private'],['bluebottlecoffee.com']
['Israel'],[],[],[],[],Aroma Espresso Bar Ltd.,[],[],[],[],[],[],"['Aroma Israel', 'Aroma Canada', 'Aroma US']"
['1930'],[],['Neckarsulm'],['Retail'],[],Schwarz Group,"['500,000 (FY 2020/21)']",[],['€ 125.3 billion (FY 2020/21)'],[],[],['Private'],['https://gruppe.schwarz/en']
['6\xa0June 2009'],['Liu Qiangdong'],['Beijing'],"['E-commerce', 'Artificial intelligence', 'Robotics', 'Autonomous car']",[],"JD.com, Inc. (京东)","['310,000 (Dec 2020)', '[1]']","[' ', '¥\xa0RMB', '4.141 billion (US$649,805 million, 2021)', '[1]']","[' ', '951.592 billion (US$149.325 billion, 2021)']",['Online shopping'],"[' ', '¥\xa0RMB', '496.507 billion (US$77.913 billion, 2021)', '[1]']",['Public'],"['www', '.joybuy', '.com']"
"['10\xa0July 1946', '(split in two parts in 1960, renamed to Aldi Nord and Aldi Süd in 1962)']","['Karl', 'Theo Albrecht']","['Essen', 'Mülheim']",['Retail'],[],Aldi,[],[],['US$'],[],[],['Private'],"['aldi', '.com']"
"['December\xa031, 2014']",[],"['Deerfield, Illinois']","['Retail', 'pharmaceuticals']",[],"Walgreens Boots Alliance, Inc.","['c.', '\u2009325,000', '\xa0(August 2022)']",[' US$1.387\xa0billion (2022)'],"[' ', 'US$', '132.7\xa0billion', ' (2022)']",[],[' US$90.124\xa0billion (2022)'],['Public'],"['walgreensbootsalliance', '.com']"
"['Marietta, Georgia']","['Bernard Marcus', 'Arthur Blank', 'Ron Brill', 'Pat Farrah', 'Ken Langone']","['Atlanta, Georgia']",['Retailing'],[],"The Home Depot, Inc.","['490,600 (Dec 2021)']",[' US$23.04 billion (2021)'],"[' ', ' (2021)']",[],[' US$71.88 billion (2021)'],['Public'],['homedepot.com']
