"IPO Year","Number of Employees","Country","CEO","Founded Year","Market Value","Name"
1980,"154,000",USA,Tim Cook,1976,"2,825.00 Billion USD",APPLE
1986,"220,000",USA,Satya Nadella,1975,"2,358.00 Billion USD",MICROSOFT CORPORATION
"","79,800",Saudi Arabia,Amin H. Al-Nasser,1933,"1,889.60 Billion USD",SAUDI ARABIAN OIL COMPANY (Saudi Aramco)
2004,"156,500",USA,Sundar Pichai,2015,"1,820.00 Billion USD",ALPHABET
1997,"1,335,000",USA,Andy Jassy,1994,"1,649.00 Billion USD",AMAZON.COM
2010,"99,290",USA,Elon Musk,2003,"1,031.00 Billion USD",TESLA
2012,"77,805",USA,Mark Zuckerberg,2004,922.96 Billion USD,META PLATFORMS
"","372,000",USA,Warren Buffett,1839,711.75 Billion USD,BERKSHIRE HATHAWAY
1999,"18,975",USA,Jensen Huang,1993,679.00 Billion USD,NVIDIA CORPORATION
"","65,152",Taiwan,C. C. Wei,1987,640.48 Billion USD,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC)
"","112,771",China,Ma Huateng,1998,545.36 Billion USD,TENCENT
"","271,025",USA,Jamie Dimon,2000,494.00 Billion USD,J P MORGAN CHASE & CO
"","21,500",USA,Alfred F Kelly Jr,1958,471.63 Billion USD,VISA
"","141,700",USA,Joaquin Duato,1886,457.94 Billion USD,JOHNSON & JOHNSON
"","113,753",South Korea,"Kim Hyun Suk
Koh Dong-Jin
Kim Ki Nam",1969,438.84 Billion USD,SAMSUNG ELECTRONICS
"","350,000",USA,Andrew Witty,1977,431.93 Billion USD,UNITEDHEALTH GROUP
"","500,000",USA,Craig Menear,1978,411.02 Billion USD,HOME DEPOT
"","150,000",France,Bernard Arnault,1987,409.48 Billion USD,LVMH
"","208,000",USA,Brian Moynihan,1998,402.49 Billion USD,BANK OF AMERICA CORPORATION
"","2,300,000",USA,Doug McMillon,1962,401.91 Billion USD,WALMART
"","101,000",USA,Jon R. Moeller,1837,393.82 Billion USD,PROCTER & GAMBLE COMPANY
"","29,031",China,Li Bao Fang,1999,382.35 Billion USD,KWEICHOW MOUTAI
"","276,000",Switzerland,Ulf Mark Schneider,1866,372.72 Billion USD,NESTLE AG
2006,"24,000",USA,Michael Miebach,1966,363.20 Billion USD,MASTERCARD
"","100,920",Switzerland,Severin Schwan,1896,356.15 Billion USD,ROCHE HOLDING AG
2014,"251,462",China,Daniel Zhang,1999,351.90 Billion USD,ALIBABA GROUP HOLDING
"","78,500",USA,Albert Bourla,1849,312.75 Billion USD,PFIZER
1995,"28,000",Netherlands,Peter Wennink,1984,307.33 Billion USD,ASML HOLDING
"","64,000",USA,Darren Woods,1999,291.61 Billion USD,EXXON MOBIL CORPORATION
"","190,000",USA,Bob Chapek,1923,286.88 Billion USD,THE WALT DISNEY COMPANY
"","366,283",Japan,Akio Toyoda,1937,276.74 Billion USD,TOYOTA MOTOR CORPORATION
"","80,300",USA,James Quincey,1892,260.59 Billion USD,COCA-COLA COMPANY
1990,"79,500",USA,Chuck Robbins,1984,257.82 Billion USD,CISCO SYSTEMS
2009,"20,000",USA,Hock E. Tan,1991,255.63 Billion USD,BROADCOM
"","23,874",Netherlands,Bob van Dijk,1997,254.55 Billion USD,PROSUS
"","434,798",China,Nicolas Jimenez,1984,252.55 Billion USD,ICBC
"","85,392",France,Jean Paul Agon,1909,249.14 Billion USD,L'OREAL
"","73,300",USA,John Donahoe,1964,248.46 Billion USD,NIKE
"","35,000",USA,David A. Ricks,1876,248.24 Billion USD,ELI LILLY AND COMPANY
1986,"25,988",USA,Shantanu Narayen,1982,242.99 Billion USD,ADOBE
"","42,595",USA,Michael Wirth,1879,241.02 Billion USD,CHEVRON CORPORATION
"","309,000",USA,Ramon Laguarta,1898,240.69 Billion USD,PEPSICO
"","113,000",USA,Robert Ford,1888,239.71 Billion USD,ABBOTT LABORATORIES
2002,"12,135",USA,"Ted Sarandos
Reed Hastings",1997,239.66 Billion USD,NETFLIX
"","750,000",India,"","","",TATA GROUP
"","130,000",USA,Marc N. Casper,2006,239.22 Billion USD,THERMO FISHER SCIENTIFIC
2012,"50,000",USA,Richard A. Gonzalez,2013,238.45 Billion USD,ABBVIE
"","288,000",USA,W. Craig Jelinek,1983,237.76 Billion USD,COSTCO WHOLESALE CORPORATION
2001,"699,000",Ireland,Julie Sweet,1989,234.50 Billion USD,ACCENTURE
1986,"132,000",USA,Safra A. Catz,1977,233.69 Billion USD,ORACLE CORPORATION
"","45,971",Denmark,Lars Fruergaard Jorgensen,1923,231.35 Billion USD,NOVO NORDISK A/S
"","189,000",USA,Brian L. Roberts,1963,228.67 Billion USD,COMCAST CORPORATION
"","118,400",USA,Hans Vestberg,1983,227.69 Billion USD,VERIZON COMMUNICATIONS
2004,"56,606",USA,Marc Benioff,1999,224.88 Billion USD,SALESFORCE.COM
"","236,330",India,Mukesh Ambani,1973,220.76 Billion USD,RELIANCE INDUSTRIES
"","30,900",USA,Daniel Schulman,1998,220.42 Billion USD,PAYPAL HOLDINGS
"","253,871",USA,Charles W. Scharf,1852,218.38 Billion USD,WELLS FARGO & COMPANY
"","121,100",USA,Patrick P. Gelsinger,1968,217.34 Billion USD,INTEL CORPORATION
"","78,000",USA,Rainer M. Blair,1969,211.28 Billion USD,DANAHER CORPORATION
"","68,000",USA,Robert M. Davis,1970,202.83 Billion USD,MERCK & CO
1991,"45,000",USA,Cristiano R. Aman,1985,202.06 Billion USD,QUALCOMM
"","104,323",Switzerland,Vasant Narasimhan,1996,201.26 Billion USD,NOVARTIS AG
"","90,867",China,Huiyu Tian,1987,199.86 Billion USD,CHINA MERCHANTS BANK
