"Ticker symbol","Security","SEC filings","GICS Sector","Address of Headquarters","CIK"
"MMM","3M Company","reports","Industrials","St. Paul, Minnesota","0000066740"
"ABT","Abbott Laboratories","reports","Health Care","North Chicago, Illinois","0000001800"
"ABBV","AbbVie","reports","Health Care","North Chicago, Illinois","0001551152"
"ACN","Accenture plc","reports","Information Technology","Dublin, Ireland","0001467373"
"ATVI","Activision Blizzard","reports","Information Technology","Santa Monica, California","0000718877"
"AYI","Acuity Brands Inc","reports","Industrials","Atlanta, Georgia","0001144215"
"ADBE","Adobe Systems Inc","reports","Information Technology","San Jose, California","0000796343"
"AAP","Advance Auto Parts","reports","Consumer Discretionary","Roanoke, Virginia","0001158449"
"AES","AES Corp","reports","Utilities","Arlington, Virginia","0000874761"
"AET","Aetna Inc","reports","Health Care","Hartford, Connecticut","0001122304"
"AFL","AFLAC Inc","reports","Financials","Columbus, Georgia","0000004977"
"AMG","Affiliated Managers Group Inc","reports","Financials","Beverly, Massachusetts","0001004434"
"A","Agilent Technologies Inc","reports","Health Care","Santa Clara, California","0001090872"
"APD","Air Products & Chemicals Inc","reports","Materials","Allentown, Pennsylvania","0000002969"
"AKAM","Akamai Technologies Inc","reports","Information Technology","Cambridge, Massachusetts","0001086222"
"ALK","Alaska Air Group Inc","reports","Industrials","Seattle, Washington","0000766421"
"ALB","Albemarle Corp","reports","Materials","Baton Rouge, Louisiana","0000915913"
"AA","Alcoa Inc","reports","Materials","New York, New York","0000004281"
"AGN","Allergan plc","reports","Health Care","Dublin, Ireland","0000884629"
"LNT","Alliant Energy Corp","reports","Utilities","Madison, Wisconsin","0000352541"
"ALXN","Alexion Pharmaceuticals","reports","Health Care","Cheshire, Connecticut","0000899866"
"ALLE","Allegion","reports","Industrials","Dublin, Ireland","0001579241"
"ADS","Alliance Data Systems","reports","Information Technology","Plano, Texas","0001101215"
"ALL","Allstate Corp","reports","Financials","Northfield Township, Illinois","0000899051"
"GOOGL","Alphabet Inc Class A","reports","Information Technology","Mountain View, California","0001652044"
"GOOG","Alphabet Inc Class C","reports","Information Technology","Mountain View, California","0001652044"
"MO","Altria Group Inc","reports","Consumer Staples","Richmond, Virginia","0000764180"
"AMZN","Amazon.com Inc","reports","Consumer Discretionary","Seattle, Washington","0001018724"
"AEE","Ameren Corp","reports","Utilities","St. Louis, Missouri","0001002910"
"AAL","American Airlines Group","reports","Industrials","Fort Worth, Texas","0000006201"
"AEP","American Electric Power","reports","Utilities","Columbus, Ohio","0000004904"
"AXP","American Express Co","reports","Financials","New York, New York","0000004962"
"AIG","American International Group, Inc.","reports","Financials","New York, New York","0000005272"
"AMT","American Tower Corp A","reports","Financials","Boston, Massachusetts","0001053507"
"AWK","American Water Works Company Inc","reports","Utilities","Voorhees, New Jersey","0001410636"
